timestamp;x;y;z;|V|;dx;dy;dz;d|V|
0;0,196;3,726;10,865;00;0;0;0
1;0,039;3,491;10,748;9;-0,157;-0,235;-0,117000000000001;9
2;-0,117;3,138;10,395;10;-0,156;-0,353;-0,353;1
3;0,156;3,138;10,159;10;0,273;0;-0,235999999999999;0
4;0,313;3,138;10,081;10;0,157;0;-0,0780000000000012;0
5;0,431;3,059;9,885;11;0,118;-0,0789999999999997;-0,196;1
6;0,353;3,138;9,806;9;-0,078;0,0789999999999997;-0,0790000000000006;-2
7;0,117;3,255;9,688;18;-0,236;0,117;-0,117999999999999;9
8;-0,078;3,53;9,728;2;-0,195;0,275;0,0399999999999991;-16
9;-0,196;3,648;9,845;10;-0,118;0,118;0,117000000000001;8
10;-0,235;3,844;9,963;11;-0,039;0,196;0,117999999999999;1
11;-0,235;3,961;10,042;10;0;0,117;0,0790000000000006;-1
12;-0,117;3,922;10,042;9;0,118;-0,0389999999999997;0;-1
13;0,078;3,765;10,081;11;0,195;-0,157;0,0389999999999997;2
14;0,196;3,804;10,12;9;0,118;0,0389999999999997;0,0389999999999997;-2
15;0,392;3,765;10,081;10;0,196;-0,0389999999999997;-0,0389999999999997;1
16;0,47;3,412;10,042;10;0,078;-0,353;-0,0389999999999997;0
17;0,039;2,863;9,532;11;-0,431;-0,549;-0,51;1
18;-0,039;2,706;9,1;10;-0,078;-0,157;-0,432;-1
19;0,0;2,706;9,022;9;0,039;0;-0,0779999999999994;-1
20;0,313;2,824;9,414;10;0,313;0,118;0,391999999999999;1
21;0,078;3,138;9,649;10;-0,235;0,314;0,234999999999999;0
22;0,0;3,255;9,885;10;-0,078;0,117;0,236000000000001;0
23;-0,156;3,177;10,002;11;-0,156;-0,0779999999999998;0,117000000000001;1
24;-0,235;3,255;10,159;10;-0,079;0,0779999999999998;0,157;-1
25;-0,353;3,295;10,316;9;-0,118;0,04;0,157;-1
26;-0,549;3,138;10,355;10;-0,196;-0,157;0,0389999999999997;1
27;-0,549;2,941;10,316;10;0;-0,197;-0,0389999999999997;0
28;-0,47;2,902;10,512;10;0,0790000000000001;-0,0389999999999997;0,196;0
29;-0,431;2,863;10,277;10;0,039;-0,0390000000000001;-0,235000000000001;0
30;-0,313;2,902;10,042;10;0,118;0,0390000000000001;-0,234999999999999;0
31;-0,039;3,02;10,042;10;0,274;0,118;0;0
32;0,039;3,02;10,042;10;0,078;0;0;0
33;0,117;3,216;10,355;11;0,078;0,196;0,313000000000001;1
34;0,156;3,255;10,434;9;0,039;0,0389999999999997;0,0789999999999988;-2
35;-0,039;3,059;10,316;10;-0,195;-0,196;-0,117999999999999;1
36;-0,313;2,785;10,473;11;-0,274;-0,274;0,157;1
37;-0,588;2,549;10,395;9;-0,275;-0,236;-0,0780000000000012;-2
38;-0,706;2,432;10,473;11;-0,118;-0,117;0,0780000000000012;2
39;-0,823;2,314;10,395;9;-0,117;-0,118;-0,0780000000000012;-2
40;-0,784;2,314;10,355;11;0,0389999999999999;0;-0,0399999999999991;2
41;-0,784;2,235;10,159;9;0;-0,0790000000000002;-0,196;-2
42;-0,588;2,235;10,159;10;0,196;0;0;1
43;-0,235;2,275;10,081;10;0,353;0,04;-0,0780000000000012;0
44;-0,196;2,275;10,081;10;0,039;0;0;0
45;-0,156;2,118;9,924;10;0,04;-0,157;-0,157;0
46;-0,274;1,961;10,042;10;-0,118;-0,157;0,118;0
47;-0,274;1,882;10,002;10;0;-0,0790000000000002;-0,0399999999999991;0
48;-0,117;2,039;9,924;10;0,157;0,157;-0,0780000000000012;0
49;-0,117;1,922;10,042;11;0;-0,117;0,118;1
50;-0,117;2,039;10,12;10;0;0,117;0,0779999999999994;-1
51;-0,078;2,235;10,12;9;0,039;0,196;0;-1
52;-0,078;2,118;10,12;10;0;-0,117;0;1
53;-0,078;2,353;9,963;10;0;0,235;-0,157;0
54;-0,078;2,432;10,002;10;0;0,0789999999999997;0,0390000000000015;0
55;-0,078;2,392;10,002;10;0;-0,04;0;0
56;0,0;2,549;9,806;10;0,078;0,157;-0,196000000000002;0
57;-0,117;2,51;9,845;10;-0,117;-0,0390000000000001;0,0390000000000015;0
58;-0,274;2,432;10,198;10;-0,157;-0,0779999999999998;0,353;0
59;-0,313;2,392;10,081;10;-0,039;-0,04;-0,117000000000001;0
60;-0,235;2,471;10,238;10;0,078;0,0790000000000002;0,157;0
61;-0,156;2,471;10,355;10;0,079;0;0,117000000000001;0
62;-0,196;2,51;10,473;10;-0,04;0,0389999999999997;0,118;0
63;-0,235;2,588;10,512;11;-0,039;0,0780000000000003;0,0389999999999997;1
64;-0,274;2,392;10,277;9;-0,039;-0,196;-0,235000000000001;-2
65;-0,313;2,432;10,159;10;-0,039;0,04;-0,117999999999999;1
66;-0,235;2,471;10,277;10;0,078;0,0390000000000001;0,117999999999999;0
67;-0,156;2,628;10,081;10;0,079;0,157;-0,196;0
68;0,0;2,471;10,081;10;0,156;-0,157;0;0
69;0,039;2,235;9,885;10;0,039;-0,236;-0,196;0
70;0,039;2,118;9,845;10;0;-0,117;-0,0399999999999991;0
71;-0,039;1,843;9,806;10;-0,078;-0,275;-0,0390000000000015;0
72;0,0;1,804;10,081;10;0,039;-0,0389999999999999;0,275;0
73;0,0;1,922;10,512;10;0;0,118;0,431000000000001;0
74;-0,078;2,0;10,591;10;-0,078;0,0780000000000001;0,0789999999999988;0
75;-0,274;1,922;10,512;10;-0,196;-0,0780000000000001;-0,0789999999999988;0
76;-0,509;1,882;10,591;10;-0,235;-0,04;0,0789999999999988;0
77;-0,47;1,882;10,63;10;0,039;0;0,0390000000000015;0
78;-0,549;1,961;10,434;10;-0,0790000000000001;0,0790000000000002;-0,196000000000002;0
79;-0,392;2,079;10,12;10;0,157;0,118;-0,314;0
80;-0,509;2,118;10,002;10;-0,117;0,0389999999999997;-0,117999999999999;0
81;-0,431;2,196;9,806;10;0,078;0,0780000000000003;-0,196000000000002;0
82;-0,353;2,157;9,845;10;0,078;-0,0390000000000001;0,0390000000000015;0
83;-0,353;2,118;9,767;10;0;-0,0390000000000001;-0,0780000000000012;0
84;-0,47;2,0;9,728;10;-0,117;-0,118;-0,0389999999999997;0
85;-0,353;1,922;9,767;10;0,117;-0,0780000000000001;0,0389999999999997;0
86;-0,431;1,804;9,728;10;-0,078;-0,118;-0,0389999999999997;0
87;-0,47;1,804;9,728;11;-0,039;0;0;1
