timestamp;x;y;z;|V|;dx;dy;dz;d|V|
0;0,509;3,608;9,806;00;0;0;0
1;0,588;3,648;9,688;10;0,079;0,04;-0,117999999999999;10
2;0,666;3,569;9,532;9;0,0780000000000001;-0,0790000000000002;-0,156000000000001;-1
3;0,666;3,648;9,375;10;0;0,0790000000000002;-0,157;1
4;0,745;3,765;9,296;10;0,079;0,117;-0,0790000000000006;0
5;0,666;3,804;9,335;10;-0,079;0,0389999999999997;0,0390000000000015;0
6;0,392;3,844;9,492;10;-0,274;0,04;0,157;0
7;0,392;4,118;9,61;10;0;0,274;0,117999999999999;0
8;0,509;4,197;9,688;10;0,117;0,0789999999999997;0,0780000000000012;0
9;0,588;4,04;9,728;10;0,079;-0,157;0,0399999999999991;0
10;0,509;3,491;9,767;11;-0,079;-0,549;0,0389999999999997;1
11;0,509;3,412;9,963;9;0;-0,0790000000000002;0,196;-2
12;0,588;3,726;9,885;10;0,079;0,314;-0,0779999999999994;1
13;0,745;3,765;9,767;10;0,157;0,0390000000000001;-0,118;0
14;0,706;3,608;9,61;20;-0,039;-0,157;-0,157;10
15;0,274;3,491;10,081;10;-0,432;-0,117;0,471;-10
16;0,0;3,412;10,159;10;-0,274;-0,0790000000000002;0,0780000000000012;0
17;0,274;3,844;9,845;10;0,274;0,432;-0,314;0
18;0,353;4,118;10,081;10;0,079;0,274;0,235999999999999;0
19;0,353;4,001;9,296;10;0;-0,117;-0,785;0
20;0,392;3,844;9,492;11;0,039;-0,157;0,196000000000002;1
21;0,156;3,648;9,61;9;-0,236;-0,196;0,117999999999999;-2
22;0,039;3,53;9,492;10;-0,117;-0,118;-0,117999999999999;1
23;0,156;3,569;9,375;10;0,117;0,0390000000000001;-0,117000000000001;0
24;0,431;3,844;9,571;10;0,275;0,275;0,196;0
25;0,431;3,883;9,453;10;0;0,0390000000000001;-0,118;0
26;0,156;3,765;9,767;10;-0,275;-0,118;0,314;0
27;-0,156;3,883;9,924;10;-0,312;0,118;0,157;0
