timestamp;x;y;z;|V|;dx;dy;dz;d|V|
0;0,392;4,158;8,786;00;0;0;0
1;0,431;4,079;8,747;9;0,039;-0,0790000000000006;-0,0389999999999997;9
2;0,47;4,236;8,865;10;0,039;0,157;0,118;1
3;0,549;4,275;8,982;11;0,0790000000000001;0,0390000000000006;0,116999999999999;1
4;0,549;4,275;9,061;9;0;0;0,0790000000000006;-2
5;0,353;4,275;9,139;11;-0,196;0;0,0779999999999994;2
6;0,235;4,55;9,375;9;-0,118;0,274999999999999;0,236000000000001;-2
7;0,274;4,707;9,492;11;0,039;0,157;0,117000000000001;2
8;0,509;4,864;9,806;10;0,235;0,157;0,313999999999998;-1
9;0,588;4,981;9,845;10;0,079;0,117;0,0390000000000015;0
10;0,588;4,824;9,963;15;0;-0,157;0,117999999999999;5
11;0,588;4,746;10,042;5;0;-0,0779999999999994;0,0790000000000006;-10
12;0,666;4,746;10,12;10;0,0780000000000001;0;0,0779999999999994;5
13;0,588;4,432;10,042;10;-0,0780000000000001;-0,314;-0,0779999999999994;0
14;0,431;4,55;10,238;9;-0,157;0,117999999999999;0,196;-1
15;0,627;4,236;9,845;11;0,196;-0,314;-0,392999999999999;2
16;0,588;4,275;10,159;10;-0,039;0,0390000000000006;0,314;-1
17;0,745;4,079;10,198;10;0,157;-0,196000000000001;0,0389999999999997;0
18;0,862;4,04;10,042;10;0,117;-0,0389999999999997;-0,156000000000001;0
19;0,823;3,922;9,806;10;-0,039;-0,118;-0,236000000000001;0
20;0,706;3,804;9,728;10;-0,117;-0,118;-0,0779999999999994;0
21;0,666;3,608;9,335;9;-0,0399999999999999;-0,196;-0,392999999999999;-1
22;0,666;3,804;9,296;11;0;0,196;-0,0390000000000015;2
23;0,784;3,726;9,139;9;0,118;-0,0779999999999998;-0,157;-2
24;0,666;3,844;9,022;11;-0,118;0,118;-0,116999999999999;2
25;0,706;4,001;8,708;10;0,0399999999999999;0,157;-0,314;-1
26;0,823;3,961;8,865;10;0,117;-0,0400000000000005;0,157;0
27;0,588;4,04;8,786;10;-0,235;0,0790000000000002;-0,0790000000000006;0
28;0,235;3,726;8,865;10;-0,353;-0,314;0,0790000000000006;0
29;0,039;3,687;8,904;9;-0,196;-0,0390000000000001;0,0389999999999997;-1
30;-0,039;3,608;8,904;10;-0,078;-0,0789999999999997;0;1
31;0,156;3,726;9,061;11;0,195;0,118;0,157;1
32;0,235;4,118;9,1;9;0,079;0,392;0,0389999999999997;-2
33;0,156;4,354;9,139;11;-0,079;0,236;0,0389999999999997;2
34;-0,078;4,314;9,1;9;-0,234;-0,04;-0,0389999999999997;-2
35;0,0;4,354;8,982;10;0,078;0,04;-0,118;1
36;0,078;4,197;8,865;11;0,078;-0,157;-0,116999999999999;1
37;0,117;4,001;8,904;10;0,039;-0,196;0,0389999999999997;-1
38;0,313;3,922;9,061;9;0,196;-0,0790000000000002;0,157;-1
39;0,392;3,726;9,179;11;0,079;-0,196;0,118;2
40;0,392;3,687;9,375;10;0;-0,0390000000000001;0,196;-1
41;0,313;3,726;9,61;10;-0,079;0,0390000000000001;0,234999999999999;0
42;0,196;3,53;9,728;9;-0,117;-0,196;0,118;-1
43;-0,078;3,373;9,688;10;-0,274;-0,157;-0,0399999999999991;1
44;-0,156;3,491;9,61;11;-0,078;0,118;-0,0780000000000012;1
45;-0,078;3,569;9,649;10;0,078;0,0779999999999998;0,0389999999999997;-1
46;0,039;3,922;9,453;10;0,117;0,353;-0,196;0
47;0,156;4,079;9,414;9;0,117;0,157;-0,0389999999999997;-1
48;0,078;4,001;9,492;11;-0,078;-0,0779999999999994;0,0780000000000012;2
49;0,078;4,001;9,571;9;0;0;0,0789999999999988;-2
50;-0,078;3,844;9,728;11;-0,156;-0,157;0,157;2
51;0,0;3,804;9,885;10;0,078;-0,04;0,157;-1
52;0,039;3,804;10,238;9;0,039;0;0,353;-1
53;0,078;3,883;10,63;11;0,039;0,0790000000000002;0,392000000000001;2
54;0,078;3,844;10,944;9;0;-0,0390000000000001;0,314;-2
55;0,0;3,608;11,454;10;-0,078;-0,236;0,51;1
56;-0,117;3,373;11,689;11;-0,117;-0,235;0,234999999999999;1
57;-0,274;3,098;11,924;10;-0,157;-0,275;0,234999999999999;-1
58;-0,666;2,824;11,885;10;-0,392;-0,274;-0,0389999999999997;0
59;-1,019;2,628;11,728;9;-0,353;-0,196;-0,157;-1
60;-1,019;2,432;11,493;11;0;-0,196;-0,234999999999999;2
61;-0,941;2,235;11,179;10;0,078;-0,197;-0,314;-1
62;-0,627;2,196;10,983;9;0,314;-0,0389999999999997;-0,196;-1
63;-0,274;2,157;10,708;11;0,353;-0,0390000000000001;-0,275;2
64;-0,235;2,039;10,551;10;0,039;-0,118;-0,157;-1
65;-0,117;2,196;10,395;9;0,118;0,157;-0,156000000000001;-1
66;-0,196;2,392;10,512;11;-0,079;0,196;0,117000000000001;2
67;-0,274;2,353;10,591;10;-0,078;-0,0389999999999997;0,0789999999999988;-1
68;-0,745;2,079;10,865;10;-0,471;-0,274;0,274000000000001;0
69;-1,137;2,039;10,944;9;-0,392;-0,04;0,0790000000000006;-1
70;-1,372;2,118;10,983;11;-0,235;0,0789999999999997;0,0389999999999997;2
71;-1,372;2,235;11,14;10;0;0,117;0,157;-1
