timestamp;x;y;z;|V|;dx;dy;dz;d|V|
0;0,731;6,852;6,448;00;0;0;0
1;0,731;6,852;6,448;4;0;0;0;4
2;1,033;7,192;6,563;5;0,302;0,34;0,114999999999999;1
3;1,698;7,905;6,597;5;0,665;0,713;0,0340000000000007;0
4;1,698;7,905;6,597;3;0;0;0;-2
5;1,698;7,905;6,597;2;0;0;0;-1
6;1,626;8,317;6,63;5;-0,0720000000000001;0,412;0,0329999999999995;3
7;1,626;8,317;6,63;5;0;0;0;0
8;-0,762;8,542;6,836;5;-2,388;0,225;0,206;0
9;-0,762;8,542;6,836;3;0;0;0;-2
10;-0,762;8,542;6,836;3;0;0;0;0
11;-1,873;8,437;6,405;4;-1,111;-0,105;-0,431;1
12;-1,873;8,437;6,405;5;0;0;0;1
13;-1,49;7,848;4,499;5;0,383;-0,589;-1,906;0
14;-1,49;7,848;4,499;4;0;0;0;-1
15;-1,49;7,848;4,499;1;0;0;0;-3
16;0,065;7,522;4,581;5;1,555;-0,326;0,0820000000000007;4
17;0,065;7,522;4,581;5;0;0;0;0
18;0,817;8,365;5,146;5;0,752;0,843;0,565;0
19;0,817;8,365;5,146;3;0;0;0;-2
20;0,817;8,365;5,146;2;0;0;0;-1
21;0,329;7,335;6,889;5;-0,488;-1,03;1,743;3
22;0,329;7,335;6,889;5;0;0;0;0
23;0,084;7,321;6,558;5;-0,245;-0,0140000000000002;-0,331;0
24;0,084;7,321;6,558;3;0;0;0;-2
25;0,084;7,321;6,558;2;0;0;0;-1
26;0,453;7,766;6,769;5;0,369;0,445;0,211;3
27;0,453;7,766;6,769;5;0;0;0;0
28;0,731;7,848;5,96;5;0,278;0,0819999999999999;-0,809;0
29;0,731;7,848;5,96;4;0;0;0;-1
30;0,635;7,972;5,706;6;-0,096;0,124000000000001;-0,254;2
31;0,635;7,972;5,706;5;0;0;0;-1
32;0,013;7,757;6,472;5;-0,622;-0,215000000000001;0,766;0
33;0,013;7,757;6,472;3;0;0;0;-2
34;0,013;7,757;6,472;2;0;0;0;-1
35;-0,312;7,671;6,98;5;-0,325;-0,0859999999999994;0,508;3
36;-0,025;7,833;6,199;5;0,287;0,162;-0,781000000000001;0
37;-0,025;7,833;6,199;5;0;0;0;0
38;-0,025;7,833;6,199;4;0;0;0;-1
39;0,152;7,848;5,084;1;0,177;0,0149999999999997;-1,115;-3
40;0,152;7,848;5,084;5;0;0;0;4
41;-0,073;7,896;4,097;5;-0,225;0,048;-0,986999999999999;0
42;-0,073;7,896;4,097;5;0;0;0;0
43;-0,073;7,896;4,097;4;0;0;0;-1
44;-0,475;7,829;3,408;1;-0,402;-0,0670000000000002;-0,689000000000001;-3
45;-0,475;7,829;3,408;5;0;0;0;4
46;-0,733;7,848;3,331;5;-0,258;0,0190000000000001;-0,077;0
47;-0,733;7,848;3,331;5;0;0;0;0
48;-0,733;7,848;3,331;3;0;0;0;-2
49;0,041;8,236;4,902;2;0,774;0,388000000000001;1,571;-1
50;0,041;8,236;4,902;5;0;0;0;3
51;0,19;8,724;5,017;5;0,149;0,488;0,115;0
52;0,19;8,724;5,017;5;0;0;0;0
53;0,19;8,724;5,017;3;0;0;0;-2
54;0,779;8,513;5,424;2;0,589;-0,211;0,407;-1
55;0,779;8,513;5,424;5;0;0;0;3
56;1,224;8,365;6,386;5;0,445;-0,148;0,962;0
57;1,224;8,365;6,386;5;0;0;0;0
58;1,224;8,365;6,386;4;0;0;0;-1
59;1,411;7,963;6,262;1;0,187;-0,402;-0,124000000000001;-3
60;1,411;7,963;6,262;5;0;0;0;4
61;1,09;7,479;6,803;5;-0,321;-0,484;0,541;0
62;1,09;7,479;6,803;5;0;0;0;0
63;1,09;7,479;6,803;3;0;0;0;-2
64;0,75;7,718;6,827;2;-0,34;0,239;0,024;-1
65;0,75;7,718;6,827;5;0;0;0;3
66;0,592;7,867;6,348;5;-0,158;0,149;-0,479;0
