timestamp;x;y;z;|V|;dx;dy;dz;d|V|
0;-0,298;1,244;9,791;00;0;0;0
1;-0,317;1,321;9,771;1;-0,019;0,077;-0,0199999999999996;1
2;-0,317;1,321;9,771;5;0;0;0;4
3;-0,441;1,369;9,546;5;-0,124;0,048;-0,225000000000001;0
4;-0,441;1,369;9,546;5;0;0;0;0
5;-0,441;1,369;9,546;4;0;0;0;-1
6;-0,47;1,374;9,518;1;-0,029;0,00500000000000012;-0,0279999999999987;-3
7;-0,47;1,374;9,518;5;0;0;0;4
8;-0,547;1,326;9,556;5;-0,0770000000000001;-0,048;0,0379999999999985;0
9;-0,618;1,331;9,637;5;-0,071;0,00499999999999989;0,0810000000000013;0
10;-0,618;1,331;9,637;4;0;0;0;-1
11;-0,618;1,331;9,637;1;0;0;0;-3
12;-0,58;1,316;9,671;5;0,038;-0,0149999999999999;0,0339999999999989;4
13;-0,58;1,316;9,671;5;0;0;0;0
14;-0,547;1,302;9,858;5;0,0329999999999999;-0,014;0,187000000000001;0
15;-0,547;1,302;9,858;4;0;0;0;-1
16;-0,547;1,302;9,858;1;0;0;0;-3
17;-0,47;1,283;10,04;5;0,0770000000000001;-0,0190000000000001;0,181999999999999;4
18;-0,47;1,283;10,04;5;0;0;0;0
19;-0,417;1,254;10,083;5;0,053;-0,0289999999999999;0,043000000000001;0
20;-0,417;1,254;10,083;4;0;0;0;-1
21;-0,417;1,254;10,083;1;0;0;0;-3
22;-0,465;1,268;10,087;5;-0,048;0,014;0,00399999999999956;4
23;-0,465;1,268;10,087;5;0;0;0;0
24;-0,513;1,312;10,001;5;-0,048;0,044;-0,0860000000000003;0
25;-0,513;1,312;10,001;4;0;0;0;-1
26;-0,513;1,312;10,001;1;0;0;0;-3
27;-0,523;1,364;9,853;5;-0,01;0,052;-0,148;4
28;-0,523;1,364;9,853;5;0;0;0;0
29;-0,561;1,412;9,791;5;-0,038;0,0479999999999998;-0,0619999999999994;0
30;-0,561;1,412;9,791;4;0;0;0;-1
31;-0,561;1,412;9,791;1;0;0;0;-3
32;-0,594;1,455;9,781;5;-0,0329999999999999;0,0430000000000001;-0,00999999999999979;4
33;-0,594;1,455;9,781;5;0;0;0;0
34;-0,585;1,46;9,858;5;0,00900000000000001;0,00499999999999989;0,077;0
35;-0,585;1,46;9,858;4;0;0;0;-1
36;-0,585;1,46;9,858;1;0;0;0;-3
37;-0,594;1,398;9,92;5;-0,00900000000000001;-0,0620000000000001;0,0619999999999994;4
38;-0,594;1,398;9,92;5;0;0;0;0
39;-0,647;1,374;10,03;5;-0,053;-0,0239999999999998;0,109999999999999;0
40;-0,647;1,374;10,03;4;0;0;0;-1
41;-0,647;1,374;10,03;1;0;0;0;-3
42;-0,609;1,359;10,15;5;0,038;-0,0150000000000001;0,120000000000001;4
43;-0,609;1,359;10,15;5;0;0;0;0
44;-0,58;1,331;10,145;5;0,029;-0,028;-0,00500000000000078;0
45;-0,58;1,331;10,145;4;0;0;0;-1
46;-0,58;1,331;10,145;1;0;0;0;-3
47;-0,614;1,35;10,274;5;-0,034;0,0190000000000001;0,129;4
48;-0,609;1,369;10,155;5;0,005;0,0189999999999999;-0,119;0
49;-0,609;1,369;10,155;5;0;0;0;0
50;-0,609;1,369;10,155;4;0;0;0;-1
51;-0,571;1,383;9,925;1;0,038;0,014;-0,229999999999999;-3
52;-0,571;1,383;9,925;5;0;0;0;4
53;-0,537;1,364;9,728;5;0,0339999999999999;-0,0189999999999999;-0,197000000000001;0
54;-0,537;1,364;9,728;5;0;0;0;0
55;-0,537;1,364;9,728;4;0;0;0;-1
56;-0,475;1,34;9,767;1;0,0620000000000001;-0,024;0,0389999999999997;-3
57;-0,475;1,34;9,767;5;0;0;0;4
58;-0,422;1,35;9,858;5;0,053;0,01;0,0910000000000011;0
59;-0,422;1,35;9,858;5;0;0;0;0
60;-0,422;1,35;9,858;4;0;0;0;-1
61;-0,489;1,355;9,858;1;-0,067;0,00499999999999989;0;-3
62;-0,489;1,355;9,858;5;0;0;0;4
63;-0,666;1,364;9,953;6;-0,177;0,00900000000000012;0,0949999999999989;1
64;-0,666;1,364;9,953;5;0;0;0;-1
65;-0,666;1,364;9,953;3;0;0;0;-2
66;-0,714;1,393;9,824;1;-0,0479999999999999;0,0289999999999999;-0,129;-2
67;-0,714;1,393;9,824;5;0;0;0;4
68;-0,772;1,388;9,704;5;-0,0580000000000001;-0,00500000000000012;-0,119999999999999;0
69;-0,772;1,388;9,704;5;0;0;0;0
70;-0,772;1,388;9,704;4;0;0;0;-1
71;-0,887;1,537;9,767;1;-0,115;0,149;0,0629999999999988;-3
72;-0,887;1,537;9,767;5;0;0;0;4
73;-0,714;1,417;9,685;5;0,173;-0,12;-0,081999999999999;0
74;-0,714;1,417;9,685;5;0;0;0;0
75;-0,714;1,417;9,685;4;0;0;0;-1
76;-0,858;1,79;9,733;1;-0,144;0,373;0,048;-3
77;-0,858;1,79;9,733;5;0;0;0;4
78;-0,633;1,613;9,546;6;0,225;-0,177;-0,187000000000001;1
79;-0,633;1,613;9,546;5;0;0;0;-1
80;-0,633;1,613;9,546;3;0;0;0;-2
81;-1,107;2,044;9,542;1;-0,474;0,431;-0,00399999999999956;-2
82;-1,112;1,929;9,561;5;-0,00500000000000012;-0,115;0,0190000000000001;4
83;-1,112;1,929;9,561;5;0;0;0;0
84;-0,738;1,733;9,412;5;0,374;-0,196;-0,148999999999999;0
85;-0,738;1,733;9,412;4;0;0;0;-1
86;-0,738;1,733;9,412;1;0;0;0;-3
87;-0,566;1,628;9,546;5;0,172;-0,105;0,133999999999999;4
88;-0,566;1,628;9,546;5;0;0;0;0
89;-0,465;1,771;9,57;5;0,101;0,143;0,0240000000000009;0
90;-0,465;1,771;9,57;4;0;0;0;-1
91;-0,465;1,771;9,57;1;0;0;0;-3
92;-0,369;1,618;9,714;5;0,096;-0,153;0,144;4
93;-0,369;1,618;9,714;6;0;0;0;1
94;-0,197;1,69;9,594;5;0,172;0,0719999999999998;-0,120000000000001;-1
95;-0,197;1,69;9,594;3;0;0;0;-2
96;-0,197;1,69;9,594;1;0;0;0;-2
97;-0,298;1,288;9,704;6;-0,101;-0,402;0,110000000000001;5
98;-0,298;1,288;9,704;5;0;0;0;-1
99;0,142;1,398;9,68;5;0,44;0,11;-0,0240000000000009;0
100;0,142;1,398;9,68;3;0;0;0;-2
101;0,142;1,398;9,68;1;0;0;0;-2
102;-0,039;1,192;10,226;6;-0,181;-0,206;0,546000000000001;5
103;-0,039;1,192;10,226;5;0;0;0;-1
104;-0,058;1,12;10,36;5;-0,019;-0,0719999999999998;0,133999999999999;0
105;-0,058;1,12;10,36;3;0;0;0;-2
106;-0,058;1,12;10,36;2;0;0;0;-1
107;0,017;1,173;10,624;5;0,075;0,0529999999999999;0,264000000000001;3
108;0,017;1,173;10,624;5;0;0;0;0
109;0,056;1,048;10,59;5;0,039;-0,125;-0,0340000000000007;0
110;0,056;1,048;10,59;3;0;0;0;-2
111;0,056;1,048;10,59;2;0;0;0;-1
112;0,061;1,326;10,499;5;0,005;0,278;-0,0909999999999993;3
113;0,061;1,326;10,499;5;0;0;0;0
114;-0,077;1,561;10,38;5;-0,138;0,235;-0,119;0
115;-0,077;1,561;10,38;3;0;0;0;-2
116;-0,077;1,561;10,38;2;0;0;0;-1
117;-0,211;1,455;9,834;5;-0,134;-0,106;-0,546000000000001;3
