timestamp;x;y;z;|V|;dx;dy;dz;d|V|
0;0,156;-0,033;9,585;0;0;0;0;
1;0,113;-0,114;9,795;6;-0,043;-0,081;0,21;6
2;0,142;-0,119;9,771;5;0,029;-0,005;-0,024;-1
3;0,142;-0,119;9,771;5;0;0;0;0
4;0,142;-0,119;9,771;3;0;0;0;-2
5;0,233;-0,177;9,819;2;0,091;-0,058;0,048;-1
6;0,233;-0,177;9,819;5;0;0;0;3
7;0,276;-0,11;9,81;5;0,043;0,067;-0,009;0
8;0,276;-0,11;9,81;5;0;0;0;0
9;0,276;-0,11;9,81;3;0;0;0;-2
10;0,333;-0,1;9,958;2;0,057;0,01;0,148;-1
11;0,333;-0,1;9,958;5;0;0;0;3
12;0,29;-0,138;9,939;5;-0,043;-0,038;-0,019;0
13;0,29;-0,138;9,939;5;0;0;0;0
14;0,29;-0,138;9,939;3;0;0;0;-2
15;0,348;-0,181;10,006;2;0,058;-0,043;0,067;-1
16;0,348;-0,181;10,006;5;0;0;0;3
17;0,113;-0,301;9,503;5;-0,235;-0,12;-0,503;0
18;0,113;-0,301;9,503;5;0;0;0;0
19;0,113;-0,301;9,503;3;0;0;0;-2
20;0,381;-0,071;10,035;2;0,268;0,23;0,532;-1
21;0,381;-0,071;10,035;5;0;0;0;3
22;0,281;-0,143;9,685;5;-0,1;-0,072;-0,35;0
23;0,281;-0,143;9,685;5;0;0;0;0
24;0,281;-0,143;9,685;3;0;0;0;-2
25;0,348;-0,258;10,188;2;0,067;-0,115;0,503;-1
26;0,348;-0,258;10,188;5;0;0;0;3
27;0,209;-0,277;10,255;5;-0,139;-0,019;0,067;0
28;0,209;-0,277;10,255;5;0;0;0;0
29;0,209;-0,277;10,255;3;0;0;0;-2
30;0,448;-0,272;10,38;2;0,239;0,005;0,125;-1
31;0,448;-0,272;10,38;5;0;0;0;3
32;0,238;-0,387;10,38;5;-0,21;-0,115;0;0
33;0,238;-0,387;10,38;5;0;0;0;0
34;0,238;-0,387;10,38;3;0;0;0;-2
35;0,065;-0,263;10,15;2;-0,173;0,124;-0,23;-1
36;0,065;-0,263;10,15;5;0;0;0;3
37;0,094;-0,277;9,872;5;0,029;-0,014;-0,278;0
