timestamp;x;y;z;|V|;dx;dy;dz;d|V|
0;0,252;9,481;1,392;00;0;0;0
1;0,252;9,481;1,392;3;0;0;0;3
2;0,171;9,629;1,248;5;-0,081;0,148;-0,144;2
3;0,171;9,629;1,248;5;0;0;0;0
4;0,171;9,629;1,248;4;0;0;0;-1
5;0,056;9,572;1,253;1;-0,115;-0,0570000000000004;0,00499999999999989;-3
6;0,056;9,572;1,253;5;0;0;0;4
7;-0,116;9,572;0,774;5;-0,172;0;-0,479;0
8;-0,116;9,572;0,774;5;0;0;0;0
9;-0,116;9,572;0,774;4;0;0;0;-1
10;-0,073;9,873;0,209;1;0,043;0,301;-0,565;-3
11;-0,073;9,873;0,209;5;0;0;0;4
12;-0,077;10,141;-0,144;5;-0,004;0,268000000000001;-0,353;0
13;-0,077;10,141;-0,144;5;0;0;0;0
14;-0,077;10,141;-0,144;4;0;0;0;-1
15;-0,211;10,137;-0,302;1;-0,134;-0,00399999999999956;-0,158;-3
16;-0,211;10,137;-0,302;5;0;0;0;4
17;-0,322;9,974;-0,149;5;-0,111;-0,163;0,153;0
18;-0,322;9,974;-0,149;5;0;0;0;0
19;-0,322;9,974;-0,149;4;0;0;0;-1
20;-0,288;10,137;-0,044;1;0,034;0,163;0,105;-3
21;-0,288;10,137;-0,044;5;0;0;0;4
22;-0,207;9,84;0,286;5;0,081;-0,297000000000001;0,33;0
23;-0,207;9,84;0,286;5;0;0;0;0
24;-0,207;9,84;0,286;4;0;0;0;-1
25;-0,183;9,744;0,75;1;0,024;-0,0960000000000001;0,464;-3
26;-0,164;9,71;1,042;5;0,019;-0,0339999999999989;0,292;4
27;-0,164;9,71;1,042;5;0;0;0;0
28;-0,374;9,447;1,238;5;-0,21;-0,263000000000002;0,196;0
29;-0,374;9,447;1,238;4;0;0;0;-1
30;-0,374;9,447;1,238;1;0;0;0;-3
31;-0,283;9,327;1,813;5;0,091;-0,119999999999999;0,575;4
32;-0,283;9,327;1,813;5;0;0;0;0
33;-0,111;9,279;1,918;5;0,172;-0,048;0,105;0
34;-0,111;9,279;1,918;4;0;0;0;-1
35;-0,111;9,279;1,918;1;0;0;0;-3
36;0,156;9,49;1,693;5;0,267;0,211;-0,225;4
37;0,156;9,49;1,693;5;0;0;0;0
38;0,032;9,528;1,646;5;-0,124;0,0380000000000003;-0,0470000000000002;0
39;0,032;9,528;1,646;4;0;0;0;-1
40;0,032;9,528;1,646;1;0;0;0;-3
41;-0,154;9,567;1,344;5;-0,186;0,0389999999999997;-0,302;4
42;-0,154;9,567;1,344;5;0;0;0;0
43;-0,24;9,744;0,659;5;-0,086;0,177;-0,685;0
44;-0,24;9,744;0,659;4;0;0;0;-1
45;-0,24;9,744;0,659;1;0;0;0;-3
46;-0,422;9,921;0,295;5;-0,182;0,177;-0,364;4
47;-0,422;9,921;0,295;5;0;0;0;0
48;-0,604;9,926;0,113;5;-0,182;0,00500000000000078;-0,182;0
49;-0,604;9,926;0,113;4;0;0;0;-1
50;-0,604;9,926;0,113;1;0;0;0;-3
51;-0,709;9,777;0,147;5;-0,105;-0,149000000000001;0,034;4
52;-0,709;9,777;0,147;5;0;0;0;0
53;-0,638;9,691;0,482;5;0,071;-0,0859999999999985;0,335;0
54;-0,638;9,691;0,482;4;0;0;0;-1
55;-0,638;9,691;0,482;1;0;0;0;-3
56;-0,566;9,567;0,803;5;0,0720000000000001;-0,124000000000001;0,321;4
57;-0,566;9,567;0,803;5;0;0;0;0
58;-0,489;9,514;1,1;5;0,077;-0,0530000000000008;0,297;0
59;-0,489;9,514;1,1;4;0;0;0;-1
60;-0,575;9,476;0,961;1;-0,086;-0,0379999999999985;-0,139;-3
61;-0,575;9,476;0,961;5;0;0;0;4
62;-0,408;9,6;0,645;5;0,167;0,123999999999999;-0,316;0
63;-0,408;9,6;0,645;5;0;0;0;0
64;-0,408;9,6;0,645;4;0;0;0;-1
65;-0,336;9,725;0,477;1;0,072;0,125;-0,168;-3
66;-0,336;9,725;0,477;5;0;0;0;4
67;-0,226;9,84;0,31;5;0,11;0,115;-0,167;0
68;-0,226;9,84;0,31;5;0;0;0;0
69;-0,226;9,84;0,31;4;0;0;0;-1
70;-0,274;9,768;0,539;1;-0,048;-0,0719999999999992;0,229;-3
71;-0,274;9,768;0,539;5;0;0;0;4
72;-0,298;9,643;0,707;6;-0,024;-0,125;0,168;1
73;-0,298;9,643;0,707;5;0;0;0;-1
74;-0,298;9,643;0,707;3;0;0;0;-2
75;-0,173;9,619;1,133;1;0,125;-0,0240000000000009;0,426;-2
76;-0,173;9,619;1,133;5;0;0;0;4
77;-0,135;9,524;1,444;5;0,038;-0,0950000000000006;0,311;0
78;-0,135;9,524;1,444;5;0;0;0;0
79;-0,135;9,524;1,444;4;0;0;0;-1
80;-0,183;9,572;1,148;1;-0,048;0,048;-0,296;-3
81;-0,183;9,572;1,148;5;0;0;0;4
82;-0,207;9,71;0,846;5;-0,024;0,138000000000002;-0,302;0
83;-0,207;9,71;0,846;5;0;0;0;0
84;-0,207;9,71;0,846;4;0;0;0;-1
85;-0,302;9,777;0,678;1;-0,095;0,0669999999999984;-0,168;-3
86;-0,302;9,777;0,678;5;0;0;0;4
87;-0,46;9,768;0,592;6;-0,158;-0,00899999999999856;-0,0860000000000001;1
88;-0,46;9,768;0,592;5;0;0;0;-1
89;-0,46;9,768;0,592;3;0;0;0;-2
90;-0,551;9,801;0,386;1;-0,091;0,0329999999999995;-0,206;-2
91;-0,551;9,801;0,386;5;0;0;0;4
92;-0,556;9,792;0,434;5;-0,005;-0,00900000000000034;0,048;0
93;-0,58;9,777;0,669;5;-0,0239999999999999;-0,0150000000000006;0,235;0
94;-0,58;9,777;0,669;4;0;0;0;-1
95;-0,58;9,777;0,669;1;0;0;0;-3
96;-0,661;9,672;0,841;5;-0,0810000000000001;-0,104999999999999;0,172;4
97;-0,661;9,672;0,841;5;0;0;0;0
98;-0,647;9,6;0,994;5;0,014;-0,072000000000001;0,153;0
99;-0,647;9,6;0,994;4;0;0;0;-1
100;-0,647;9,6;0,994;1;0;0;0;-3
101;-0,594;9,524;0,985;5;0,053;-0,0760000000000005;-0,00900000000000001;4
102;-0,594;9,524;0,985;6;0;0;0;1
103;-0,47;9,548;1,023;5;0,124;0,0240000000000009;0,0379999999999999;-1
104;-0,47;9,548;1,023;3;0;0;0;-2
105;-0,47;9,548;1,023;1;0;0;0;-2
106;-0,499;9,452;1,1;5;-0,029;-0,0960000000000001;0,0770000000000002;4
107;-0,499;9,452;1,1;6;0;0;0;1
108;-0,456;9,361;1,229;5;0,043;-0,0909999999999993;0,129;-1
109;-0,456;9,361;1,229;3;0;0;0;-2
110;-0,456;9,361;1,229;2;0;0;0;-1
111;-0,432;9,404;1,148;5;0,024;0,0429999999999993;-0,0810000000000002;3
112;-0,432;9,404;1,148;5;0;0;0;0
113;-0,441;9,447;1,176;5;-0,00900000000000001;0,0429999999999993;0,028;0
114;-0,441;9,447;1,176;3;0;0;0;-2
115;-0,441;9,447;1,176;2;0;0;0;-1
116;-0,547;9,437;0,999;5;-0,106;-0,00999999999999979;-0,177;3
117;-0,547;9,437;0,999;5;0;0;0;0
118;-0,484;9,624;0,808;5;0,0630000000000001;0,187000000000001;-0,191;0
119;-0,484;9,624;0,808;3;0;0;0;-2
120;-0,484;9,624;0,808;2;0;0;0;-1
121;-0,527;9,749;0,582;5;-0,043;0,125;-0,226;3
122;-0,527;9,749;0,582;5;0;0;0;0
123;-0,59;9,706;0,506;5;-0,0629999999999999;-0,043000000000001;-0,076;0
124;-0,59;9,706;0,506;3;0;0;0;-2
125;-0,59;9,706;0,506;2;0;0;0;-1
126;-0,465;9,725;0,64;5;0,125;0,0190000000000001;0,134;3
127;-0,465;9,725;0,64;5;0;0;0;0
128;-0,441;9,643;0,798;5;0,024;-0,081999999999999;0,158;0
129;-0,441;9,643;0,798;3;0;0;0;-2
130;-0,135;9,639;1,234;2;0,306;-0,00400000000000134;0,436;-1
131;-0,135;9,639;1,234;5;0;0;0;3
132;-0,029;9,605;1,358;5;0,106;-0,0339999999999989;0,124;0
133;-0,029;9,605;1,358;5;0;0;0;0
134;-0,029;9,605;1,358;3;0;0;0;-2
135;0,104;9,629;1,487;2;0,133;0,0239999999999991;0,129;-1
136;0,104;9,629;1,487;5;0;0;0;3
137;0,099;9,658;1,732;5;-0,00499999999999999;0,0289999999999999;0,245;0
138;0,099;9,658;1,732;5;0;0;0;0
139;0,099;9,658;1,732;4;0;0;0;-1
140;-0,001;9,619;1,636;1;-0,1;-0,0389999999999997;-0,0960000000000001;-3
141;-0,001;9,619;1,636;5;0;0;0;4
142;-0,005;9,691;1,43;5;-0,004;0,072000000000001;-0,206;0
143;-0,005;9,691;1,43;5;0;0;0;0
144;-0,005;9,691;1,43;3;0;0;0;-2
145;-0,02;9,797;1,167;2;-0,015;0,106;-0,263;-1
146;-0,02;9,797;1,167;5;0;0;0;3
147;0,08;9,902;1,09;5;0,1;0,104999999999999;-0,077;0
148;0,08;9,902;1,09;5;0;0;0;0
149;0,08;9,902;1,09;3;0;0;0;-2
150;0,013;9,907;1,018;2;-0,067;0,00500000000000078;-0,0720000000000001;-1
151;0,013;9,907;1,018;5;0;0;0;3
152;0,089;9,888;1,061;5;0,076;-0,0190000000000001;0,0429999999999999;0
153;0,089;9,888;1,061;5;0;0;0;0
154;0,089;9,888;1,061;3;0;0;0;-2
155;0,128;9,935;1,191;2;0,039;0,0470000000000006;0,13;-1
156;0,128;9,935;1,191;5;0;0;0;3
157;0,137;9,911;1,148;5;0,00900000000000001;-0,0240000000000009;-0,0430000000000001;0
158;0,137;9,911;1,148;5;0;0;0;0
159;0,137;9,911;1,148;3;0;0;0;-2
160;0,19;9,974;1,052;2;0,053;0,0630000000000006;-0,0959999999999999;-1
161;0,19;9,974;1,052;5;0;0;0;3
162;0,185;9,94;0,884;5;-0,005;-0,0340000000000007;-0,168;0
163;0,185;9,94;0,884;5;0;0;0;0
164;0,185;9,94;0,884;3;0;0;0;-2
165;0,161;9,854;0,932;2;-0,024;-0,0860000000000003;0,048;-1
166;0,171;9,883;0,946;5;0,01;0,0289999999999999;0,0139999999999999;3
167;0,171;9,883;0,946;5;0;0;0;0
