timestamp;x;y;z;|V|;dx;dy;dz;d|V|
0;0,554;6,526;7,281;00;0;0;0
1;0,554;6,526;7,281;5;0;0;0;5
2;0,697;6,517;7,698;5;0,143;-0,00899999999999945;0,417000000000001;0
3;0,697;6,517;7,698;4;0;0;0;-1
4;0,697;6,517;7,698;1;0;0;0;-3
5;0,712;6,521;7,732;5;0,015;0,00399999999999956;0,0339999999999998;4
6;0,712;6,521;7,732;5;0;0;0;0
7;0,611;6,56;7,607;5;-0,101;0,0389999999999997;-0,125;0
8;0,611;6,56;7,607;3;0;0;0;-2
9;0,611;6,56;7,607;2;0;0;0;-1
10;0,401;6,579;7,439;5;-0,21;0,0190000000000001;-0,168;3
11;0,401;6,579;7,439;5;0;0;0;0
12;0,223;6,574;7,248;5;-0,178;-0,00499999999999989;-0,191;0
13;0,223;6,574;7,248;3;0;0;0;-2
14;0,18;6,607;7,214;2;-0,043;0,0330000000000004;-0,0339999999999998;-1
15;0,18;6,607;7,214;5;0;0;0;3
16;0,142;6,564;7,315;5;-0,038;-0,0430000000000001;0,101;0
17;0,142;6,564;7,315;5;0;0;0;0
18;0,142;6,564;7,315;3;0;0;0;-2
19;0,199;6,631;7,238;2;0,057;0,0670000000000002;-0,077;-1
20;0,199;6,631;7,238;5;0;0;0;3
21;0,353;6,713;7,368;5;0,154;0,0819999999999999;0,13;0
22;0,353;6,713;7,368;5;0;0;0;0
23;0,353;6,713;7,368;3;0;0;0;-2
24;0,563;6,799;7,55;2;0,21;0,0860000000000003;0,181999999999999;-1
25;0,563;6,799;7,55;5;0;0;0;3
26;0,568;6,833;7,746;5;0,005;0,0339999999999998;0,196000000000001;0
27;0,568;6,833;7,746;5;0;0;0;0
28;0,568;6,833;7,746;3;0;0;0;-2
29;0,477;6,646;7,655;2;-0,091;-0,187;-0,0910000000000002;-1
30;0,477;6,646;7,655;5;0;0;0;3
31;0,271;6,641;7,688;5;-0,206;-0,00499999999999989;0,0329999999999995;0
32;0,271;6,641;7,688;5;0;0;0;0
33;0,271;6,641;7,688;3;0;0;0;-2
34;0,175;6,631;7,487;2;-0,096;-0,00999999999999979;-0,201;-1
35;0,175;6,631;7,487;5;0;0;0;3
36;0,314;6,78;7,387;5;0,139;0,149;-0,100000000000001;0
37;0,314;6,78;7,387;5;0;0;0;0
38;0,314;6,78;7,387;3;0;0;0;-2
39;0,429;6,785;7,272;2;0,115;0,00499999999999989;-0,114999999999999;-1
40;0,429;6,785;7,272;5;0;0;0;3
41;0,453;6,785;7,114;5;0,024;0;-0,158;0
42;0,453;6,785;7,114;5;0;0;0;0
43;0,453;6,785;7,114;3;0;0;0;-2
44;0,53;6,737;7,21;2;0,077;-0,048;0,0960000000000001;-1
45;0,654;6,617;7,339;5;0,124;-0,12;0,129;3
46;0,654;6,617;7,339;5;0;0;0;0
47;0,702;6,521;7,502;5;0,0479999999999999;-0,0960000000000001;0,162999999999999;0
48;0,702;6,521;7,502;4;0;0;0;-1
49;0,702;6,521;7,502;1;0;0;0;-3
50;0,559;6,493;7,473;5;-0,143;-0,0279999999999996;-0,0289999999999999;4
51;0,559;6,493;7,473;5;0;0;0;0
52;0,511;6,411;7,372;5;-0,048;-0,0820000000000007;-0,101;0
53;0,511;6,411;7,372;3;0;0;0;-2
54;0,511;6,411;7,372;2;0;0;0;-1
55;0,525;6,397;7,339;5;0,014;-0,0139999999999993;-0,0329999999999995;3
56;0,525;6,397;7,339;5;0;0;0;0
57;0,549;6,531;7,157;5;0,024;0,133999999999999;-0,182;0
58;0,549;6,531;7,157;3;0;0;0;-2
59;0,549;6,531;7,157;2;0;0;0;-1
60;0,621;6,54;7,009;5;0,072;0,00900000000000034;-0,148;3
61;0,621;6,54;7,009;5;0;0;0;0
62;0,726;6,607;7,013;5;0,105;0,0670000000000002;0,00399999999999956;0
63;0,726;6,607;7,013;3;0;0;0;-2
64;0,726;6,607;7,013;2;0;0;0;-1
65;0,817;6,607;7,032;5;0,091;0;0,0190000000000001;3
66;0,817;6,607;7,032;5;0;0;0;0
67;0,769;6,703;6,989;5;-0,0479999999999999;0,0960000000000001;-0,0430000000000001;0
68;0,769;6,703;6,989;4;0;0;0;-1
69;0,769;6,703;6,989;1;0;0;0;-3
70;0,86;6,641;6,961;5;0,091;-0,0620000000000003;-0,0279999999999996;4
71;0,86;6,641;6,961;5;0;0;0;0
72;0,889;6,584;7,253;5;0,029;-0,0570000000000004;0,292;0
73;0,889;6,584;7,253;3;0;0;0;-2
74;0,922;6,655;7,545;2;0,033;0,0710000000000006;0,292;-1
75;0,922;6,655;7,545;5;0;0;0;3
76;0,985;6,497;7,401;5;0,0629999999999999;-0,158;-0,144;0
77;0,985;6,497;7,401;5;0;0;0;0
78;0,985;6,497;7,401;3;0;0;0;-2
79;0,827;6,617;7,31;2;-0,158;0,12;-0,0910000000000002;-1
80;0,827;6,617;7,31;5;0;0;0;3
81;0,764;6,66;7,143;5;-0,0629999999999999;0,0430000000000001;-0,167;0
82;0,764;6,66;7,143;5;0;0;0;0
83;0,764;6,66;7,143;3;0;0;0;-2
84;0,76;6,77;7,013;2;-0,004;0,109999999999999;-0,13;-1
85;0,76;6,77;7,013;5;0;0;0;3
86;0,922;6,924;7,013;5;0,162;0,154000000000001;0;0
87;0,922;6,924;7,013;5;0;0;0;0
88;0,922;6,924;7,013;3;0;0;0;-2
89;1,023;7,01;7,157;2;0,101;0,0859999999999994;0,144;-1
90;1,023;7,01;7,157;5;0;0;0;3
91;1,057;7,005;7,301;5;0,034;-0,00499999999999989;0,144;0
92;1,057;7,005;7,301;5;0;0;0;0
93;1,057;7,005;7,301;4;0;0;0;-1
94;1,013;6,924;7,516;1;-0,044;-0,0809999999999995;0,215;-3
95;1,013;6,924;7,516;5;0;0;0;4
96;0,899;6,852;7,554;5;-0,114;-0,0720000000000001;0,0380000000000003;0
97;0,899;6,852;7,554;5;0;0;0;0
98;0,899;6,852;7,554;3;0;0;0;-2
99;0,831;6,746;7,53;2;-0,0680000000000001;-0,106;-0,024;-1
100;0,831;6,746;7,53;5;0;0;0;3
101;0,673;6,627;7,497;5;-0,158;-0,119000000000001;-0,0330000000000004;0
102;0,673;6,627;7,497;5;0;0;0;0
103;0,673;6,627;7,497;3;0;0;0;-2
104;0,616;6,545;7,42;2;-0,0570000000000001;-0,0819999999999999;-0,077;-1
105;0,511;6,43;7,66;5;-0,105;-0,115;0,24;3
106;0,511;6,43;7,66;5;0;0;0;0
107;0,338;6,32;7,636;5;-0,173;-0,109999999999999;-0,024;0
108;0,338;6,32;7,636;3;0;0;0;-2
109;0,338;6,32;7,636;2;0;0;0;-1
110;0,219;6,22;7,53;5;-0,119;-0,100000000000001;-0,106;3
111;0,219;6,22;7,53;5;0;0;0;0
112;0,171;6,162;7,439;5;-0,048;-0,0579999999999998;-0,0910000000000002;0
113;0,171;6,162;7,439;3;0;0;0;-2
114;0,171;6,162;7,439;2;0;0;0;-1
115;0,286;6,239;7,315;5;0,115;0,077;-0,124;3
116;0,286;6,239;7,315;5;0;0;0;0
117;0,396;6,339;7,167;5;0,11;0,100000000000001;-0,148000000000001;0
118;0,396;6,339;7,167;4;0;0;0;-1
119;0,396;6,339;7,167;1;0;0;0;-3
120;0,511;6,426;7,037;5;0,115;0,0869999999999997;-0,13;4
121;0,511;6,426;7,037;5;0;0;0;0
122;0,616;6,502;6,831;5;0,105;0,0759999999999996;-0,206;0
123;0,616;6,502;6,831;3;0;0;0;-2
124;0,616;6,502;6,831;2;0;0;0;-1
125;0,544;6,564;6,692;5;-0,072;0,0620000000000003;-0,139;3
126;0,544;6,564;6,692;5;0;0;0;0
127;0,401;6,488;6,692;5;-0,143;-0,0759999999999996;0;0
128;0,401;6,488;6,692;3;0;0;0;-2
129;0,401;6,488;6,692;2;0;0;0;-1
130;0,372;6,426;6,913;5;-0,029;-0,0620000000000003;0,221;3
131;0,372;6,426;6,913;5;0;0;0;0
132;0,463;6,459;6,927;5;0,091;0,0329999999999995;0,0139999999999993;0
133;0,463;6,459;6,927;4;0;0;0;-1
134;0,463;6,459;6,927;1;0;0;0;-3
135;0,602;6,426;7,143;5;0,139;-0,0329999999999995;0,216;4
136;0,65;6,402;7,224;5;0,048;-0,024;0,0810000000000004;0
137;0,65;6,402;7,224;5;0;0;0;0
138;0,65;6,402;7,224;4;0;0;0;-1
139;0,492;6,426;7,205;6;-0,158;0,024;-0,0190000000000001;2
140;0,338;6,382;7,056;5;-0,154;-0,0440000000000005;-0,149;-1
141;0,338;6,382;7,056;5;0;0;0;0
142;0,338;6,382;7,056;4;0;0;0;-1
143;0,252;6,454;6,764;1;-0,086;0,0720000000000001;-0,292;-3
144;0,252;6,454;6,764;5;0;0;0;4
145;0,18;6,483;6,688;5;-0,072;0,0289999999999999;-0,0760000000000005;0
146;0,18;6,483;6,688;5;0;0;0;0
147;0,18;6,483;6,688;4;0;0;0;-1
