timestamp;x;y;z;|V|;dx;dy;dz;d|V|
0;-0,172;8,762;4,127;0;0;0;0;
1;-0,038;8,734;4,759;9;0,134;-0,028;0,632;9
2;0,038;8,695;5,008;10;0,076;-0,039;0,249;1
3;0,181;8,695;5,114;10;0,143;0;0,106;0
4;-0,019;8,839;5,248;10;-0,2;0,144;0,134;0
5;-0,229;8,781;3,715;9;-0,21;-0,058;-1,533;-1
6;0,124;8,255;3,122;10;0,353;-0,526;-0,593;1
7;0,995;7,977;3,323;10;0,871;-0,278;0,201;0
8;2,011;7,517;3,811;10;1,016;-0,46;0,488;0
9;2,815;7,287;4,213;9;0,804;-0,23;0,402;-1
10;3,284;7,326;4,194;10;0,469;0,039;-0,019;1
11;3,361;7,422;3,897;10;0,077;0,096;-0,297;0
12;2,997;7,508;3,457;10;-0,364;0,086;-0,44;0
13;2,451;7,69;3,035;9;-0,546;0,182;-0,422;-1
14;1,953;7,699;2,911;10;-0,498;0,009;-0,124;1
15;1,57;7,661;2,451;10;-0,383;-0,038;-0,46;0
16;1,599;7,603;2,652;10;0,029;-0,058;0,201;0
17;1,896;7,556;3,811;10;0,297;-0,047;1,159;0
18;1,714;7,805;4,951;9;-0,182;0,249;1,14;-1
19;1,762;8,054;5,372;10;0,048;0,249;0,421;1
20;1,924;8,456;5,075;10;0,162;0,402;-0,297;0
21;1,398;8,561;4,817;10;-0,526;0,105;-0,258;0
22;0,44;8,599;4,807;9;-0,958;0,038;-0,01;-1
23;0,287;8,58;4,462;10;-0,153;-0,019;-0,345;1
24;0,679;8,379;4,223;10;0,392;-0,201;-0,239;0
25;1,637;8,245;4,28;10;0,958;-0,134;0,057;0
26;1,58;8,513;4,261;9;-0,057;0,268;-0,019;-1
27;1,225;8,485;4,367;10;-0,355;-0,028;0,106;1
28;0,794;8,312;4,616;10;-0,431;-0,173;0,249;0
29;0,775;8,322;4,778;10;-0,019;0,01;0,162;0
30;0,536;8,532;4,568;9;-0,239;0,21;-0,21;-1
31;0,66;8,207;4,386;10;0,124;-0,325;-0,182;1
32;0,296;7,939;4,654;10;-0,364;-0,268;0,268;0
33;1,11;8,389;4,213;10;0,814;0,45;-0,441;0
34;1,714;7,651;4,587;10;0,604;-0,738;0,374;0
35;1,302;8,341;5,181;9;-0,412;0,69;0,594;-1
36;0,507;8,868;5,64;10;-0,795;0,527;0,459;1
37;0,105;8,628;4,759;10;-0,402;-0,24;-0,881;0
38;0,632;8,513;3,926;10;0,527;-0,115;-0,833;0
39;1,091;8,465;4,012;9;0,459;-0,048;0,086;-1
40;1,177;8,245;3,84;10;0,086;-0,22;-0,172;1
41;1,072;7,824;3,562;10;-0,105;-0,421;-0,278;0
42;0,957;7,9;3,505;10;-0,115;0,076;-0,057;0
43;1,072;8,006;3,572;9;0,115;0,106;0,067;-1
44;0,9;7,852;3,543;10;-0,172;-0,154;-0,029;1
45;0,45;7,709;3,323;10;-0,45;-0,143;-0,22;0
46;0,277;7,594;3,265;10;-0,173;-0,115;-0,058;0
47;0,411;7,412;3,754;9;0,134;-0,182;0,489;-1
48;0,507;7,278;4,491;10;0,096;-0,134;0,737;1
49;0,316;7,23;4,817;10;-0,191;-0,048;0,326;0
50;0,287;7,278;5,037;10;-0,029;0,048;0,22;0
51;0,402;7,326;5,056;10;0,115;0,048;0,019;0
52;0,354;7,345;4,606;9;-0,048;0,019;-0,45;-1
53;0,114;7,326;3,897;10;-0,24;-0,019;-0,709;1
54;-0,325;7,412;3,418;10;-0,439;0,086;-0,479;0
55;-0,651;7,489;3,256;10;-0,326;0,077;-0,162;0
56;-0,67;7,469;3,332;9;-0,019;-0,02;0,076;-1
57;-0,641;7,556;4,003;10;0,029;0,087;0,671;1
58;-0,651;7,671;4,596;10;-0,01;0,115;0,593;0
59;-0,536;7,718;4,692;10;0,115;0,047;0,096;0
60;-0,162;7,766;4,73;9;0,374;0,048;0,038;-1
61;0,421;7,872;5,018;10;0,583;0,106;0,288;1
62;0,823;7,929;5,037;10;0,402;0,057;0,019;0
63;0,928;7,91;5,152;10;0,105;-0,019;0,115;0
64;0,689;7,805;6,004;10;-0,239;-0,105;0,852;0
65;0,181;7,709;6,799;9;-0,508;-0,096;0,795;-1
66;0,038;7,584;7,268;10;-0,143;-0,125;0,469;1
67;0,919;7,45;8,35;10;0,881;-0,134;1,082;0
68;1,637;7,393;9,567;10;0,718;-0,057;1,217;0
69;1,8;7,422;10,18;9;0,163;0,029;0,613;-1
70;1,513;7,603;10,122;10;-0,287;0,181;-0,058;1
71;0,976;7,613;9,701;10;-0,537;0,01;-0,421;0
72;0,727;7,671;9,136;10;-0,249;0,058;-0,565;0
73;1,005;7,718;8,408;9;0,278;0,047;-0,728;-1
74;1,58;7,642;8,303;10;0,575;-0,076;-0,105;1
75;1,972;7,508;8,437;10;0,392;-0,134;0,134;0
76;1,924;7,45;8,427;10;-0,048;-0,058;-0,01;0
77;1,666;7,354;8,456;9;-0,258;-0,096;0,029;-1
78;1,465;7,316;8,188;10;-0,201;-0,038;-0,268;1
79;1,302;7,22;7,431;10;-0,163;-0,096;-0,757;0
80;1,139;7,077;6,895;10;-0,163;-0,143;-0,536;0
81;1,082;6,952;6,876;10;-0,057;-0,125;-0,019;0
82;0,699;6,732;7,029;9;-0,383;-0,22;0,153;-1
83;0,383;6,588;7,249;10;-0,316;-0,144;0,22;1
84;0,354;6,358;7,68;10;-0,029;-0,23;0,431;0
85;0,258;6,205;8,14;10;-0,096;-0,153;0,46;0
86;0,124;6,148;8,121;9;-0,134;-0,057;-0,019;-1
87;-0,028;6,196;7,489;10;-0,152;0,048;-0,632;1
88;-0,172;6,167;6,684;10;-0,144;-0,029;-0,805;0
89;-0,258;6,177;5,813;10;-0,086;0,01;-0,871;0
90;-0,258;6,234;5,42;9;0;0,057;-0,393;-1
91;-0,21;6,301;5,391;10;0,048;0,067;-0,029;1
92;0;6,358;5,717;10;0,21;0,057;0,326;0
93;-0,028;6,397;6,368;10;-0,028;0,039;0,651;0
