timestamp;x;y;z;|V|;dx;dy;dz;d|V|
0;0,881;7,709;1,877;0;0;0;0;
1;0,737;7,805;2,336;9;-0,144;0,096;0,459;9
2;0,881;8,169;3,821;10;0,144;0,364;1,485;1
3;0,881;8,216;4,367;10;0;0,047;0,546;0
4;2,011;8,465;5,085;10;1,13;0,249;0,718;0
5;2,298;8,226;4,548;9;0,287;-0,239;-0,537;-1
6;2,078;7,977;3,658;10;-0,22;-0,249;-0,89;1
7;1,944;7,881;3,562;10;-0,134;-0,096;-0,096;0
8;1,857;8,034;4,127;10;-0,087;0,153;0,565;0
9;1,896;8,073;4,903;9;0,039;0,039;0,776;-1
10;1,685;7,958;5,209;10;-0,211;-0,115;0,306;1
11;1,455;8,006;5,152;10;-0,23;0,048;-0,057;0
12;1,158;8,044;4,702;10;-0,297;0,038;-0,45;0
13;1,063;8,36;4,165;9;-0,095;0,316;-0,537;-1
14;1,043;8,542;3,897;10;-0,02;0,182;-0,268;1
15;1,264;8,772;4,223;10;0,221;0,23;0,326;0
16;1,561;8,877;4,644;10;0,297;0,105;0,421;0
17;1,8;8,81;4,558;10;0,239;-0,067;-0,086;0
18;1,953;8,456;4,989;9;0,153;-0,354;0,431;-1
19;2,039;8,283;5,42;10;0,086;-0,173;0,431;1
20;2,059;8,341;5,401;10;0,02;0,058;-0,019;0
21;2,154;8,398;5,123;10;0,095;0,057;-0,278;0
22;2,173;8,322;4,73;9;0,019;-0,076;-0,393;-1
23;1,877;8,418;4,347;10;-0,296;0,096;-0,383;1
24;1,484;8,303;4,003;10;-0,393;-0,115;-0,344;0
25;1,369;8,207;3,926;10;-0,115;-0,096;-0,077;0
26;0,919;8,35;3,916;9;-0,45;0,143;-0,01;-1
27;0,785;8,858;4,51;10;-0,134;0,508;0,594;1
28;1,264;9,308;4,855;10;0,479;0,45;0,345;0
29;1,647;9,078;5,171;10;0,383;-0,23;0,316;0
30;2,078;8,801;5,123;9;0,431;-0,277;-0,048;-1
31;1,886;8,762;4,807;10;-0,192;-0,039;-0,316;1
32;1,187;8,896;4,548;10;-0,699;0,134;-0,259;0
33;0,89;8,599;4,386;10;-0,297;-0,297;-0,162;0
34;0,469;8,341;4,175;10;-0,421;-0,258;-0,211;0
35;0,421;8,216;4,204;9;-0,048;-0,125;0,029;-1
36;1,321;8,724;3,533;10;0,9;0,508;-0,671;1
37;2,154;8,743;4,185;10;0,833;0,019;0,652;0
38;2,585;8,791;4,912;10;0,431;0,048;0,727;0
39;2,164;8,858;5,228;9;-0,421;0,067;0,316;-1
40;1,685;8,992;5,152;10;-0,479;0,134;-0,076;1
41;1,369;9,097;4,606;10;-0,316;0,105;-0,546;0
42;1,082;9,059;4,06;10;-0,287;-0,038;-0,546;0
43;0,603;9,155;3,361;9;-0,479;0,096;-0,699;-1
44;0,21;9,165;2,987;10;-0,393;0,01;-0,374;1
45;0,038;9,097;2,959;10;-0,172;-0,068;-0,028;0
46;0,248;8,906;3,256;10;0,21;-0,191;0,297;0
47;0,44;8,82;3,629;9;0,192;-0,086;0,373;-1
48;0,584;8,848;4,003;10;0,144;0,028;0,374;1
49;0,536;8,858;4,165;10;-0,048;0,01;0,162;0
50;0,402;8,772;4,367;10;-0,134;-0,086;0,202;0
51;0,114;8,647;4,367;10;-0,288;-0,125;0;0
52;-0,679;8,724;3,821;9;-0,793;0,077;-0,546;-1
53;-0,545;8,398;3,313;10;0,134;-0,326;-0,508;1
54;-0,871;8,58;3,007;10;-0,326;0,182;-0,306;0
55;-0,699;8,81;2,413;10;0,172;0,23;-0,594;0
56;-0,172;8,734;2,346;9;0,527;-0,076;-0,067;-1
57;0,067;8,714;2,413;10;0,239;-0,02;0,067;1
58;0,028;8,724;2,547;10;-0,039;0,01;0,134;0
59;-0,306;8,686;2,758;10;-0,334;-0,038;0,211;0
60;-0,593;8,734;2,844;9;-0,287;0,048;0,086;-1
61;-0,756;8,762;2,767;10;-0,163;0,028;-0,077;1
62;-0,823;8,848;2,394;10;-0,067;0,086;-0,373;0
63;-0,814;8,973;2,001;10;0,009;0,125;-0,393;0
64;-0,775;9,04;1,608;10;0,039;0,067;-0,393;0
65;-0,574;9,021;1,254;9;0,201;-0,019;-0,354;-1
66;-0,411;8,896;0,909;10;0,163;-0,125;-0,345;1
67;-0,296;8,887;0,861;10;0,115;-0,009;-0,048;0
68;-0,153;8,896;1,024;10;0,143;0,009;0,163;0
69;0,201;8,887;1,436;9;0,354;-0,009;0,412;-1
70;0,507;8,954;1,867;10;0,306;0,067;0,431;1
71;0,746;8,992;2,355;10;0,239;0,038;0,488;0
72;0,545;9,069;2,662;10;-0,201;0,077;0,307;0
73;0,172;9,117;2,671;9;-0,373;0,048;0,009;-1
74;-0,153;9,117;2,422;10;-0,325;0;-0,249;1
75;-0,325;9,078;2,48;10;-0,172;-0,039;0,058;0
76;-0,134;9,097;3,131;10;0,191;0,019;0,651;0
77;0,277;9,097;4,012;9;0,411;0;0,881;-1
78;0,66;9,117;4,855;10;0,383;0,02;0,843;1
79;0,612;9,193;5,027;10;-0,048;0,076;0,172;0
