timestamp;x;y;z;|V|;dx;dy;dz;d|V|
0;0,976;7,575;4,558;00;0;0;0
1;1,695;7,824;3,773;9;0,719;0,249;-0,785;9
2;1,838;7,22;3,466;10;0,143;-0,604;-0,307;1
3;1,11;7,45;3,265;10;-0,728;0,23;-0,201;0
4;0,756;8,312;2,978;9;-0,354;0,861999999999999;-0,287;-1
5;0,737;8,379;3,093;10;-0,019;0,0670000000000002;0,115;1
6;0,89;7,632;3,533;10;0,153;-0,747;0,44;0
7;1,254;7,249;4,194;10;0,364;-0,383;0,661;0
8;1,637;7,556;4,673;9;0,383;0,307;0,479;-1
9;2,365;7,929;4,845;10;0,728;0,373;0,172;1
10;2,585;7,929;4,28;10;0,22;0;-0,565;0
11;2,288;8,226;2,834;10;-0,297;0,297000000000001;-1,446;0
12;1,57;8,695;1,723;9;-0,718;0,468999999999999;-1,111;-1
13;0,948;8,868;2,221;10;-0,622;0,173;0,498;1
14;0,67;8,714;2,873;10;-0,278;-0,154;0,652;0
15;0,727;8,58;3,878;10;0,0569999999999999;-0,134;1,005;0
16;0,833;8,485;4,807;10;0,106;-0,0950000000000006;0,929;0
17;1,101;8,341;5,487;9;0,268;-0,144;0,68;-1
18;1,359;8,236;5,985;10;0,258;-0,104999999999999;0,498;1
19;1,513;8,159;6,244;10;0,154;-0,077;0,258999999999999;0
20;1,379;8,025;6,081;10;-0,134;-0,134;-0,162999999999999;0
21;0,881;7,967;6,014;9;-0,498;-0,0580000000000007;-0,0670000000000002;-1
22;0,43;8,169;6,196;10;-0,451;0,202000000000001;0,181999999999999;1
23;0,402;8,216;6,358;10;-0,028;0,0469999999999988;0,162;0
24;0,43;8,034;6,282;10;0,028;-0,181999999999999;-0,0759999999999996;0
25;0,191;7,843;5,975;10;-0,239;-0,191000000000001;-0,307;0
26;0,057;7,967;5,688;9;-0,134;0,124;-0,287;-1
27;0,124;8,13;5,516;10;0,067;0,163000000000001;-0,172;1
28;0,248;8,082;5,592;10;0,124;-0,048;0,0759999999999996;0
29;0,43;7,91;5,861;10;0,182;-0,172000000000001;0,269;0
30;0,411;7,833;6,244;9;-0,019;-0,077;0,383;-1
31;0,201;7,747;6,358;10;-0,21;-0,0860000000000003;0,114;1
32;0,057;7,843;6,426;10;-0,144;0,0960000000000001;0,0680000000000005;0
33;0,057;7,843;6,272;10;0;0;-0,154;0
34;0,114;7,728;5,803;10;0,057;-0,115;-0,469;0
35;0,45;7,843;4,501;9;0,336;0,115;-1,302;-1
36;0,775;7,718;4,376;10;0,325;-0,125;-0,125;1
37;1,015;7,661;4,788;10;0,24;-0,0570000000000004;0,412;0
38;2,375;7,881;4,52;9;1,36;0,220000000000001;-0,268000000000001;-1
39;3,055;7,785;4,28;10;0,68;-0,0960000000000001;-0,239999999999999;1
40;2,394;7,833;4,568;10;-0,661;0,048;0,287999999999999;0
41;1,589;7,996;4,74;10;-0,805;0,163;0,172000000000001;0
42;0,948;7,785;5,027;10;-0,641;-0,211;0,287;0
43;0,325;7,527;6,1;9;-0,623;-0,258;1,073;-1
44;-0,076;7,412;6,244;10;-0,401;-0,115;0,144;1
45;-0,162;7,287;6,311;10;-0,086;-0,125;0,0670000000000002;0
46;-0,009;7,153;6,627;10;0,153;-0,134;0,316;0
47;0,095;7,105;6,502;10;0,104;-0,0479999999999992;-0,125;0
48;0,114;7,115;6,11;9;0,019;0,00999999999999979;-0,391999999999999;-1
49;-0,076;7,115;5,784;10;-0,19;0;-0,326000000000001;1
50;-0,383;7,125;5,535;10;-0,307;0,00999999999999979;-0,249;0
51;-0,459;7,144;5,525;9;-0,076;0,0190000000000001;-0,00999999999999979;-1
52;-0,344;7,125;5,525;10;0,115;-0,0190000000000001;0;1
53;-0,067;7,105;5,458;10;0,277;-0,0199999999999996;-0,0670000000000002;0
54;0,047;7,096;5,315;10;0,114;-0,00900000000000034;-0,143;0
55;0,086;7,115;5,248;10;0,039;0,0190000000000001;-0,0670000000000002;0
56;0,086;7,23;5,401;9;0;0,115;0,153;-1
57;0,086;7,268;5,688;10;0;0,0379999999999994;0,287;1
58;0,019;7,259;6,081;10;-0,067;-0,00899999999999945;0,393000000000001;0
59;-0,114;7,278;6,378;10;-0,133;0,0189999999999992;0,297;0
60;-0,229;7,182;6,55;10;-0,115;-0,0959999999999992;0,172;0
61;-0,421;7,058;6,445;9;-0,192;-0,124000000000001;-0,105;-1
62;-0,545;7,01;6,253;10;-0,124;-0,048;-0,192;1
63;-1,426;6,301;6,78;10;-0,881;-0,709;0,527;0
64;-1,484;6,617;6,569;9;-0,0580000000000001;0,316;-0,211;-1
65;0,354;7,259;6,033;10;1,838;0,642;-0,536;1
66;0,411;6,454;4,29;10;0,057;-0,805000000000001;-1,743;0
67;0,114;7,536;4,367;10;-0,297;1,082;0,077;0
68;-2,643;7,086;8,101;9;-2,757;-0,449999999999999;3,734;-1
69;-1,532;5,363;5,037;10;1,111;-1,723;-3,064;1
70;-0,708;7,115;3,342;10;0,824;1,752;-1,695;0
71;-1,187;6,971;4,127;10;-0,479;-0,144;0,785;0
72;-1,015;6,406;3,552;9;0,172;-0,565;-0,575;-1
73;-0,967;7,182;3,61;10;0,0479999999999999;0,776000000000001;0,0579999999999998;1
74;0,746;7,038;3,438;10;1,713;-0,144;-0,172;0
75;-0,488;7,383;5,343;10;-1,234;0,345;1,905;0
76;-2,183;7,412;6,56;10;-1,695;0,0289999999999999;1,217;0
77;-2,614;7,469;7,431;9;-0,431;0,0570000000000004;0,871;-1
78;-3,361;7,603;8,37;10;-0,747;0,133999999999999;0,938999999999999;1
79;-3,667;7,785;8,628;10;-0,306;0,182;0,258000000000001;0
80;-3,687;7,795;8,724;10;-0,02;0,00999999999999979;0,0960000000000001;0
81;-3,648;7,929;9,241;9;0,0389999999999997;0,134;0,516999999999999;-1
82;-3,648;8,025;10,544;10;0;0,0960000000000001;1,303;1
83;-3,447;8,149;12,2;10;0,201;0,123999999999999;1,656;0
84;-2,547;8,245;13,503;10;0,9;0,0960000000000001;1,303;0
85;-0,775;8,465;14,978;10;1,772;0,220000000000001;1,475;0
86;1,829;8,954;16,615;9;2,604;0,489000000000001;1,637;-1
87;4,194;9,461;17,429;10;2,365;0,507;0,814;1
88;6,464;9,844;18,368;10;2,27;0,382999999999999;0,939;0
89;8,552;10,457;19,747;10;2,088;0,613000000000001;1,379;0
90;10,419;11,003;21,212;9;1,867;0,545999999999999;1,465;-1
91;11,903;11,185;22,361;10;1,484;0,182;1,149;1
92;12,66;10,831;22,629;10;0,757;-0,354000000000001;0,268000000000001;0
93;13,043;10,275;22,084;10;0,382999999999999;-0,555999999999999;-0,545000000000002;0
94;13,388;9,768;21,327;9;0,345000000000001;-0,507;-0,756999999999998;-1
95;13,991;8,906;20,341;10;0,603;-0,862;-0,986000000000001;1
96;14,891;7,546;18,473;10;0,9;-1,36;-1,868;0
97;15,658;6,157;15,83;10;0,766999999999999;-1,389;-2,643;0
98;15,83;4,769;12,717;9;0,172000000000001;-1,388;-3,113;-1
99;15,361;2,959;9,414;10;-0,468999999999999;-1,81;-3,303;1
100;14,911;0,842;6,722;10;-0,450000000000001;-2,117;-2,692;0
101;14,279;-1,455;3,955;10;-0,632;-2,297;-2,767;0
102;13,273;-3,323;1,043;9;-1,006;-1,868;-2,912;-1
103;12,181;-5,219;-1,905;10;-1,092;-1,896;-2,948;1
104;10,381;-6,943;-4,089;10;-1,8;-1,724;-2,184;0
105;7,68;-8,283;-6,339;10;-2,701;-1,34;-2,25;0
106;4,845;-9,088;-8,121;10;-2,835;-0,805;-1,782;0
107;1,934;-9,404;-9,71;9;-2,911;-0,316000000000001;-1,589;-1
108;-0,373;-9,251;-10,304;10;-2,307;0,153;-0,593999999999999;1
109;-1,982;-8,513;-10,218;10;-1,609;0,738;0,0860000000000003;0
110;-3,361;-7,795;-9,825;10;-1,379;0,718;0,393000000000001;0
111;-4,912;-7,0;-9,414;9;-1,551;0,795;0,411;-1
112;-6,569;-6,244;-8,848;10;-1,657;0,756;0,565999999999999;1
113;-8,216;-5,525;-8,216;10;-1,647;0,718999999999999;0,632000000000001;0
114;-9,5;-4,941;-7,201;10;-1,284;0,584000000000001;1,015;0
115;-10,783;-4,261;-5,592;9;-1,283;0,68;1,609;-1
116;-12,622;-3,294;-3,552;10;-1,839;0,967;2,04;1
117;-14,25;-2,806;-0,727;10;-1,628;0,488;2,825;0
118;-16,165;-2,94;3,007;10;-1,915;-0,134;3,734;0
119;-19,977;-2,432;7,048;10;-3,812;0,508;4,041;0
120;-23,731;-1,752;9,471;9;-3,754;0,68;2,423;-1
121;-26,115;-0,612;10,821;10;-2,384;1,14;1,35;1
122;-26,661;1,244;11,597;10;-0,546000000000003;1,856;0,776;0
123;-24,411;3,371;13,196;9;2,25;2,127;1,599;-1
