timestamp;x;y;z;|V|;dx;dy;dz;d|V|
0;0,372;9,035;3,695;00;0;0;0
1;0,372;9,035;3,695;1;0;0;0;1
2;0,357;9,069;3,709;5;-0,015;0,0340000000000007;0,0140000000000002;4
3;0,357;9,069;3,709;5;0;0;0;0
4;0,372;9,078;3,657;5;0,015;0,00899999999999856;-0,052;0
5;0,372;9,078;3,657;4;0;0;0;-1
6;0,372;9,078;3,657;1;0;0;0;-3
7;0,362;9,011;3,728;5;-0,01;-0,0670000000000002;0,0710000000000002;4
8;0,362;9,011;3,728;5;0;0;0;0
9;0,319;9,026;3,69;5;-0,043;0,0150000000000006;-0,0380000000000003;0
10;0,319;9,026;3,69;4;0;0;0;-1
11;0,319;9,026;3,69;1;0;0;0;-3
12;0,238;9,05;3,599;5;-0,081;0,0240000000000009;-0,0909999999999997;4
13;0,238;9,05;3,599;5;0;0;0;0
14;0,142;9,035;3,542;5;-0,096;-0,0150000000000006;-0,0570000000000004;0
15;0,142;9,035;3,542;3;0;0;0;-2
16;0,142;9,035;3,542;2;0;0;0;-1
17;0,061;8,968;3,561;5;-0,081;-0,0670000000000002;0,0190000000000001;3
18;-0,044;8,987;3,681;5;-0,105;0,0190000000000001;0,12;0
19;-0,044;8,987;3,681;5;0;0;0;0
20;-0,044;8,987;3,681;4;0;0;0;-1
21;-0,073;8,939;3,709;1;-0,029;-0,048;0,028;-3
22;-0,073;8,939;3,709;5;0;0;0;4
23;-0,159;8,959;3,714;5;-0,086;0,0199999999999996;0,00499999999999989;0
24;-0,159;8,959;3,714;5;0;0;0;0
25;-0,159;8,959;3,714;3;0;0;0;-2
26;-0,116;8,925;3,637;2;0,043;-0,0339999999999989;-0,077;-1
27;-0,116;8,925;3,637;5;0;0;0;3
28;-0,116;8,954;3,681;5;0;0,0289999999999999;0,044;0
29;-0,116;8,954;3,681;5;0;0;0;0
30;-0,116;8,954;3,681;4;0;0;0;-1
31;-0,039;8,983;3,637;1;0,077;0,0289999999999999;-0,044;-3
32;-0,039;8,983;3,637;5;0;0;0;4
33;-0,082;9,026;3,633;5;-0,043;0,0429999999999993;-0,004;0
34;-0,082;9,026;3,633;5;0;0;0;0
35;-0,082;9,026;3,633;4;0;0;0;-1
36;-0,13;9,064;3,642;1;-0,048;0,0380000000000003;0,0089999999999999;-3
37;-0,13;9,064;3,642;5;0;0;0;4
38;-0,226;9,04;3,623;5;-0,096;-0,0240000000000009;-0,0189999999999997;0
39;-0,226;9,04;3,623;5;0;0;0;0
40;-0,226;9,04;3,623;4;0;0;0;-1
41;-0,336;8,954;3,652;1;-0,11;-0,0859999999999985;0,0289999999999999;-3
42;-0,336;8,954;3,652;5;0;0;0;4
43;-0,408;8,892;3,719;5;-0,072;-0,0620000000000012;0,0669999999999997;0
44;-0,408;8,892;3,719;5;0;0;0;0
45;-0,408;8,892;3,719;4;0;0;0;-1
46;-0,542;8,853;3,829;1;-0,134;-0,0389999999999997;0,11;-3
47;-0,542;8,853;3,829;5;0;0;0;4
48;-0,48;8,829;3,925;5;0,0620000000000001;-0,0239999999999991;0,0959999999999996;0
49;-0,317;8,863;4,021;5;0,163;0,0339999999999989;0,0960000000000001;0
50;-0,317;8,863;4,021;4;0;0;0;-1
51;-0,317;8,863;4,021;1;0;0;0;-3
52;-0,216;8,935;4,011;5;0,101;0,072000000000001;-0,00999999999999979;4
53;-0,216;8,935;4,011;5;0;0;0;0
54;-0,231;8,959;4,073;5;-0,015;0,0239999999999991;0,0620000000000003;0
55;-0,231;8,959;4,073;4;0;0;0;-1
56;-0,231;8,959;4,073;1;0;0;0;-3
57;-0,221;8,92;4,001;5;0,01;-0,0389999999999997;-0,0720000000000001;4
58;-0,221;8,92;4,001;5;0;0;0;0
59;-0,245;8,92;3,954;5;-0,024;0;-0,0470000000000002;0
60;-0,245;8,92;3,954;4;0;0;0;-1
61;-0,245;8,92;3,954;1;0;0;0;-3
62;-0,336;8,906;3,824;5;-0,091;-0,0139999999999993;-0,13;4
63;-0,336;8,906;3,824;5;0;0;0;0
64;-0,379;8,863;3,757;5;-0,043;-0,043000000000001;-0,0669999999999997;0
65;-0,379;8,863;3,757;4;0;0;0;-1
66;-0,326;8,839;3,69;6;0,053;-0,0239999999999991;-0,0670000000000002;2
67;-0,326;8,839;3,69;5;0;0;0;-1
68;-0,202;8,906;3,7;5;0,124;0,0670000000000002;0,0100000000000002;0
69;-0,202;8,906;3,7;4;0;0;0;-1
70;-0,202;8,906;3,7;1;0;0;0;-3
71;-0,096;8,901;3,834;5;0,106;-0,00500000000000078;0,134;4
72;-0,096;8,901;3,834;5;0;0;0;0
73;0,132;8,959;3,939;5;0,228;0,0579999999999998;0,105;0
74;0,132;8,959;3,939;4;0;0;0;-1
75;0,132;8,959;3,939;1;0;0;0;-3
76;0,286;9,088;3,91;5;0,154;0,129;-0,0289999999999999;4
77;0,286;9,088;3,91;5;0;0;0;0
78;0,314;9,069;3,843;5;0,028;-0,0189999999999984;-0,0670000000000002;0
79;0,314;9,069;3,843;4;0;0;0;-1
80;0,314;9,069;3,843;1;0;0;0;-3
81;0,214;9,107;3,714;5;-0,1;0,0379999999999985;-0,129;4
82;0,056;9,083;3,551;5;-0,158;-0,0239999999999991;-0,163;0
83;0,056;9,083;3,551;5;0;0;0;0
84;0,056;9,083;3,551;4;0;0;0;-1
85;-0,001;9,011;3,542;1;-0,057;-0,072000000000001;-0,00900000000000034;-3
86;-0,001;9,011;3,542;5;0;0;0;4
87;-0,029;8,968;3,489;5;-0,028;-0,0429999999999993;-0,0529999999999999;0
88;-0,029;8,968;3,489;5;0;0;0;0
89;-0,029;8,968;3,489;4;0;0;0;-1
90;-0,092;8,901;3,657;1;-0,063;-0,0670000000000002;0,168;-3
91;-0,092;8,901;3,657;5;0;0;0;4
92;-0,106;8,829;3,647;5;-0,014;-0,0719999999999992;-0,0100000000000002;0
93;-0,106;8,829;3,647;5;0;0;0;0
94;-0,106;8,829;3,647;4;0;0;0;-1
95;-0,063;8,753;3,872;1;0,043;-0,0760000000000005;0,225;-3
96;-0,063;8,753;3,872;5;0;0;0;4
97;0,041;8,695;3,958;5;0,104;-0,0579999999999998;0,0860000000000003;0
98;0,041;8,695;3,958;5;0;0;0;0
99;0,041;8,695;3,958;4;0;0;0;-1
100;0,128;8,815;4,021;1;0,087;0,119999999999999;0,0629999999999997;-3
101;0,128;8,815;4,021;5;0;0;0;4
102;0,3;8,858;3,992;5;0,172;0,043000000000001;-0,0289999999999999;0
103;0,3;8,858;3,992;5;0;0;0;0
104;0,3;8,858;3,992;4;0;0;0;-1
105;0,477;8,978;4,04;1;0,177;0,119999999999999;0,048;-3
106;0,477;8,978;4,04;5;0;0;0;4
107;0,659;9,088;4,001;5;0,182;0,109999999999999;-0,0389999999999997;0
108;0,659;9,088;4,001;5;0;0;0;0
109;0,659;9,088;4,001;5;0;0;0;0
110;0,726;9,184;3,839;5;0,0669999999999999;0,0960000000000001;-0,162;0
111;0,654;9,236;3,762;5;-0,072;0,0520000000000014;-0,077;0
112;0,535;9,188;3,652;5;-0,119;-0,048;-0,11;0
113;0,535;9,188;3,652;4;0;0;0;-1
114;0,535;9,188;3,652;1;0;0;0;-3
115;0,372;9,169;3,599;5;-0,163;-0,0190000000000001;-0,0529999999999999;4
116;0,372;9,169;3,599;5;0;0;0;0
117;0,31;9,121;3,561;5;-0,062;-0,048;-0,0380000000000003;0
118;0,31;9,121;3,561;4;0;0;0;-1
119;0,31;9,121;3,561;1;0;0;0;-3
120;0,257;9,102;3,724;5;-0,053;-0,0190000000000001;0,163;4
121;0,257;9,102;3,724;5;0;0;0;0
122;0,367;9,088;3,772;5;0,11;-0,0140000000000011;0,0479999999999996;0
123;0,367;9,088;3,772;4;0;0;0;-1
124;0,367;9,088;3,772;1;0;0;0;-3
125;0,439;9,069;3,815;5;0,072;-0,0189999999999984;0,0430000000000001;4
126;0,439;9,069;3,815;5;0;0;0;0
127;0,372;9,021;3,853;5;-0,067;-0,048;0,0380000000000003;0
128;0,372;9,021;3,853;4;0;0;0;-1
129;0,372;9,021;3,853;1;0;0;0;-3
130;0,487;8,992;3,977;5;0,115;-0,0289999999999999;0,124;4
131;0,487;8,992;3,977;5;0;0;0;0
132;0,501;8,853;4,102;5;0,014;-0,139000000000001;0,125;0
133;0,501;8,853;4,102;4;0;0;0;-1
134;0,501;8,853;4,102;1;0;0;0;-3
135;0,554;8,887;4,116;5;0,053;0,0340000000000007;0,0139999999999993;4
136;0,554;8,887;4,116;5;0;0;0;0
137;0,568;8,911;4,006;5;0,0139999999999999;0,0239999999999991;-0,109999999999999;0
138;0,568;8,911;4,006;4;0;0;0;-1
139;0,568;8,911;4,006;2;0;0;0;-2
140;0,482;8,853;4,064;4;-0,086;-0,0579999999999998;0,0579999999999998;2
141;0,482;8,853;4,064;5;0;0;0;1
142;0,262;8,805;3,973;5;-0,22;-0,048;-0,0910000000000002;0
143;0,262;8,805;3,973;4;0;0;0;-1
144;0,262;8,805;3,973;1;0;0;0;-3
145;0,084;8,724;3,968;5;-0,178;-0,0809999999999995;-0,00499999999999989;4
146;0,104;8,724;3,963;5;0,02;0;-0,00499999999999989;0
147;0,104;8,724;3,963;5;0;0;0;0
148;0,104;8,724;3,963;4;0;0;0;-1
149;0,156;8,772;3,863;1;0,052;0,048;-0,1;-3
150;0,156;8,772;3,863;5;0;0;0;4
151;0,166;8,724;3,863;5;0,01;-0,048;0;0
152;0,166;8,724;3,863;5;0;0;0;0
153;0,166;8,724;3,863;5;0;0;0;0
154;0,262;8,738;3,93;1;0,096;0,0139999999999993;0,0670000000000002;-4
155;0,262;8,738;3,93;4;0;0;0;3
156;0,295;8,82;3,901;5;0,033;0,0820000000000007;-0,0290000000000004;1
157;0,295;8,82;3,901;5;0;0;0;0
158;0,295;8,82;3,901;4;0;0;0;-1
159;0,281;8,839;3,901;2;-0,014;0,0190000000000001;0;-2
160;0,281;8,839;3,901;5;0;0;0;3
161;0,276;8,81;3,901;5;-0,005;-0,0289999999999999;0;0
162;0,276;8,81;3,901;5;0;0;0;0
163;0,276;8,81;3,901;3;0;0;0;-2
164;0,228;8,848;3,834;2;-0,048;0,0380000000000003;-0,0669999999999997;-1
165;0,228;8,848;3,834;5;0;0;0;3
166;0,195;8,93;3,719;5;-0,033;0,081999999999999;-0,115;0
167;0,195;8,93;3,719;5;0;0;0;0
168;0,195;8,93;3,719;3;0;0;0;-2
169;0,175;8,949;3,738;2;-0,02;0,0190000000000001;0,0190000000000001;-1
170;0,175;8,949;3,738;5;0;0;0;3
171;0,204;9,021;3,671;5;0,029;0,072000000000001;-0,0670000000000002;0
172;0,204;9,021;3,671;5;0;0;0;0
173;0,204;9,021;3,671;3;0;0;0;-2
174;0,238;9,088;3,657;2;0,034;0,0669999999999984;-0,0139999999999998;-1
175;0,238;9,088;3,657;5;0;0;0;3
176;0,257;9,112;3,542;5;0,019;0,0240000000000009;-0,115;0
177;0,195;9,088;3,537;5;-0,062;-0,0240000000000009;-0,00499999999999989;0
178;0,195;9,088;3,537;3;0;0;0;-2
179;0,195;9,088;3,537;2;0;0;0;-1
180;0,271;9,083;3,547;5;0,076;-0,00499999999999901;0,0100000000000002;3
181;0,271;9,083;3,547;5;0;0;0;0
182;0,41;9,236;3,494;5;0,139;0,153;-0,0529999999999999;0
183;0,41;9,236;3,494;4;0;0;0;-1
184;0,41;9,236;3,494;1;0;0;0;-3
185;0,482;9,198;3,628;5;0,072;-0,0380000000000003;0,134;4
186;0,482;9,198;3,628;5;0;0;0;0
187;0,477;9,184;3,652;5;-0,005;-0,0140000000000011;0,024;0
188;0,477;9,184;3,652;3;0;0;0;-2
189;0,477;9,184;3,652;2;0;0;0;-1
190;0,453;9,165;3,805;5;-0,024;-0,0190000000000001;0,153;3
191;0,453;9,165;3,805;5;0;0;0;0
192;0,424;9,078;3,882;5;-0,029;-0,0869999999999997;0,077;0
193;0,424;9,078;3,882;3;0;0;0;-2
194;0,424;9,078;3,882;2;0;0;0;-1
195;0,333;8,959;3,977;5;-0,091;-0,119;0,0949999999999998;3
196;0,333;8,959;3,977;5;0;0;0;0
197;0,353;8,973;3,92;5;0,02;0,0140000000000011;-0,0569999999999999;0
198;0,353;8,973;3,92;4;0;0;0;-1
199;0,314;8,954;3,939;6;-0,039;-0,0190000000000001;0,0190000000000001;2
200;0,314;8,954;3,939;5;0;0;0;-1
201;0,31;8,944;3,93;5;-0,004;-0,00999999999999979;-0,0089999999999999;0
202;0,31;8,944;3,93;3;0;0;0;-2
203;0,31;8,944;3,93;2;0;0;0;-1
204;0,214;8,863;4,04;5;-0,096;-0,0810000000000013;0,11;3
205;0,214;8,863;4,04;5;0;0;0;0
206;0,238;8,892;4,011;5;0,024;0,0289999999999999;-0,0289999999999999;0
207;0,238;8,892;4,011;4;0;0;0;-1
208;0,238;8,892;4,011;1;0;0;0;-3
209;0,286;8,887;4,049;5;0,048;-0,00499999999999901;0,0380000000000003;4
210;0,31;9,016;3,973;5;0,024;0,129;-0,0760000000000005;0
211;0,31;9,016;3,973;5;0;0;0;0
212;0,31;9,016;3,973;4;0;0;0;-1
213;0,42;9,03;4,025;1;0,11;0,0139999999999993;0,0520000000000005;-3
214;0,42;9,03;4,025;5;0;0;0;4
215;0,41;9,083;4,011;5;-0,01;0,0530000000000008;-0,0140000000000002;0
216;0,41;9,083;4,011;5;0;0;0;0
217;0,41;9,083;4,011;3;0;0;0;-2
218;0,377;9,059;4,102;2;-0,033;-0,0240000000000009;0,0910000000000002;-1
219;0,377;9,059;4,102;5;0;0;0;3
220;0,506;9,078;4,045;5;0,129;0,0190000000000001;-0,0570000000000004;0
221;0,506;9,078;4,045;5;0;0;0;0
222;0,506;9,078;4,045;3;0;0;0;-2
223;0,515;9,069;4,112;2;0,00900000000000001;-0,00899999999999856;0,0670000000000002;-1
224;0,515;9,069;4,112;5;0;0;0;3
225;0,515;9,093;4,107;5;0;0,0239999999999991;-0,00499999999999989;0
226;0,515;9,093;4,107;5;0;0;0;0
227;0,515;9,093;4,107;4;0;0;0;-1
228;0,429;9,059;4,025;3;-0,086;-0,0340000000000007;-0,0819999999999999;-1
229;0,429;9,059;4,025;3;0;0;0;0
230;0,305;9,03;4,045;5;-0,124;-0,0289999999999999;0,0199999999999996;2
231;0,305;9,03;4,045;5;0;0;0;0
232;0,305;9,03;4,045;3;0;0;0;-2
233;0,252;9,002;4,006;2;-0,053;-0,0279999999999987;-0,0389999999999997;-1
234;0,252;9,002;4,006;5;0;0;0;3
235;0,262;9,026;4,001;5;0,01;0,0239999999999991;-0,00499999999999989;0
236;0,262;9,026;4,001;5;0;0;0;0
237;0,262;9,026;4,001;3;0;0;0;-2
238;0,329;9,069;3,973;2;0,067;0,043000000000001;-0,0280000000000005;-1
239;0,329;9,069;3,973;5;0;0;0;3
240;0,415;9,054;4,179;5;0,086;-0,0150000000000006;0,206;0
241;0,515;9,04;4,294;5;0,1;-0,0140000000000011;0,114999999999999;0
242;0,515;9,04;4,294;4;0;0;0;-1
243;0,712;9,064;4,337;6;0,197;0,0240000000000009;0,0430000000000001;2
244;0,712;9,064;4,337;5;0;0;0;-1
245;0,621;9,217;4,169;5;-0,091;0,153;-0,168;0
246;0,621;9,217;4,169;3;0;0;0;-2
247;0,621;9,217;4,169;2;0;0;0;-1
248;0,573;9,217;4,116;5;-0,048;0;-0,0529999999999999;3
249;0,573;9,217;4,116;5;0;0;0;0
250;0,587;9,313;3,886;5;0,014;0,0960000000000001;-0,23;0
251;0,587;9,313;3,886;4;0;0;0;-1
252;0,587;9,313;3,886;1;0;0;0;-3
253;0,539;9,346;4,059;5;-0,0479999999999999;0,0329999999999995;0,173;4
254;0,539;9,346;4,059;5;0;0;0;0
255;0,592;9,37;4,049;5;0,0529999999999999;0,0239999999999991;-0,00999999999999979;0
256;0,592;9,37;4,049;4;0;0;0;-1
257;0,592;9,37;4,049;1;0;0;0;-3
258;0,549;9,366;4,049;5;-0,0429999999999999;-0,00399999999999956;0;4
259;0,549;9,366;4,049;5;0;0;0;0
260;0,573;9,409;4,049;5;0,0239999999999999;0,043000000000001;0;0
261;0,573;9,409;4,049;3;0;0;0;-2
262;0,573;9,409;4,049;2;0;0;0;-1
263;0,654;9,543;3,93;5;0,0810000000000001;0,133999999999999;-0,119;3
264;0,654;9,543;3,93;5;0;0;0;0
265;0,626;9,567;3,896;5;-0,028;0,0240000000000009;-0,0340000000000003;0
266;0,626;9,567;3,896;3;0;0;0;-2
267;0,626;9,567;3,896;2;0;0;0;-1
268;0,707;9,576;3,848;5;0,081;0,00900000000000034;-0,048;3
269;0,707;9,576;3,848;5;0;0;0;0
270;0,401;9,667;3,719;5;-0,306;0,0909999999999993;-0,129;0
271;0,401;9,667;3,719;4;0;0;0;-1
272;0,472;9,691;3,728;1;0,071;0,0240000000000009;0,00900000000000034;-3
273;0,472;9,691;3,728;5;0;0;0;4
274;0,434;9,658;3,839;5;-0,038;-0,0330000000000013;0,111;0
275;0,434;9,658;3,839;5;0;0;0;0
276;0,434;9,658;3,839;3;0;0;0;-2
277;0,31;9,619;3,872;2;-0,124;-0,0389999999999997;0,0329999999999999;-1
278;0,31;9,619;3,872;5;0;0;0;3
279;0,166;9,639;3,757;5;-0,144;0,0199999999999996;-0,115;0
280;0,166;9,639;3,757;5;0;0;0;0
281;0,166;9,639;3,757;3;0;0;0;-2
282;-0,029;9,744;3,566;2;-0,195;0,105;-0,191;-1
283;-0,029;9,744;3,566;5;0;0;0;3
284;-0,202;9,653;3,278;5;-0,173;-0,0909999999999993;-0,288;0
285;-0,202;9,653;3,278;5;0;0;0;0
286;-0,202;9,653;3,278;4;0;0;0;-1
287;-0,398;9,706;3,336;6;-0,196;0,052999999999999;0,0579999999999998;2
288;-0,575;9,634;3,441;5;-0,177;-0,0719999999999992;0,105;-1
289;-0,575;9,634;3,441;5;0;0;0;0
290;-0,575;9,634;3,441;3;0;0;0;-2
291;-0,829;9,447;3,848;2;-0,254;-0,187000000000001;0,407;-1
292;-0,829;9,447;3,848;5;0;0;0;3
293;-1,188;9,155;4,279;5;-0,359;-0,292;0,431;0
294;-1,188;9,155;4,279;5;0;0;0;0
295;-1,188;9,155;4,279;4;0;0;0;-1
296;-1,385;8,987;4,782;1;-0,197;-0,167999999999999;0,503;-3
297;-1,385;8,987;4,782;5;0;0;0;4
298;-1,289;9,121;5,117;5;0,0960000000000001;0,134;0,335;0
299;-1,289;9,121;5,117;5;0;0;0;0
300;-1,289;9,121;5,117;4;0;0;0;-1
301;-1,255;9,323;4,921;1;0,034;0,202;-0,196;-3
302;-1,255;9,323;4,921;5;0;0;0;4
303;-1,495;9,27;4,6;5;-0,24;-0,0530000000000008;-0,321000000000001;0
304;-1,748;9,165;4,542;5;-0,253;-0,105;-0,0579999999999998;0
305;-1,748;9,165;4,542;4;0;0;0;-1
306;-1,748;9,165;4,542;1;0;0;0;-3
307;-2,021;9,203;3,93;5;-0,273;0,0380000000000003;-0,612;4
308;-2,021;9,203;3,93;5;0;0;0;0
309;-2,438;9,246;3,494;5;-0,417;0,043000000000001;-0,436;0
310;-2,438;9,246;3,494;4;0;0;0;-1
311;-2,438;9,246;3,494;1;0;0;0;-3
312;-2,342;9,026;3,508;5;0,0960000000000001;-0,220000000000001;0,0139999999999998;4
313;-2,342;9,026;3,508;5;0;0;0;0
314;-2,716;9,054;2,89;5;-0,374;0,0280000000000005;-0,618;0
315;-2,716;9,054;2,89;4;0;0;0;-1
316;-2,716;9,054;2,89;1;0;0;0;-3
317;-2,51;9,184;3,451;5;0,206;0,129999999999999;0,561;4
318;-2,51;9,184;3,451;5;0;0;0;0
319;-3,151;8,681;4,222;5;-0,641;-0,503;0,771;0
320;-3,151;8,681;4,222;4;0;0;0;-1
321;-3,151;8,681;4,222;1;0;0;0;-3
322;-3,544;8,681;4,217;5;-0,393;0;-0,00500000000000078;4
323;-3,544;8,681;4,217;5;0;0;0;0
324;-4,114;8,858;4,25;5;-0,57;0,177000000000001;0,0330000000000004;0
325;-4,114;8,858;4,25;4;0;0;0;-1
326;-4,114;8,858;4,25;1;0;0;0;-3
327;-4,296;8,853;3,599;5;-0,182;-0,00500000000000078;-0,651;4
328;-4,296;8,853;3,599;5;0;0;0;0
329;-4,942;8,628;3,269;5;-0,646;-0,225;-0,33;0
330;-4,942;8,628;3,269;5;0;0;0;0
331;-5,402;8,394;2,225;5;-0,46;-0,234;-1,044;0
332;-5,402;8,394;2,225;5;0;0;0;0
333;-5,919;8,212;1,392;5;-0,516999999999999;-0,182;-0,833;0
334;-5,919;8,212;1,392;4;0;0;0;-1
335;-5,919;8,212;1,392;1;0;0;0;-3
336;-6,599;7,714;1,009;5;-0,680000000000001;-0,497999999999999;-0,383;4
337;-7,538;7,163;0,199;5;-0,939;-0,551;-0,81;0
338;-7,538;7,163;0,199;5;0;0;0;0
339;-7,538;7,163;0,199;4;0;0;0;-1
