timestamp;x;y;z;|V|;dx;dy;dz;d|V|
0;0,448;5,41;8,1;00;0;0;0
1;0,448;5,41;8,1;3;0;0;0;3
2;0,487;5,372;8,335;6;0,039;-0,0380000000000003;0,235000000000001;3
3;0,501;5,2;8,613;5;0,014;-0,172;0,277999999999999;-1
4;0,501;5,2;8,613;3;0;0;0;-2
5;0,501;5,2;8,613;5;0;0;0;2
6;0,477;5,166;8,795;1;-0,024;-0,0339999999999998;0,182;-4
7;0,477;5,166;8,795;6;0;0;0;5
8;0,482;5,133;8,862;5;0,005;-0,0330000000000004;0,0670000000000002;-1
9;0,482;5,133;8,862;3;0;0;0;-2
10;0,482;5,133;8,862;1;0;0;0;-2
11;0,515;5,185;8,526;6;0,033;0,0519999999999996;-0,336;5
12;0,515;5,185;8,526;4;0;0;0;-2
13;0,554;5,363;8,249;5;0,039;0,178000000000001;-0,276999999999999;1
14;0,554;5,363;8,249;4;0;0;0;-1
15;0,554;5,363;8,249;1;0;0;0;-3
16;0,654;5,43;7,851;5;0,1;0,0669999999999993;-0,398000000000001;4
17;0,654;5,43;7,851;6;0;0;0;1
18;0,611;5,458;7,751;5;-0,043;0,0280000000000005;-0,0999999999999996;-1
19;0,611;5,458;7,751;3;0;0;0;-2
20;0,611;5,458;7,751;1;0;0;0;-2
21;0,573;5,444;7,674;5;-0,038;-0,0140000000000002;-0,077;4
22;0,573;5,444;7,674;6;0;0;0;1
23;0,63;5,42;7,875;5;0,0570000000000001;-0,024;0,201;-1
24;0,63;5,42;7,875;3;0;0;0;-2
25;0,63;5,42;7,875;1;0;0;0;-2
26;0,75;5,453;8,21;5;0,12;0,0330000000000004;0,335000000000001;4
27;0,75;5,453;8,21;5;0;0;0;0
28;0,846;5,425;8,474;5;0,096;-0,0280000000000005;0,263999999999999;0
29;0,846;5,425;8,474;4;0;0;0;-1
30;0,846;5,425;8,474;1;0;0;0;-3
31;0,76;5,363;8,574;5;-0,086;-0,0619999999999994;0,0999999999999996;4
32;0,76;5,363;8,574;6;0;0;0;1
33;0,741;5,339;8,565;5;-0,019;-0,024;-0,00900000000000034;-1
34;0,741;5,339;8,565;3;0;0;0;-2
35;0,669;5,319;8,503;1;-0,072;-0,0200000000000005;-0,0619999999999994;-2
36;0,669;5,319;8,503;5;0;0;0;4
37;0,76;5,377;8,45;6;0,091;0,0579999999999998;-0,0530000000000008;1
38;0,76;5,377;8,45;5;0;0;0;-1
39;0,76;5,377;8,45;3;0;0;0;-2
40;0,836;5,41;8,512;2;0,076;0,0330000000000004;0,0620000000000012;-1
41;0,836;5,41;8,512;5;0;0;0;3
42;0,884;5,41;8,507;5;0,048;0;-0,00500000000000078;0
43;0,884;5,41;8,507;5;0;0;0;0
44;0,884;5,41;8,507;3;0;0;0;-2
45;0,836;5,463;8,33;2;-0,048;0,0529999999999999;-0,177;-1
46;0,836;5,463;8,33;5;0;0;0;3
47;0,764;5,477;8,21;5;-0,072;0,0140000000000002;-0,119999999999999;0
48;0,764;5,477;8,21;5;0;0;0;0
49;0,764;5,477;8,21;3;0;0;0;-2
50;0,64;5,439;8,172;2;-0,124;-0,0380000000000003;-0,0380000000000003;-1
51;0,64;5,439;8,172;5;0;0;0;3
52;0,463;5,473;8,129;5;-0,177;0,0339999999999998;-0,043000000000001;0
53;0,463;5,473;8,129;5;0;0;0;0
54;0,463;5,473;8,129;3;0;0;0;-2
55;0,262;5,477;8,182;2;-0,201;0,00400000000000045;0,0530000000000008;-1
56;0,262;5,477;8,182;5;0;0;0;3
57;0,113;5,53;8,1;5;-0,149;0,0529999999999999;-0,0820000000000007;0
58;0,113;5,53;8,1;5;0;0;0;0
59;0,113;5,53;8,1;3;0;0;0;-2
60;0,18;5,65;7,928;2;0,067;0,12;-0,172;-1
61;0,18;5,65;7,928;5;0;0;0;3
62;0,199;5,712;8,115;5;0,019;0,0619999999999994;0,187;0
63;0,199;5,712;8,115;5;0;0;0;0
64;0,199;5,712;8,115;3;0;0;0;-2
65;0,147;5,688;8,368;2;-0,052;-0,024;0,253;-1
66;0,142;5,64;8,459;5;-0,005;-0,048;0,0909999999999993;3
67;0,142;5,64;8,459;5;0;0;0;0
68;0,104;5,583;8,613;5;-0,038;-0,0569999999999995;0,154;0
69;0,104;5,583;8,613;3;0;0;0;-2
70;0,104;5,583;8,613;2;0;0;0;-1
71;0,017;5,568;8,665;5;-0,087;-0,0150000000000006;0,0519999999999996;3
72;0,017;5,568;8,665;5;0;0;0;0
73;0,046;5,449;8,498;5;0,029;-0,119;-0,167;0
74;0,046;5,449;8,498;3;0;0;0;-2
75;0,046;5,449;8,498;2;0;0;0;-1
76;-0,001;5,425;8,44;5;-0,047;-0,024;-0,0579999999999998;3
77;-0,001;5,425;8,44;5;0;0;0;0
78;0,128;5,506;8,321;5;0,129;0,0810000000000004;-0,119;0
79;0,128;5,506;8,321;3;0;0;0;-2
80;0,128;5,506;8,321;2;0;0;0;-1
81;0,142;5,592;8,244;5;0,014;0,0859999999999994;-0,077;3
82;0,142;5,592;8,244;5;0;0;0;0
83;0,051;5,592;8,052;5;-0,091;0;-0,192;0
84;0,051;5,592;8,052;3;0;0;0;-2
85;0,051;5,592;8,052;2;0;0;0;-1
86;0,027;5,597;8,052;5;-0,024;0,00500000000000078;0;3
87;0,027;5,597;8,052;5;0;0;0;0
88;-0,029;5,602;8,0;5;-0,056;0,00499999999999989;-0,0519999999999996;0
89;-0,029;5,602;8,0;3;0;0;0;-2
90;-0,029;5,602;8,0;2;0;0;0;-1
