timestamp;x;y;z;|V|;dx;dy;dz;d|V|
0;0,496;7,656;5,979;00;0;0;0
1;0,496;7,656;5,979;4;0;0;0;4
2;0,597;7,699;5,907;5;0,101;0,0430000000000001;-0,0720000000000001;1
3;0,597;7,699;5,907;5;0;0;0;0
4;0,597;7,699;5,907;3;0;0;0;-2
5;0,707;7,781;5,869;2;0,11;0,0819999999999999;-0,0380000000000003;-1
6;0,707;7,781;5,869;5;0;0;0;3
7;0,764;7,795;5,998;5;0,0570000000000001;0,0140000000000002;0,129;0
8;0,764;7,795;5,998;5;0;0;0;0
9;0,764;7,795;5,998;3;0;0;0;-2
10;0,908;7,886;6,285;2;0,144;0,0910000000000002;0,287;-1
11;0,908;7,886;6,285;5;0;0;0;3
12;0,803;7,795;6,448;5;-0,105;-0,0910000000000002;0,163;0
13;0,745;7,757;6,41;5;-0,0580000000000001;-0,0380000000000003;-0,0380000000000003;0
14;0,745;7,757;6,41;3;0;0;0;-2
15;0,745;7,757;6,41;2;0;0;0;-1
16;0,774;7,762;6,482;5;0,029;0,00499999999999989;0,0720000000000001;3
17;0,774;7,762;6,482;5;0;0;0;0
18;0,712;7,915;6,429;5;-0,0620000000000001;0,153;-0,0529999999999999;0
19;0,712;7,915;6,429;3;0;0;0;-2
20;0,712;7,915;6,429;2;0;0;0;-1
21;0,678;7,891;6,295;5;-0,0339999999999999;-0,024;-0,134;3
22;0,678;7,891;6,295;5;0;0;0;0
23;0,573;7,848;6,319;5;-0,105;-0,0430000000000001;0,024;0
24;0,573;7,848;6,319;3;0;0;0;-2
25;0,573;7,848;6,319;2;0;0;0;-1
26;0,712;7,929;6,472;5;0,139;0,0810000000000004;0,153;3
27;0,712;7,929;6,472;5;0;0;0;0
28;0,836;7,943;6,376;5;0,124;0,0139999999999993;-0,0960000000000001;0
29;0,836;7,943;6,376;3;0;0;0;-2
30;0,836;7,943;6,376;2;0;0;0;-1
31;0,903;7,891;6,396;5;0,0670000000000001;-0,0519999999999996;0,0199999999999996;3
32;0,903;7,891;6,396;5;0;0;0;0
33;0,899;7,872;6,218;5;-0,004;-0,0190000000000001;-0,178;0
34;0,899;7,872;6,218;3;0;0;0;-2
35;0,899;7,872;6,218;2;0;0;0;-1
36;0,808;7,848;6,252;5;-0,091;-0,024;0,0339999999999998;3
37;0,808;7,848;6,252;5;0;0;0;0
38;0,659;7,8;6,41;5;-0,149;-0,048;0,158;0
39;0,659;7,8;6,41;3;0;0;0;-2
40;0,659;7,8;6,41;2;0;0;0;-1
41;0,626;7,556;6,391;5;-0,033;-0,244;-0,0190000000000001;3
42;0,626;7,556;6,391;5;0;0;0;0
43;0,673;7,575;6,29;5;0,047;0,0190000000000001;-0,101;0
44;0,673;7,575;6,29;3;0;0;0;-2
45;0,626;7,594;6,147;2;-0,047;0,0190000000000001;-0,143;-1
46;0,626;7,594;6,147;5;0;0;0;3
47;0,659;7,536;6,056;5;0,033;-0,0580000000000007;-0,0910000000000002;0
48;0,659;7,536;6,056;5;0;0;0;0
49;0,659;7,536;6,056;3;0;0;0;-2
50;0,731;7,503;5,941;2;0,072;-0,0329999999999995;-0,115;-1
51;0,731;7,503;5,941;5;0;0;0;3
52;0,889;7,551;5,898;5;0,158;0,048;-0,0430000000000001;0
53;0,889;7,551;5,898;5;0;0;0;0
54;0,889;7,551;5,898;3;0;0;0;-2
55;0,86;7,58;6,017;2;-0,029;0,0289999999999999;0,119000000000001;-1
56;0,86;7,58;6,017;5;0;0;0;3
57;0,793;7,56;6,123;5;-0,0669999999999999;-0,0200000000000005;0,106;0
58;0,793;7,56;6,123;5;0;0;0;0
59;0,793;7,56;6,123;3;0;0;0;-2
60;0,626;7,517;6,242;5;-0,167;-0,0429999999999993;0,119;2
61;0,626;7,517;6,242;2;0;0;0;-3
62;0,539;7,508;6,204;5;-0,087;-0,00900000000000034;-0,0380000000000003;3
63;0,539;7,508;6,204;5;0;0;0;0
64;0,539;7,508;6,204;3;0;0;0;-2
65;0,482;7,46;6,233;2;-0,0570000000000001;-0,048;0,0289999999999999;-1
66;0,482;7,46;6,233;5;0;0;0;3
67;0,535;7,503;6,084;5;0,053;0,0430000000000001;-0,149;0
68;0,535;7,503;6,084;5;0;0;0;0
69;0,535;7,503;6,084;3;0;0;0;-2
70;0,597;7,551;6,065;2;0,0619999999999999;0,048;-0,0189999999999992;-1
71;0,597;7,551;6,065;5;0;0;0;3
72;0,65;7,56;6,099;5;0,053;0,00899999999999945;0,0339999999999998;0
73;0,65;7,56;6,099;5;0;0;0;0
74;0,65;7,56;6,099;3;0;0;0;-2
75;0,645;7,57;6,132;2;-0,005;0,0100000000000007;0,0329999999999995;-1
76;0,563;7,565;6,132;5;-0,0820000000000001;-0,00499999999999989;0;3
77;0,563;7,565;6,132;5;0;0;0;0
78;0,448;7,584;6,099;5;-0,115;0,0189999999999992;-0,0329999999999995;0
79;0,448;7,584;6,099;3;0;0;0;-2
80;0,448;7,584;6,099;2;0;0;0;-1
81;0,3;7,632;6,108;5;-0,148;0,048;0,00899999999999945;3
82;0,3;7,632;6,108;5;0;0;0;0
83;0,367;7,642;6,209;5;0,067;0,0100000000000007;0,101;0
84;0,367;7,642;6,209;3;0;0;0;-2
85;0,367;7,642;6,209;2;0;0;0;-1
86;0,41;7,671;6,362;5;0,043;0,0289999999999999;0,153;3
87;0,41;7,671;6,362;5;0;0;0;0
88;0,42;7,627;6,53;5;0,01;-0,0440000000000005;0,168;0
89;0,42;7,627;6,53;3;0;0;0;-2
90;0,42;7,627;6,53;2;0;0;0;-1
91;0,367;7,589;6,635;5;-0,053;-0,0379999999999994;0,105;3
92;0,367;7,589;6,635;5;0;0;0;0
93;0,501;7,623;6,64;5;0,134;0,0339999999999998;0,00499999999999989;0
94;0,501;7,623;6,64;3;0;0;0;-2
95;0,501;7,623;6,64;2;0;0;0;-1
96;0,664;7,785;6,64;5;0,163;0,162;0;3
97;0,664;7,785;6,64;5;0;0;0;0
98;0,664;7,958;6,501;5;0;0,173;-0,138999999999999;0
99;0,664;7,958;6,501;3;0;0;0;-2
100;0,664;7,958;6,501;2;0;0;0;-1
101;0,63;8,054;6,343;5;-0,034;0,0960000000000001;-0,158;3
102;0,63;8,054;6,343;6;0;0;0;1
103;0,539;8,307;6,482;5;-0,091;0,253;0,139;-1
104;0,539;8,307;6,482;2;0;0;0;-3
105;0,539;8,307;6,482;2;0;0;0;0
106;0,195;8,508;6,688;5;-0,344;0,200999999999999;0,206;3
107;-0,341;8,571;7,047;5;-0,536;0,0630000000000006;0,359;0
108;-0,341;8,571;7,047;5;0;0;0;0
109;-0,341;8,571;7,047;3;0;0;0;-2
110;-0,829;8,585;7,392;2;-0,488;0,0140000000000011;0,345000000000001;-1
111;-0,829;8,585;7,392;5;0;0;0;3
112;-0,963;8,619;7,53;5;-0,134;0,0339999999999989;0,138;0
113;-0,963;8,619;7,53;5;0;0;0;0
114;-0,963;8,619;7,53;3;0;0;0;-2
115;-1,246;8,772;7,861;2;-0,283;0,153;0,331;-1
116;-1,246;8,772;7,861;5;0;0;0;3
117;-1,523;8,686;8,095;5;-0,277;-0,0860000000000003;0,234000000000001;0
118;-1,523;8,686;8,095;5;0;0;0;0
119;-1,523;8,686;8,095;3;0;0;0;-2
120;-1,744;8,781;8,392;2;-0,221;0,0950000000000006;0,296999999999999;-1
121;-1,744;8,781;8,392;5;0;0;0;3
122;-2,069;8,877;8,56;5;-0,325;0,0960000000000001;0,168000000000001;0
123;-2,069;8,877;8,56;5;0;0;0;0
124;-2,069;8,877;8,56;3;0;0;0;-2
125;-2,395;9,04;8,747;2;-0,326;0,162999999999998;0,186999999999999;-1
126;-2,395;9,04;8,747;5;0;0;0;3
127;-2,668;9,112;9,034;5;-0,273;0,072000000000001;0,287000000000001;0
128;-2,668;9,112;9,034;5;0;0;0;0
129;-2,668;9,112;9,034;3;0;0;0;-2
130;-3,161;9,05;9,34;2;-0,493;-0,0619999999999994;0,305999999999999;-1
131;-3,161;9,05;9,34;5;0;0;0;3
132;-3,76;8,686;9,326;5;-0,599;-0,364000000000001;-0,0139999999999993;0
133;-3,76;8,686;9,326;5;0;0;0;0
134;-3,76;8,686;9,326;3;0;0;0;-2
135;-4,205;8,485;9,436;2;-0,445;-0,201000000000001;0,109999999999999;-1
136;-4,205;8,485;9,436;5;0;0;0;3
137;-4,21;7,996;9,302;5;-0,00499999999999989;-0,488999999999999;-0,134;0
138;-4,416;7,589;9,278;5;-0,206;-0,407;-0,0239999999999991;0
139;-4,416;7,589;9,278;3;0;0;0;-2
140;-4,416;7,589;9,278;2;0;0;0;-1
141;-4,66;7,173;9,034;5;-0,244;-0,416;-0,244;3
142;-4,66;7,173;9,034;5;0;0;0;0
143;-4,875;6,785;8,412;5;-0,215;-0,388;-0,622;0
144;-4,875;6,785;8,412;3;0;0;0;-2
145;-4,875;6,785;8,412;2;0;0;0;-1
146;-5,177;6,454;7,823;5;-0,302;-0,331;-0,589;3
147;-5,177;6,454;7,823;6;0;0;0;1
148;-5,479;5,904;7,296;5;-0,302;-0,55;-0,527;-1
149;-5,479;5,904;7,296;2;0;0;0;-3
150;-5,479;5,904;7,296;2;0;0;0;0
151;-5,656;5,458;6,889;5;-0,177;-0,446;-0,407;3
152;-5,656;5,458;6,889;5;0;0;0;0
153;-5,838;4,912;6,549;5;-0,182;-0,546;-0,34;0
154;-5,838;4,912;6,549;4;0;0;0;-1
155;-5,838;4,912;6,549;1;0;0;0;-3
156;-6,187;4,027;5,989;5;-0,349;-0,885;-0,560000000000001;4
157;-6,187;4,027;5,989;5;0;0;0;0
158;-6,81;3,126;5,438;5;-0,622999999999999;-0,901;-0,551;0
159;-6,81;3,126;5,438;4;0;0;0;-1
160;-6,81;3,126;5,438;1;0;0;0;-3
161;-7,332;2,001;4,811;5;-0,522;-1,125;-0,627;4
162;-7,332;2,001;4,811;5;0;0;0;0
163;-6,977;0,967;4,763;5;0,355;-1,034;-0,048;0
164;-6,977;0,967;4,763;4;0;0;0;-1
165;-6,977;0,967;4,763;1;0;0;0;-3
166;-6,427;0,181;5,562;5;0,550000000000001;-0,786;0,799;4
167;-6,427;0,181;5,562;5;0;0;0;0
168;-5,78;-0,459;6,051;5;0,646999999999999;-0,64;0,489;0
169;-5,78;-0,459;6,051;4;0;0;0;-1
170;-4,976;-1,082;5,96;1;0,804;-0,623;-0,0910000000000002;-3
171;-4,976;-1,082;5,96;5;0;0;0;4
172;-3,913;-1,537;5,395;6;1,063;-0,455;-0,565;1
173;-3,913;-1,537;5,395;5;0;0;0;-1
174;-3,913;-1,537;5,395;3;0;0;0;-2
175;-2,984;-1,805;4,868;1;0,929;-0,268;-0,526999999999999;-2
176;-2,984;-1,805;4,868;5;0;0;0;4
177;-2,333;-2,207;4,437;5;0,651;-0,402;-0,431;0
178;-2,333;-2,207;4,437;5;0;0;0;0
179;-2,333;-2,207;4,437;4;0;0;0;-1
180;-1,629;-2,777;3,719;1;0,704;-0,57;-0,718;-3
181;-1,629;-2,777;3,719;5;0;0;0;4
182;-0,848;-3,074;2,656;5;0,781;-0,297;-1,063;0
183;-0,848;-3,074;2,656;5;0;0;0;0
184;-0,848;-3,074;2,656;4;0;0;0;-1
185;-0,029;-3,189;2,182;1;0,819;-0,115;-0,474;-3
186;-0,029;-3,189;2,182;5;0;0;0;4
187;0,597;-3,447;2,555;5;0,626;-0,258;0,373;0
188;0,597;-3,447;2,555;5;0;0;0;0
189;0,597;-3,447;2,555;4;0;0;0;-1
