timestamp;x;y;z;|V|;dx;dy;dz;d|V|
0;0,63;6,081;7,751;00;0;0;0
1;0,63;6,081;7,751;4;0;0;0;4
2;0,535;6,138;7,832;5;-0,095;0,0569999999999995;0,0809999999999995;1
3;0,535;6,138;7,832;5;0;0;0;0
4;0,535;6,138;7,832;3;0;0;0;-2
5;0,463;6,138;7,794;2;-0,072;0;-0,0380000000000003;-1
6;0,463;6,138;7,794;5;0;0;0;3
7;0,396;6,1;7,851;5;-0,067;-0,0380000000000003;0,0570000000000004;0
8;0,396;6,1;7,851;5;0;0;0;0
9;0,396;6,1;7,851;3;0;0;0;-2
10;0,477;6,066;7,89;2;0,081;-0,0339999999999998;0,0389999999999997;-1
11;0,477;6,066;7,89;5;0;0;0;3
12;0,515;6,086;7,923;5;0,038;0,0200000000000005;0,0330000000000004;0
13;0,515;6,086;7,923;5;0;0;0;0
14;0,515;6,086;7,923;3;0;0;0;-2
15;0,487;6,129;7,981;2;-0,028;0,0429999999999993;0,0579999999999998;-1
16;0,487;6,129;7,981;5;0;0;0;3
17;0,578;6,057;7,89;5;0,091;-0,0719999999999992;-0,0910000000000002;0
18;0,578;6,057;7,89;5;0;0;0;0
19;0,578;6,057;7,89;3;0;0;0;-2
20;0,592;6,066;7,937;2;0,014;0,00899999999999945;0,0470000000000006;-1
21;0,702;6,119;7,985;5;0,11;0,0529999999999999;0,048;3
22;0,702;6,119;7,985;5;0;0;0;0
23;0,707;6,114;8,0;5;0,005;-0,00499999999999989;0,0149999999999997;0
24;0,707;6,114;8,0;3;0;0;0;-2
25;0,707;6,114;8,0;2;0;0;0;-1
26;0,774;6,114;8,201;5;0,0670000000000001;0;0,201000000000001;3
27;0,774;6,114;8,201;5;0;0;0;0
28;0,779;6,071;8,115;5;0,005;-0,0430000000000001;-0,0860000000000003;0
29;0,779;6,071;8,115;3;0;0;0;-2
30;0,779;6,071;8,115;2;0;0;0;-1
31;0,817;6,215;7,899;5;0,0379999999999999;0,144;-0,216;3
32;0,817;6,215;7,899;5;0;0;0;0
33;0,745;6,445;7,492;5;-0,072;0,23;-0,407;0
34;0,745;6,445;7,492;3;0;0;0;-2
35;0,745;6,445;7,492;2;0;0;0;-1
36;0,784;6,43;7,339;5;0,039;-0,0150000000000006;-0,153;3
37;0,784;6,43;7,339;5;0;0;0;0
38;0,678;6,349;7,554;5;-0,106;-0,0809999999999995;0,215;0
39;0,678;6,349;7,554;3;0;0;0;-2
40;0,678;6,349;7,554;2;0;0;0;-1
41;0,707;6,2;7,803;5;0,0289999999999999;-0,149;0,249;3
42;0,707;6,2;7,803;5;0;0;0;0
43;0,86;6,229;7,976;5;0,153;0,0289999999999999;0,173;0
44;0,86;6,229;7,976;3;0;0;0;-2
45;0,86;6,229;7,976;2;0;0;0;-1
46;1,037;6,277;7,995;5;0,177;0,048;0,0190000000000001;3
47;1,037;6,277;7,995;5;0;0;0;0
48;1,329;6,368;7,775;5;0,292;0,0910000000000002;-0,22;0
49;1,329;6,368;7,775;3;0;0;0;-2
50;1,329;6,368;7,775;2;0;0;0;-1
51;1,353;6,512;7,559;5;0,024;0,143999999999999;-0,216;3
52;1,219;6,593;7,578;5;-0,134;0,0810000000000004;0,0190000000000001;0
53;1,219;6,593;7,578;5;0;0;0;0
54;1,219;6,593;7,578;3;0;0;0;-2
55;1,009;6,387;7,784;2;-0,21;-0,206;0,206;-1
56;1,009;6,387;7,784;5;0;0;0;3
57;0,889;6,272;8,1;5;-0,12;-0,114999999999999;0,316;0
58;0,889;6,272;8,1;5;0;0;0;0
59;0,889;6,272;8,1;3;0;0;0;-2
60;0,808;6,224;8,344;2;-0,081;-0,048;0,244;-1
61;0,808;6,224;8,344;5;0;0;0;3
62;0,937;6,268;8,512;5;0,129;0,0439999999999996;0,168000000000001;0
63;0,937;6,268;8,512;5;0;0;0;0
64;0,937;6,268;8,512;3;0;0;0;-2
65;1,181;6,44;8,45;2;0,244;0,172000000000001;-0,0620000000000012;-1
66;1,181;6,44;8,45;5;0;0;0;3
67;1,339;6,856;8,301;5;0,158;0,415999999999999;-0,148999999999999;0
68;1,339;6,856;8,301;5;0;0;0;0
69;1,339;6,856;8,301;3;0;0;0;-2
70;1,727;7,201;8,009;2;0,388;0,345;-0,292;-1
71;1,727;7,201;8,009;5;0;0;0;3
72;1,981;7,546;7,918;5;0,254;0,345000000000001;-0,0910000000000002;0
73;1,981;7,546;7,918;5;0;0;0;0
74;1,981;7,546;7,918;3;0;0;0;-2
75;1,947;7,781;8,182;2;-0,034;0,234999999999999;0,264;-1
76;1,947;7,781;8,182;5;0;0;0;3
77;1,827;7,886;8,321;5;-0,12;0,105;0,138999999999999;0
78;1,827;7,886;8,321;5;0;0;0;0
79;1,827;7,886;8,321;3;0;0;0;-2
80;2,029;8,149;8,589;2;0,202;0,262999999999999;0,268000000000001;-1
81;2,029;8,149;8,589;5;0;0;0;3
82;2,225;8,48;9,058;5;0,196;0,331000000000001;0,468999999999999;0
83;2,546;8,954;9,297;5;0,321;0,474;0,239000000000001;0
84;2,546;8,954;9,297;3;0;0;0;-2
85;2,546;8,954;9,297;2;0;0;0;-1
86;2,761;9,437;9,398;5;0,215;0,482999999999999;0,100999999999999;3
87;2,761;9,437;9,398;5;0;0;0;0
88;2,809;9,844;9,187;5;0,048;0,407;-0,211;0
89;2,809;9,844;9,187;3;0;0;0;-2
90;2,809;9,844;9,187;2;0;0;0;-1
91;2,867;10,108;9,01;5;0,0579999999999998;0,264000000000001;-0,177;3
92;2,867;10,108;9,01;5;0;0;0;0
93;2,646;9,672;8,809;5;-0,221;-0,436;-0,201000000000001;0
94;2,646;9,672;8,809;3;0;0;0;-2
95;2,646;9,672;8,809;2;0;0;0;-1
96;2,359;9,255;8,297;5;-0,287;-0,417;-0,511999999999999;3
97;2,359;9,255;8,297;5;0;0;0;0
98;1,655;8,829;8,024;5;-0,704;-0,426;-0,273000000000001;0
99;1,655;8,829;8,024;3;0;0;0;-2
100;1,655;8,829;8,024;2;0;0;0;-1
101;0,774;8,374;8,143;5;-0,881;-0,455;0,119000000000002;3
102;0,774;8,374;8,143;5;0;0;0;0
103;-0,082;7,862;8,024;5;-0,856;-0,512;-0,119000000000002;0
104;-0,082;7,862;8,024;3;0;0;0;-2
105;-0,082;7,862;8,024;2;0;0;0;-1
106;-0,867;7,56;7,688;5;-0,785;-0,302;-0,335999999999999;3
107;-0,867;7,56;7,688;5;0;0;0;0
108;-1,729;7,259;6,946;5;-0,862;-0,300999999999999;-0,742;0
109;-1,729;7,259;6,946;3;0;0;0;-2
110;-1,729;7,259;6,946;2;0;0;0;-1
111;-2,946;6,698;5,586;5;-1,217;-0,561;-1,36;3
112;-2,946;6,698;5,586;5;0;0;0;0
113;-4,459;6,22;4,399;5;-1,513;-0,478000000000001;-1,187;0
114;-4,459;6,22;4,399;3;0;0;0;-2
115;-6,159;5,42;3,46;2;-1,7;-0,8;-0,939;-1
116;-6,159;5,42;3,46;5;0;0;0;3
117;-9,008;3,687;2,977;5;-2,849;-1,733;-0,483;0
118;-9,008;3,687;2,977;5;0;0;0;0
119;-9,008;3,687;2,977;3;0;0;0;-2
120;-12,034;1,288;2,943;2;-3,026;-2,399;-0,0339999999999998;-1
121;-12,034;1,288;2,943;5;0;0;0;3
122;-15,831;-1,733;3,307;5;-3,797;-3,021;0,364;0
123;-15,831;-1,733;3,307;5;0;0;0;0
124;-15,831;-1,733;3,307;3;0;0;0;-2
125;-19,264;-5,252;4,15;2;-3,433;-3,519;0,843;-1
126;-19,264;-5,252;4,15;5;0;0;0;3
127;-21,754;-7,824;5,452;6;-2,49;-2,572;1,302;1
128;-21,754;-7,824;5,452;5;0;0;0;-1
129;-21,754;-7,824;5,452;3;0;0;0;-2
130;-21,276;-8,465;6,673;1;0,478000000000002;-0,641;1,221;-2
131;-21,276;-8,465;6,673;5;0;0;0;4
132;-19,284;-8,264;7,109;5;1,992;0,201000000000001;0,436;0
133;-19,284;-8,264;7,109;5;0;0;0;0
134;-19,284;-8,264;7,109;4;0;0;0;-1
135;-16,559;-8,576;6,4;1;2,725;-0,312000000000001;-0,709;-3
136;-16,559;-8,576;6,4;5;0;0;0;4
137;-13,921;-8,805;6,104;5;2,638;-0,228999999999999;-0,296;0
138;-13,921;-8,805;6,104;5;0;0;0;0
139;-13,921;-8,805;6,104;4;0;0;0;-1
140;-12,235;-9,548;5,088;1;1,686;-0,743;-1,016;-3
141;-12,235;-9,548;5,088;5;0;0;0;4
142;-11,21;-10,625;4,078;5;1,025;-1,077;-1,01;0
143;-11,21;-10,625;4,078;5;0;0;0;0
144;-11,21;-10,625;4,078;4;0;0;0;-1
145;-9,764;-11,889;3,719;1;1,446;-1,264;-0,359;-3
146;-7,164;-12,732;3,743;5;2,6;-0,843;0,024;4
147;-7,164;-12,732;3,743;5;0;0;0;0
148;-4,353;-13,115;3,848;5;2,811;-0,383000000000001;0,105;0
149;-4,353;-13,115;3,848;4;0;0;0;-1
150;-4,353;-13,115;3,848;1;0;0;0;-3
151;-1,988;-13,278;3,116;5;2,365;-0,163;-0,732;4
152;-1,988;-13,278;3,116;6;0;0;0;1
153;0,817;-13,685;2,45;5;2,805;-0,407;-0,666;-1
154;0,817;-13,685;2,45;3;0;0;0;-2
155;0,817;-13,685;2,45;1;0;0;0;-2
156;5,189;-13,675;3,345;5;4,372;0,00999999999999979;0,895;4
157;5,189;-13,675;3,345;5;0;0;0;0
158;9,8;-12,895;4,973;5;4,611;0,780000000000001;1,628;0
159;9,8;-12,895;4,973;4;0;0;0;-1
160;9,8;-12,895;4,973;1;0;0;0;-3
161;14,45;-11,999;5,663;5;4,65;0,895999999999999;0,69;4
162;14,45;-11,999;5,663;5;0;0;0;0
163;19,602;-10,433;5,955;5;5,152;1,566;0,292;0
164;19,602;-10,433;5,955;4;0;0;0;-1
165;19,602;-10,433;5,955;1;0;0;0;-3
166;22,02;-9,481;7,162;5;2,418;0,952;1,207;4
167;22,02;-9,481;7,162;5;0;0;0;0
168;22,782;-9,299;8,814;5;0,762;0,182;1,652;0
169;22,782;-9,299;8,814;4;0;0;0;-1
170;22,782;-9,299;8,814;1;0;0;0;-3
171;23,112;-8,092;10,475;5;0,329999999999998;1,207;1,661;4
172;23,112;-8,092;10,475;6;0;0;0;1
173;23,643;-6,904;11,155;5;0,531000000000002;1,188;0,68;-1
174;23,643;-6,904;11,155;3;0;0;0;-2
175;23,643;-6,904;11,155;1;0;0;0;-2
176;24,472;-5,497;10,696;5;0,829000000000001;1,407;-0,459;4
177;25,228;-3,586;10,418;5;0,756;1,911;-0,278;0
178;25,228;-3,586;10,418;5;0;0;0;0
179;25,228;-3,586;10,418;4;0;0;0;-1
180;25,679;-2,437;10,126;1;0,450999999999997;1,149;-0,292;-3
181;25,679;-2,437;10,126;5;0;0;0;4
182;25,789;-1,0;10,404;5;0,110000000000003;1,437;0,278;0
183;25,789;-1,0;10,404;5;0;0;0;0
184;25,789;-1,0;10,404;4;0;0;0;-1
185;25,334;0,22;10,207;1;-0,455000000000002;1,22;-0,196999999999999;-3
186;25,334;0,22;10,207;5;0;0;0;4
187;24,515;0,885;9,838;5;-0,818999999999999;0,665;-0,369000000000002;0
188;24,515;0,885;9,838;5;0;0;0;0
189;24,515;0,885;9,838;4;0;0;0;-1
190;23,093;0,962;9,685;1;-1,422;0,077;-0,152999999999999;-3
191;23,093;0,962;9,685;5;0;0;0;4
192;22,556;1,297;10,284;6;-0,536999999999999;0,335;0,599;1
193;22,556;1,297;10,284;5;0;0;0;-1
194;22,556;1,297;10,284;3;0;0;0;-2
195;25,161;3,203;10,346;1;2,605;1,906;0,0619999999999994;-2
196;25,161;3,203;10,346;5;0;0;0;4
197;28,384;4,285;10,801;6;3,223;1,082;0,455;1
198;28,384;4,285;10,801;5;0;0;0;-1
199;28,384;4,285;10,801;3;0;0;0;-2
200;29,27;3,667;11,131;1;0,885999999999999;-0,618;0,33;-2
201;29,27;3,667;11,131;5;0;0;0;4
202;27,479;3,399;11,874;5;-1,791;-0,268;0,743;0
203;27,479;3,399;11,874;5;0;0;0;0
204;27,479;3,399;11,874;4;0;0;0;-1
205;26,2;1,805;15,647;1;-1,279;-1,594;3,773;-3
206;26,2;1,805;15,647;5;0;0;0;4
207;26,947;0,809;19,592;6;0,747;-0,996;3,945;1
208;27,508;-0,756;19,727;5;0,561;-1,565;0,135000000000002;-1
209;27,508;-0,756;19,727;3;0;0;0;-2
210;27,508;-0,756;19,727;1;0;0;0;-2
