timestamp;x;y;z;|V|;dx;dy;dz;d|V|
0;1,167;6,239;7,392;0;0;0;0;
1;1,167;6,239;7,392;4;0;0;0;4
2;1,124;6,229;7,334;5;-0,043;-0,01;-0,058;1
3;1,124;6,229;7,334;5;0;0;0;0
4;1,124;6,229;7,334;4;0;0;0;-1
5;1,138;6,253;7,325;1;0,014;0,024;-0,009;-3
6;1,138;6,253;7,325;5;0;0;0;4
7;1,157;6,215;7,363;5;0,019;-0,038;0,038;0
8;1,157;6,215;7,363;5;0;0;0;0
9;1,157;6,215;7,363;3;0;0;0;-2
10;1,104;6,22;7,377;2;-0,053;0,005;0,014;-1
11;1,104;6,22;7,377;5;0;0;0;3
12;1,205;6,253;7,444;5;0,101;0,033;0,067;0
13;1,21;6,244;7,535;5;0,005;-0,009;0,091;0
14;1,21;6,244;7,535;3;0;0;0;-2
15;1,21;6,244;7,535;2;0;0;0;-1
16;1,181;6,234;7,497;5;-0,029;-0,01;-0,038;3
17;1,181;6,234;7,497;5;0;0;0;0
18;1,119;6,234;7,416;5;-0,062;0;-0,081;0
19;1,119;6,234;7,416;4;0;0;0;-1
20;1,119;6,234;7,416;1;0;0;0;-3
21;1,076;6,258;7,291;5;-0,043;0,024;-0,125;4
22;1,076;6,258;7,291;5;0;0;0;0
23;1,1;6,248;7,248;5;0,024;-0,01;-0,043;0
24;1,1;6,248;7,248;3;0;0;0;-2
25;1,1;6,248;7,248;2;0;0;0;-1
26;1,128;6,234;7,483;5;0,028;-0,014;0,235;3
27;1,128;6,234;7,483;5;0;0;0;0
28;1,09;6,196;7,406;5;-0,038;-0,038;-0,077;0
29;1,09;6,196;7,406;3;0;0;0;-2
30;1,09;6,196;7,406;2;0;0;0;-1
31;1,018;6,162;7,435;5;-0,072;-0,034;0,029;3
32;1,018;6,162;7,435;5;0;0;0;0
33;0,942;6,191;7,296;5;-0,076;0,029;-0,139;0
34;0,942;6,191;7,296;4;0;0;0;-1
35;0,899;6,162;7,301;6;-0,043;-0,029;0,005;2
36;0,899;6,162;7,301;5;0;0;0;-1
37;0,908;6,148;7,291;5;0,009;-0,014;-0,01;0
38;0,908;6,148;7,291;3;0;0;0;-2
39;0,908;6,148;7,291;2;0;0;0;-1
40;0,942;6,1;7,43;5;0,034;-0,048;0,139;3
41;0,942;6,1;7,43;5;0;0;0;0
42;1,042;6,114;7,521;5;0,1;0,014;0,091;0
43;1,042;6,114;7,521;4;0;0;0;-1
44;1,071;6,129;7,607;1;0,029;0,015;0,086;-3
45;1,071;6,129;7,607;5;0;0;0;4
46;1,028;6,11;7,665;5;-0,043;-0,019;0,058;0
47;1,028;6,11;7,665;5;0;0;0;0
48;1,028;6,11;7,665;4;0;0;0;-1
49;0,98;6,133;7,66;1;-0,048;0,023;-0,005;-3
50;0,98;6,133;7,66;5;0;0;0;4
51;0,927;6,157;7,54;5;-0,053;0,024;-0,12;0
52;0,927;6,157;7,54;5;0;0;0;0
53;0,927;6,157;7,54;3;0;0;0;-2
