timestamp;x;y;z;|V|;dx;dy;dz;d|V|
0;0,113;6,473;7,286;00;0;0;0
1;0,113;6,473;7,286;5;0;0;0;5
2;0,113;6,473;7,286;3;0;0;0;-2
3;-0,049;6,569;7,018;2;-0,162;0,0960000000000001;-0,268;-1
4;-0,049;6,569;7,018;4;0;0;0;2
5;-0,13;6,627;6,975;5;-0,081;0,0579999999999998;-0,0430000000000001;1
6;-0,13;6,627;6,975;5;0;0;0;0
7;-0,13;6,627;6,975;4;0;0;0;-1
8;-0,187;6,607;6,918;1;-0,057;-0,0199999999999996;-0,0569999999999995;-3
9;-0,187;6,607;6,918;5;0;0;0;4
10;-0,259;6,67;7,114;5;-0,072;0,0629999999999997;0,196;0
11;-0,259;6,67;7,114;5;0;0;0;0
12;-0,259;6,67;7,114;4;0;0;0;-1
13;-0,269;6,459;7,013;2;-0,01;-0,211;-0,101;-2
14;-0,269;6,459;7,013;5;0;0;0;3
15;-0,341;6,545;7,004;5;-0,072;0,0860000000000003;-0,00900000000000034;0
16;-0,341;6,545;7,004;5;0;0;0;0
17;-0,341;6,545;7,004;3;0;0;0;-2
18;-0,269;6,665;6,913;1;0,072;0,12;-0,0909999999999993;-2
19;-0,269;6,665;6,913;5;0;0;0;4
20;-0,154;6,646;6,798;5;0,115;-0,0190000000000001;-0,115;0
21;-0,154;6,646;6,798;5;0;0;0;0
22;-0,154;6,646;6,798;4;0;0;0;-1
23;-0,001;6,78;6,946;1;0,153;0,134;0,148;-3
24;-0,001;6,78;6,946;5;0;0;0;4
25;0,094;6,722;7,214;5;0,095;-0,0579999999999998;0,268000000000001;0
26;0,032;6,641;7,411;5;-0,062;-0,0810000000000004;0,196999999999999;0
27;0,032;6,641;7,411;4;0;0;0;-1
28;0,032;6,641;7,411;1;0;0;0;-3
29;-0,106;6,473;7,468;6;-0,138;-0,168;0,0570000000000004;5
30;-0,106;6,473;7,468;5;0;0;0;-1
31;-0,283;6,411;7,511;5;-0,177;-0,0620000000000003;0,0430000000000001;0
