timestamp;x;y;z;|V|;dx;dy;dz;d|V|
0;1,842;3,251;9,91;0;0;0;0;
1;1,842;3,251;9,91;5;0;0;0;5
2;1,842;3,251;9,91;3;0;0;0;-2
3;1,909;3,15;10,193;1;0,067;-0,101;0,283;-2
4;1,909;3,15;10,193;5;0;0;0;4
5;1,77;3,069;10,389;5;-0,139;-0,081;0,196;0
6;1,77;3,069;10,389;5;0;0;0;0
7;1,77;3,069;10,389;4;0;0;0;-1
8;1,55;3,016;10,423;1;-0,22;-0,053;0,034;-3
9;1,55;3,016;10,423;5;0;0;0;4
10;1,31;2,997;10,207;5;-0,24;-0,019;-0,216;0
11;1,31;2,997;10,207;5;0;0;0;0
12;1,31;2,997;10,207;4;0;0;0;-1
13;1,186;3,141;9,848;1;-0,124;0,144;-0,359;-3
14;1,186;3,141;9,848;5;0;0;0;4
15;1,066;3,265;9,585;5;-0,12;0,124;-0,263;0
16;1,066;3,265;9,585;5;0;0;0;0
17;1,066;3,265;9,585;4;0;0;0;-1
18;1,176;3,366;9,417;1;0,11;0,101;-0,168;-3
19;1,162;3,418;9,441;5;-0,014;0,052;0,024;4
20;1,162;3,418;9,441;5;0;0;0;0
21;1,004;3,38;9,278;5;-0,158;-0,038;-0,163;0
22;1,004;3,38;9,278;4;0;0;0;-1
23;1,004;3,38;9,278;1;0;0;0;-3
24;0,822;3,294;9,269;5;-0,182;-0,086;-0,009;4
25;0,822;3,294;9,269;5;0;0;0;0
26;0,812;3,189;9,436;5;-0,01;-0,105;0,167;0
27;0,812;3,189;9,436;4;0;0;0;-1
28;0,812;3,189;9,436;1;0;0;0;-3
29;0,98;3,107;9,455;5;0,168;-0,082;0,019;4
30;0,98;3,107;9,455;5;0;0;0;0
31;1,143;3,078;9,508;5;0,163;-0,029;0,053;0
32;1,143;3,078;9,508;4;0;0;0;-1
33;1,143;3,078;9,508;1;0;0;0;-3
34;1,205;3,055;9,513;5;0,062;-0,023;0,005;4
35;1,205;3,055;9,513;5;0;0;0;0
36;1,152;3,021;9,57;5;-0,053;-0,034;0,057;0
37;1,152;3,021;9,57;4;0;0;0;-1
38;1,152;3,021;9,57;1;0;0;0;-3
39;1,167;2,964;9,781;5;0,015;-0,057;0,211;4
40;1,167;2,964;9,781;5;0;0;0;0
41;1,267;2,935;9,958;5;0,1;-0,029;0,177;0
42;1,267;2,935;9,958;4;0;0;0;-1
43;1,267;2,935;9,958;1;0;0;0;-3
44;1,306;2,935;9,757;5;0,039;0;-0,201;4
45;1,306;2,935;9,757;5;0;0;0;0
46;1,406;3,05;9,412;5;0,1;0,115;-0,345;0
47;1,406;3,05;9,412;4;0;0;0;-1
48;1,406;3,05;9,412;1;0;0;0;-3
49;1,329;3,126;9,192;5;-0,077;0,076;-0,22;4
50;1,124;3,179;8,895;6;-0,205;0,053;-0,297;1
51;1,124;3,179;8,895;5;0;0;0;-1
52;1,124;3,179;8,895;3;0;0;0;-2
53;1,052;3,155;8,517;1;-0,072;-0,024;-0,378;-2
54;1,052;3,155;8,517;5;0;0;0;4
55;1,301;3,155;8,129;5;0,249;0;-0,388;0
56;1,301;3,155;8,129;5;0;0;0;0
57;1,301;3,155;8,129;4;0;0;0;-1
58;3,47;2,858;6,764;1;2,169;-0,297;-1,365;-3
59;3,47;2,858;6,764;5;0;0;0;4
60;0,582;3,409;9,211;5;-2,888;0,551;2,447;0
61;0,582;3,409;9,211;5;0;0;0;0
62;0,582;3,409;9,211;4;0;0;0;-1
63;0,793;3,356;9,226;1;0,211;-0,053;0,015;-3
64;0,793;3,356;9,226;5;0;0;0;4
65;0,377;2,868;9,297;6;-0,416;-0,488;0,071;1
66;0,377;2,868;9,297;5;0;0;0;-1
67;0,377;2,868;9,297;3;0;0;0;-2
68;0,702;2,609;9,589;1;0,325;-0,259;0,292;-2
69;0,702;2,609;9,589;5;0;0;0;4
70;1,061;2,82;9,408;5;0,359;0,211;-0,181;0
71;1,061;2,82;9,408;5;0;0;0;0
72;1,061;2,82;9,408;4;0;0;0;-1
73;1,329;3,083;9,312;1;0,268;0,263;-0,096;-3
74;1,329;3,083;9,312;5;0;0;0;4
75;1,43;3,208;9,029;6;0,101;0,125;-0,283;1
76;1,43;3,208;9,029;5;0;0;0;-1
77;1,43;3,208;9,029;3;0;0;0;-2
78;1,387;3,126;8,708;1;-0,043;-0,082;-0,321;-2
79;1,387;3,126;8,708;5;0;0;0;4
80;1,334;3,045;8,684;6;-0,053;-0,081;-0,024;1
81;1,296;3,007;8,905;5;-0,038;-0,038;0,221;-1
82;1,296;3,007;8,905;3;0;0;0;-2
83;1,296;3,007;8,905;1;0;0;0;-2
84;1,296;3,031;9,173;5;0;0,024;0,268;4
85;1,296;3,031;9,173;5;0;0;0;0
