timestamp;x;y;z;|V|;dx;dy;dz;d|V|
0;0,635;2,93;8,67;00;0;0;0
1;0,635;2,93;8,67;1;0;0;0;1
2;1,162;3,179;8,531;4;0,527;0,249;-0,138999999999999;3
3;1,162;3,179;8,531;6;0;0;0;2
4;1,444;3,433;8,459;5;0,282;0,254;-0,072000000000001;-1
5;1,444;3,433;8,459;3;0;0;0;-2
6;1,444;3,433;8,459;1;0;0;0;-2
7;1,401;3,586;8,651;5;-0,0429999999999999;0,153;0,192;4
8;1,401;3,586;8,651;5;0;0;0;0
9;1,047;3,533;8,996;5;-0,354;-0,0529999999999999;0,345000000000001;0
10;1,047;3,533;8,996;4;0;0;0;-1
11;0,894;3,299;9,168;1;-0,153;-0,234;0,171999999999999;-3
12;0,894;3,299;9,168;5;0;0;0;4
13;0,875;3,213;9,537;5;-0,019;-0,0859999999999999;0,369000000000002;0
14;0,875;3,213;9,537;5;0;0;0;0
15;0,875;3,213;9,537;4;0;0;0;-1
16;1,133;3,064;9,566;1;0,258;-0,149;0,0289999999999999;-3
17;1,133;3,064;9,566;5;0;0;0;4
18;1,114;2,935;9,331;6;-0,0189999999999999;-0,129;-0,235000000000001;1
19;1,114;2,935;9,331;5;0;0;0;-1
20;1,114;2,935;9,331;3;0;0;0;-2
21;0,784;2,916;8,842;1;-0,33;-0,0190000000000001;-0,488999999999999;-2
22;0,784;2,916;8,842;5;0;0;0;4
23;0,525;3,155;9,288;6;-0,259;0,239;0,446;1
24;0,525;3,155;9,288;5;0;0;0;-1
25;0,525;3,155;9,288;3;0;0;0;-2
26;0,42;3,078;9,527;1;-0,105;-0,077;0,238999999999999;-2
27;0,42;3,078;9,527;5;0;0;0;4
28;0,602;2,882;9,599;5;0,182;-0,196;0,072000000000001;0
29;0,602;2,882;9,599;5;0;0;0;0
30;0,602;2,882;9,599;4;0;0;0;-1
31;0,803;2,743;9,575;1;0,201;-0,139;-0,0240000000000009;-3
32;0,803;2,743;9,575;5;0;0;0;4
33;0,803;2,715;9,532;6;0;-0,028;-0,0429999999999993;1
34;0,803;2,715;9,532;5;0;0;0;-1
35;0,803;2,715;9,532;3;0;0;0;-2
36;0,602;2,71;9,657;1;-0,201;-0,00499999999999989;0,125;-2
37;0,602;2,71;9,657;5;0;0;0;4
38;0,463;2,657;9,719;5;-0,139;-0,0529999999999999;0,0619999999999994;0
39;0,463;2,657;9,719;5;0;0;0;0
40;0,463;2,657;9,719;4;0;0;0;-1
41;0,492;2,667;9,652;1;0,029;0,00999999999999979;-0,0670000000000002;-3
42;0,568;2,647;9,475;5;0,076;-0,02;-0,177;4
43;0,568;2,647;9,475;6;0;0;0;1
44;0,836;2,647;9,403;5;0,268;0;-0,0719999999999992;-1
45;0,836;2,647;9,403;3;0;0;0;-2
46;0,836;2,647;9,403;1;0;0;0;-2
47;1,148;2,71;9,599;5;0,312;0,0630000000000002;0,196;4
48;1,148;2,71;9,599;6;0;0;0;1
49;1,004;2,719;9,704;5;-0,144;0,0089999999999999;0,105;-1
50;1,004;2,719;9,704;3;0;0;0;-2
51;1,004;2,719;9,704;1;0;0;0;-2
52;0,903;2,748;9,455;5;-0,101;0,0290000000000004;-0,249000000000001;4
53;0,903;2,748;9,455;6;0;0;0;1
54;0,889;2,815;9,087;5;-0,014;0,0669999999999997;-0,368;-1
55;0,889;2,815;9,087;3;0;0;0;-2
56;0,889;2,815;9,087;1;0;0;0;-2
57;0,855;2,849;8,962;5;-0,034;0,0340000000000003;-0,125;4
58;0,855;2,849;8,962;5;0;0;0;0
59;0,659;2,825;8,977;5;-0,196;-0,024;0,0150000000000006;0
60;0,659;2,825;8,977;4;0;0;0;-1
61;0,659;2,825;8,977;1;0;0;0;-3
62;0,592;2,844;8,919;5;-0,0670000000000001;0,0189999999999997;-0,0579999999999998;4
63;0,592;2,844;8,919;6;0;0;0;1
64;0,621;2,81;9,053;5;0,029;-0,0339999999999998;0,134;-1
65;0,621;2,81;9,053;3;0;0;0;-2
66;0,621;2,81;9,053;1;0;0;0;-2
67;0,731;2,734;9,317;5;0,11;-0,0760000000000001;0,263999999999999;4
68;0,731;2,734;9,317;6;0;0;0;1
69;0,741;2,7;9,551;5;0,01;-0,0339999999999998;0,234;-1
70;0,741;2,7;9,551;3;0;0;0;-2
71;0,741;2,7;9,551;1;0;0;0;-2
72;0,678;2,676;9,637;5;-0,0629999999999999;-0,024;0,0860000000000003;4
73;0,611;2,777;9,637;6;-0,0670000000000001;0,101;0;1
74;0,611;2,777;9,637;5;0;0;0;-1
75;0,611;2,777;9,637;3;0;0;0;-2
76;0,611;2,925;9,589;1;0;0,148;-0,048;-2
77;0,611;2,925;9,589;5;0;0;0;4
78;0,626;2,983;9,599;6;0,015;0,0580000000000003;0,00999999999999979;1
79;0,626;2,983;9,599;5;0;0;0;-1
80;0,626;2,983;9,599;3;0;0;0;-2
81;0,587;3,064;9,57;1;-0,039;0,081;-0,0289999999999999;-2
