timestamp;x;y;z;|V|;dx;dy;dz;d|V|
0;-0,762;3,888;8,593;00;0;0;0
1;-0,762;3,888;8,593;2;0;0;0;2
2;-0,762;3,888;8,593;2;0;0;0;0
3;-0,772;3,797;8,795;5;-0,01;-0,0909999999999997;0,202;3
4;-0,772;3,797;8,795;5;0;0;0;0
5;-0,638;4,108;8,991;5;0,134;0,311;0,196;0
6;-0,638;4,108;8,991;3;0;0;0;-2
7;-0,638;4,108;8,991;2;0;0;0;-1
8;-0,561;4,314;8,866;5;0,077;0,206;-0,125;3
9;-0,561;4,314;8,866;6;0;0;0;1
10;-0,345;4,304;8,665;5;0,216;-0,00999999999999979;-0,201000000000001;-1
11;-0,345;4,304;8,665;2;0;0;0;-3
12;-0,345;4,304;8,665;2;0;0;0;0
13;-0,12;4,175;8,603;5;0,225;-0,129;-0,0619999999999994;3
14;-0,12;4,175;8,603;5;0;0;0;0
15;-0,082;4,141;8,474;5;0,038;-0,0339999999999998;-0,129;0
16;-0,082;4,141;8,474;3;0;0;0;-2
17;-0,082;4,141;8,474;2;0;0;0;-1
18;-0,13;4,261;8,756;5;-0,048;0,12;0,282;3
19;-0,13;4,261;8,756;5;0;0;0;0
20;-0,245;4,18;8,914;5;-0,115;-0,0810000000000004;0,157999999999999;0
21;-0,245;4,18;8,914;3;0;0;0;-2
22;0,338;3,739;8,689;2;0,583;-0,441;-0,225;-1
23;0,338;3,739;8,689;5;0;0;0;3
24;0,027;4,237;9,374;5;-0,311;0,498;0,685000000000001;0
25;0,027;4,237;9,374;5;0;0;0;0
26;0,027;4,237;9,374;3;0;0;0;-2
27;0,099;4,443;9,815;2;0,072;0,206;0,440999999999999;-1
28;0,099;4,443;9,815;5;0;0;0;3
29;0,07;4,175;9,719;5;-0,029;-0,268;-0,0960000000000001;0
30;0,07;4,175;9,719;5;0;0;0;0
31;0,07;4,175;9,719;3;0;0;0;-2
32;0,003;3,739;9,561;2;-0,067;-0,436;-0,157999999999999;-1
33;0,003;3,739;9,561;5;0;0;0;3
34;-0,393;3,112;9,709;5;-0,396;-0,627;0,148;0
35;-0,393;3,112;9,709;5;0;0;0;0
36;-0,393;3,112;9,709;3;0;0;0;-2
37;0,324;4,323;9,882;2;0,717;1,211;0,173;-1
38;0,324;4,323;9,882;5;0;0;0;3
39;0,271;4,486;9,34;5;-0,053;0,162999999999999;-0,542;0
40;0,271;4,486;9,34;5;0;0;0;0
41;0,271;4,486;9,34;3;0;0;0;-2
42;0,147;4,443;8,91;2;-0,124;-0,0430000000000001;-0,43;-1
43;0,147;4,443;8,91;5;0;0;0;3
44;0,161;4,343;8,541;5;0,014;-0,0999999999999996;-0,369;0
45;0,161;4,343;8,541;5;0;0;0;0
46;0,161;4,343;8,541;4;0;0;0;-1
47;0,171;4,309;8,364;1;0,01;-0,0339999999999998;-0,177;-3
48;0,171;4,309;8,364;5;0;0;0;4
49;0,027;3,371;8,598;5;-0,144;-0,938;0,234;0
50;0,027;3,371;8,598;5;0;0;0;0
51;0,027;3,371;8,598;4;0;0;0;-1
52;0,779;4,309;8,981;1;0,752;0,938;0,382999999999999;-3
53;0,831;5,018;9,647;5;0,0519999999999999;0,709;0,666;4
54;0,831;5,018;9,647;6;0;0;0;1
55;0,424;5,114;9,877;5;-0,407;0,0960000000000001;0,23;-1
56;0,424;5,114;9,877;3;0;0;0;-2
57;0,424;5,114;9,877;1;0;0;0;-2
58;0,511;4,592;9,637;5;0,087;-0,522;-0,24;4
59;0,511;4,592;9,637;6;0;0;0;1
60;0,798;4,07;9,039;5;0,287;-0,521999999999999;-0,598000000000001;-1
61;0,798;4,07;9,039;3;0;0;0;-2
62;0,798;4,07;9,039;1;0;0;0;-2
63;0,415;3,615;8,656;5;-0,383;-0,455;-0,382999999999999;4
64;0,415;3,615;8,656;5;0;0;0;0
65;-0,958;2,193;8,704;5;-1,373;-1,422;0,048;0
66;-0,958;2,193;8,704;4;0;0;0;-1
67;-0,958;2,193;8,704;1;0;0;0;-3
