# Accelerometer Data File
# Started @Mon Mar 27 17:03:22 MESZ 2017
#
#
# sensor Vendor: ST Micro
# sensor Name: LIS3DH 3-axis Accelerometer
# sensor Resolution: 0.009810001m/sec^2; Max Range: 39.24; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.196 3.726 10.865 0
0.039 3.491 10.748 9
-0.117 3.138 10.395 10
0.156 3.138 10.159 10
0.313 3.138 10.081 10
0.431 3.059 9.885 11
0.353 3.138 9.806 9
0.117 3.255 9.688 18
-0.078 3.53 9.728 2
-0.196 3.648 9.845 10
-0.235 3.844 9.963 11
-0.235 3.961 10.042 10
-0.117 3.922 10.042 9
0.078 3.765 10.081 11
0.196 3.804 10.12 9
0.392 3.765 10.081 10
0.47 3.412 10.042 10
0.039 2.863 9.532 11
-0.039 2.706 9.1 10
0.0 2.706 9.022 9
0.313 2.824 9.414 10
0.078 3.138 9.649 10
0.0 3.255 9.885 10
-0.156 3.177 10.002 11
-0.235 3.255 10.159 10
-0.353 3.295 10.316 9
-0.549 3.138 10.355 10
-0.549 2.941 10.316 10
-0.47 2.902 10.512 10
-0.431 2.863 10.277 10
-0.313 2.902 10.042 10
-0.039 3.02 10.042 10
0.039 3.02 10.042 10
0.117 3.216 10.355 11
0.156 3.255 10.434 9
-0.039 3.059 10.316 10
-0.313 2.785 10.473 11
-0.588 2.549 10.395 9
-0.706 2.432 10.473 11
-0.823 2.314 10.395 9
-0.784 2.314 10.355 11
-0.784 2.235 10.159 9
-0.588 2.235 10.159 10
-0.235 2.275 10.081 10
-0.196 2.275 10.081 10
-0.156 2.118 9.924 10
-0.274 1.961 10.042 10
-0.274 1.882 10.002 10
-0.117 2.039 9.924 10
-0.117 1.922 10.042 11
-0.117 2.039 10.12 10
-0.078 2.235 10.12 9
-0.078 2.118 10.12 10
-0.078 2.353 9.963 10
-0.078 2.432 10.002 10
-0.078 2.392 10.002 10
0.0 2.549 9.806 10
-0.117 2.51 9.845 10
-0.274 2.432 10.198 10
-0.313 2.392 10.081 10
-0.235 2.471 10.238 10
-0.156 2.471 10.355 10
-0.196 2.51 10.473 10
-0.235 2.588 10.512 11
-0.274 2.392 10.277 9
-0.313 2.432 10.159 10
-0.235 2.471 10.277 10
-0.156 2.628 10.081 10
0.0 2.471 10.081 10
0.039 2.235 9.885 10
0.039 2.118 9.845 10
-0.039 1.843 9.806 10
0.0 1.804 10.081 10
0.0 1.922 10.512 10
-0.078 2.0 10.591 10
-0.274 1.922 10.512 10
-0.509 1.882 10.591 10
-0.47 1.882 10.63 10
-0.549 1.961 10.434 10
-0.392 2.079 10.12 10
-0.509 2.118 10.002 10
-0.431 2.196 9.806 10
-0.353 2.157 9.845 10
-0.353 2.118 9.767 10
-0.47 2.0 9.728 10
-0.353 1.922 9.767 10
-0.431 1.804 9.728 10
-0.47 1.804 9.728 11
-0.47 1.922 9.885 9
-0.627 1.882 9.767 10
-0.745 1.843 9.728 11
-0.666 2.0 9.845 9
-0.706 2.196 9.924 11
-0.902 2.235 9.963 10
-1.059 2.314 10.238 9
-1.019 2.549 10.355 10
-1.059 2.667 10.512 10
-0.706 2.863 10.395 10
-0.588 2.902 10.591 10
-0.745 2.902 10.473 10
-0.862 2.706 10.395 11
-0.98 2.432 10.355 9
-1.098 2.392 10.316 10
-1.098 2.392 10.159 10
-1.059 2.275 10.238 10
-0.941 2.275 10.316 10
-0.98 2.314 10.473 10
-0.902 2.353 10.551 10
-0.862 2.314 10.63 10
-0.706 2.275 10.473 10
-0.588 2.235 10.277 10
-0.431 2.235 10.12 10
-0.392 2.275 9.885 10
-0.392 2.118 9.532 10
-0.313 2.079 9.296 10
-0.196 2.118 9.139 10
-0.078 2.471 9.335 10
-0.039 2.824 9.61 10
-0.235 2.863 9.532 10
-0.47 2.745 9.453 10
-0.549 2.706 9.532 10
-0.549 2.941 9.571 10
-0.353 3.177 9.571 10
-0.353 3.373 9.767 10
-0.274 3.491 9.845 10
-0.353 3.491 9.806 10
-0.313 3.451 9.767 11
-0.235 3.53 9.963 9
