# Accelerometer Data File
# Started @Mon Mar 27 17:00:05 MESZ 2017
#
#
# sensor Vendor: ST Micro
# sensor Name: LIS3DH 3-axis Accelerometer
# sensor Resolution: 0.009810001m/sec^2; Max Range: 39.24; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.431 3.53 9.806 0
0.392 3.373 9.845 10
0.353 3.334 9.845 10
0.196 3.334 9.885 10
0.078 3.334 9.845 9
0.156 3.412 9.845 11
0.274 3.255 9.806 10
0.274 3.295 9.688 10
0.156 3.373 9.728 10
0.078 3.412 9.767 10
0.039 3.334 9.767 10
-0.078 3.412 9.845 11
-0.196 3.53 9.963 8
-0.039 3.569 9.924 11
0.039 3.491 9.963 10
0.078 3.373 9.924 10
0.078 3.098 9.845 10
0.274 3.177 10.002 12
0.274 3.138 9.924 8
0.078 3.02 9.845 10
0.039 2.902 9.845 10
0.156 3.098 9.845 10
0.353 3.334 9.728 10
0.274 3.216 9.845 10
0.353 3.295 9.845 10
0.392 3.334 9.845 10
0.313 3.216 9.845 10
0.156 3.059 9.571 10
0.196 3.098 9.492 10
0.431 3.451 9.649 9
0.509 3.687 9.61 11
0.431 3.608 10.002 10
0.235 3.412 10.081 10
0.039 3.491 10.042 10
0.078 3.53 9.924 10
0.156 3.491 9.924 10
0.274 3.373 9.963 10
0.274 3.373 9.728 10
0.392 3.412 9.845 10
0.353 3.569 9.845 10
0.353 3.608 10.12 10
0.392 3.687 10.12 10
0.353 3.648 10.081 10
0.274 3.53 10.316 10
0.274 3.373 9.963 10
0.313 3.451 9.571 10
0.313 3.216 9.649 10
0.47 3.412 9.61 10
0.431 3.491 9.806 10
0.392 3.255 9.845 10
0.156 3.177 9.767 10
0.156 3.216 9.728 10
0.078 3.138 9.728 10
0.117 3.138 9.688 10
0.039 3.02 9.688 10
-0.039 2.941 9.767 10
-0.196 2.902 9.688 10
-0.039 3.059 9.767 10
0.039 3.098 9.806 10
-0.078 3.255 9.963 10
-0.078 3.295 10.042 10
-0.156 3.373 10.198 10
-0.156 3.295 10.355 10
-0.196 3.295 10.355 10
-0.274 3.138 10.395 10
-0.353 3.138 10.277 10
-0.353 3.138 10.159 10
-0.196 3.138 9.885 10
-0.196 3.373 9.845 10
-0.117 3.373 9.806 10
-0.078 3.451 9.806 10
-0.039 3.53 9.728 10
0.078 3.295 9.61 10
0.0 3.098 9.414 10
0.0 3.216 9.532 10
0.117 3.295 9.453 10
0.196 3.373 9.61 10
0.039 3.177 9.845 10
-0.039 3.138 9.885 10
-0.117 3.098 10.002 10
-0.274 3.138 9.963 10
-0.196 3.138 10.081 10
-0.156 3.138 10.042 10
-0.196 3.059 10.002 10
-0.235 3.138 9.924 10
-0.274 3.138 9.885 10
-0.313 3.138 10.002 10
-0.196 3.177 10.042 10
-0.156 3.255 10.159 10
-0.313 3.138 10.159 10
-0.47 3.02 10.198 10
-0.509 2.902 10.277 10
-0.47 2.941 10.198 10
-0.353 2.981 10.238 10
-0.431 2.941 10.12 10
-0.353 2.902 10.081 10
