# Accelerometer Data File
# Started @Mon Mar 27 16:47:14 MESZ 2017
#
#
# sensor Vendor: ST Micro
# sensor Name: LIS3DH 3-axis Accelerometer
# sensor Resolution: 0.009810001m/sec^2; Max Range: 39.24; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.823 1.647 9.767 0
-0.902 1.569 9.885 9
-0.941 1.451 9.688 10
-0.862 1.647 9.532 10
-0.823 1.686 9.375 10
-0.706 1.647 9.257 10
-0.588 1.804 9.414 10
-0.706 1.765 9.492 10
-0.588 1.922 9.688 10
-0.549 1.882 9.924 10
-0.196 1.922 10.159 10
-0.156 1.804 10.316 10
-0.156 1.804 10.591 10
-0.156 1.608 10.787 10
-0.039 1.451 11.022 10
-0.156 1.372 11.14 10
-0.392 1.333 11.14 10
-0.47 1.569 10.983 10
-0.274 1.804 11.258 10
-0.274 2.118 11.101 10
-0.431 2.196 11.414 10
-0.431 2.314 11.297 13
-0.431 2.314 11.258 7
-0.588 2.471 11.258 10
-0.627 2.314 11.218 10
-0.47 2.353 11.14 10
-0.706 2.079 11.493 10
-0.784 2.039 11.689 10
-0.745 2.157 11.807 10
-0.706 2.039 11.924 10
-0.745 1.843 12.199 10
-0.745 1.843 12.16 10
-0.706 1.608 12.434 10
-0.862 1.412 12.591 10
-0.862 1.451 12.748 10
-0.706 1.49 12.748 10
-0.706 1.49 12.63 10
-0.706 1.176 12.395 10
-0.706 0.98 11.885 10
-0.706 0.862 11.375 11
-0.588 0.862 11.022 9
-0.47 0.706 10.669 10
-0.549 0.666 10.512 10
-0.588 0.666 10.198 10
-0.392 0.745 10.198 10
-0.313 0.745 10.002 10
-0.117 0.627 10.042 10
0.0 0.666 10.081 10
0.117 0.862 9.963 10
0.117 0.862 10.042 10
0.078 0.784 10.159 10
0.039 0.823 10.159 10
-0.039 0.902 9.963 10
-0.078 0.823 9.767 10
-0.156 0.784 9.61 10
-0.039 0.823 9.296 10
0.274 0.784 8.943 11
0.509 0.941 8.904 9
0.666 1.059 8.747 10
0.862 0.941 8.629 10
0.823 0.902 8.747 10
0.902 0.823 8.669 11
0.902 0.784 8.825 9
0.784 0.784 9.022 10
0.666 0.549 9.335 10
0.47 0.431 9.571 10
0.274 0.509 10.042 11
0.0 0.47 10.355 9
-0.156 0.588 10.473 10
-0.274 0.706 10.512 10
-0.353 0.823 10.473 10
-0.196 0.706 10.512 10
-0.392 0.862 10.316 10
-0.353 0.941 10.002 10
-0.156 1.098 9.688 11
-0.156 1.176 9.532 9
0.039 1.49 9.453 10
-0.117 1.882 9.61 10
-0.196 2.079 9.688 10
-0.235 2.196 9.806 10
-0.392 2.314 9.963 10
-0.509 2.392 10.042 10
-0.353 1.882 9.924 35
-0.353 1.647 9.885 5
-0.392 1.608 9.885 10
-0.353 1.686 9.688 17
-0.196 1.686 9.61 3
-0.156 1.882 9.375 10
-0.078 1.804 9.296 18
-0.235 1.882 9.139 3
-0.156 2.118 8.943 9
-0.117 2.314 8.943 10
0.0 2.588 8.865 10
-0.117 2.706 9.022 10
0.0 2.863 9.179 10
-0.156 3.138 9.649 10
-0.313 3.295 9.806 10
-0.392 3.295 10.12 10
-0.47 3.295 10.355 11
-0.47 3.334 10.473 9
-0.313 3.255 10.512 10
-0.156 3.138 10.551 10
-0.274 3.098 10.551 10
-0.313 2.824 10.591 10
-0.431 2.745 10.551 10
-0.47 2.667 10.708 10
-0.392 2.706 10.826 10
-0.235 2.628 10.865 10
-0.235 2.667 10.983 10
-0.196 2.471 11.022 11
-0.47 2.275 11.297 9
-0.666 2.235 11.414 10
-0.706 2.196 11.65 10
-0.588 2.118 11.728 10
-0.274 2.079 12.042 10
-0.353 2.079 12.16 11
-0.353 1.804 12.16 9
-0.47 1.412 12.199 10
-0.784 1.216 12.081 10
-0.784 1.098 11.846 10
-0.627 1.137 11.689 10
-0.392 1.098 10.983 10
-0.196 1.098 10.395 10
0.0 1.098 9.924 12
0.0 1.098 9.414 8
0.431 1.137 9.414 10
0.588 1.059 9.335 10
0.706 1.294 9.218 10
0.745 1.372 9.179 10
0.784 1.529 9.296 10
0.706 1.804 9.375 10
0.392 1.843 9.649 10
0.039 1.686 10.12 10
-0.078 1.608 10.238 10
-0.196 1.451 10.591 10
-0.039 1.529 10.63 10
0.117 1.686 10.944 10
0.196 1.608 10.904 10
0.156 1.647 10.669 10
0.235 1.451 10.277 10
0.313 1.372 9.885 10
0.47 1.372 9.532 10
0.706 1.49 9.218 10
0.902 1.647 8.904 10
0.902 1.725 8.747 10
0.902 1.804 8.355 10
1.019 2.0 8.198 10
1.216 2.118 8.08 10
1.372 2.275 8.237 10
1.412 2.392 8.316 10
1.529 2.471 8.394 10
1.49 2.549 8.551 10
1.49 2.628 8.669 10
1.333 2.549 8.708 10
1.294 2.628 8.904 10
1.412 2.785 9.022 10
1.451 2.902 9.061 10
1.412 3.02 9.335 10
1.294 3.138 9.414 10
1.216 3.295 9.296 10
1.372 3.451 9.375 10
1.686 3.53 9.453 10
1.922 3.648 9.492 10
2.039 3.608 9.532 10
2.118 3.53 9.806 10
2.314 3.412 10.159 10
2.196 3.451 10.434 10
2.196 3.177 10.826 10
2.118 3.177 11.14 10
1.922 3.138 11.454 10
1.686 3.059 11.571 16
1.569 2.785 11.65 4
1.412 2.628 11.532 11
1.372 2.432 11.571 10
1.137 2.157 11.414 9
1.059 1.961 11.336 10
0.823 1.765 11.65 10
0.784 1.686 11.728 10
0.588 1.49 11.728 10
0.823 1.333 11.767 10
0.902 1.333 12.121 10
0.706 1.059 12.552 10
0.666 1.019 12.63 10
0.392 1.059 12.748 10
-0.039 0.98 12.434 10
-0.274 0.823 12.081 10
-0.392 0.666 11.767 10
-0.549 0.627 11.336 10
-0.627 0.706 10.944 10
-0.431 0.823 10.591 10
-0.274 0.784 10.395 10
0.0 0.941 10.002 10
0.196 1.294 10.002 10
0.353 1.647 9.767 10
0.392 1.843 9.806 10
0.392 2.0 9.767 10
0.313 2.157 9.649 10
0.156 2.235 9.649 10
0.235 2.196 9.532 10
0.313 2.275 9.61 10
0.117 2.392 9.688 10
-0.117 2.392 9.571 10
-0.353 2.392 9.139 10
-0.156 2.549 9.1 10
0.0 2.745 8.786 10
0.039 2.745 8.708 10
0.117 2.628 8.276 10
0.313 2.745 8.002 10
0.47 2.588 7.845 10
0.588 2.628 7.766 10
0.392 2.706 7.609 10
0.509 2.863 7.766 10
0.549 2.981 7.963 10
0.313 2.941 8.08 10
0.078 2.941 8.316 10
0.078 2.981 8.551 10
0.235 3.02 8.708 10
0.078 2.941 8.786 10
0.078 2.824 8.825 10
-0.039 2.745 8.943 10
-0.039 2.628 9.061 10
-0.117 2.667 9.179 10
-0.392 2.745 9.179 10
-0.509 2.902 9.296 10
-0.392 3.138 9.1 10
-0.431 3.334 9.061 10
-0.156 3.373 9.218 10
0.0 3.491 8.865 10
-0.117 3.491 9.061 10
-0.274 3.255 9.139 10
-0.235 2.902 9.139 10
-0.274 2.824 9.139 10
-0.235 3.02 9.218 10
-0.196 3.138 9.492 10
-0.353 3.491 9.61 10
-0.47 3.569 10.198 10
-0.627 3.922 10.277 10
-0.745 4.04 10.238 10
-0.784 4.001 10.277 10
-0.98 4.079 10.551 10
-1.137 4.04 10.591 10
-1.216 3.804 10.748 10
-1.176 3.804 10.708 10
-1.176 3.648 10.669 10
-1.137 3.491 10.748 10
-1.059 3.569 10.591 10
-0.823 3.687 10.473 13
-0.47 3.608 10.591 17
-0.549 3.491 10.708 10
-0.47 3.216 10.63 10
-0.392 3.255 10.512 10
-0.235 3.138 10.591 11
-0.196 2.941 10.787 9
-0.47 2.667 10.983 10
-0.784 2.353 11.454 10
-0.941 2.157 11.767 10
-1.019 2.157 11.964 10
-1.333 2.314 11.885 10
-1.412 2.235 11.807 10
-1.451 2.196 11.375 10
-1.333 2.0 10.748 10
-0.784 2.196 10.277 13
-0.353 2.039 9.728 7
-0.039 2.039 9.492 10
0.353 2.118 9.375 10
0.666 2.039 9.139 12
0.98 2.039 9.296 9
0.784 1.843 9.649 19
0.627 1.608 9.924 13
0.353 1.412 10.277 7
-0.039 1.412 11.297 14
-0.313 1.372 11.218 6
-0.666 1.529 11.611 10
-0.745 1.686 11.611 11
-0.627 1.804 11.689 9
-0.47 1.804 11.454 10
-0.353 1.725 11.179 11
-0.196 1.608 10.787 9
-0.156 1.412 10.434 10
-0.117 1.294 10.081 11
-0.235 1.216 9.61 9
-0.156 1.098 9.179 11
-0.156 1.176 8.747 9
-0.117 1.255 8.433 10
-0.156 1.569 8.433 10
-0.235 2.079 8.472 10
-0.353 2.392 8.59 10
-0.509 2.628 8.708 10
-0.588 2.706 8.943 10
-0.627 2.745 9.061 10
-0.627 2.785 9.139 10
-0.666 2.628 9.139 10
-0.784 2.51 9.179 10
-0.706 2.432 9.296 10
-0.745 2.432 9.296 10
-0.588 2.51 9.139 10
-0.627 2.471 9.1 10
-0.588 2.628 8.943 10
-0.549 2.667 8.865 10
-0.588 2.785 8.865 11
-0.745 2.981 8.825 10
-0.666 3.255 8.59 9
-0.745 3.53 8.747 11
-0.588 3.765 9.061 9
-0.588 4.118 9.179 10
-0.47 4.432 9.296 10
-0.431 4.589 9.806 10
-0.313 4.628 10.002 10
-0.196 4.628 10.355 10
-0.117 4.275 10.434 10
0.0 4.001 10.551 10
0.039 3.726 10.473 10
0.078 3.726 10.669 11
0.353 3.648 10.473 9
0.627 3.726 10.512 11
0.98 3.883 10.63 9
1.216 4.118 10.669 10
1.412 4.04 10.865 10
1.294 3.922 11.218 10
1.098 3.451 11.767 10
0.666 2.941 12.552 10
0.313 2.235 13.219 10
0.039 1.647 13.846 10
-0.156 1.255 14.003 10
-0.235 1.019 14.003 10
-0.313 0.823 13.297 10
-0.549 0.588 12.827 11
-0.627 0.078 12.121 9
-0.549 -0.274 11.414 10
-0.392 0.0 10.944 10
-0.196 0.313 10.669 10
0.039 0.274 10.434 10
0.196 0.627 10.551 10
0.235 1.176 10.748 10
0.353 1.804 10.748 10
0.353 1.804 10.551 10
0.039 1.882 10.669 10
-0.039 1.922 10.355 10
0.0 1.608 9.767 10
0.353 1.294 9.453 10
0.431 1.059 8.825 10
0.431 0.862 8.276 10
0.431 0.549 8.276 10
0.509 0.313 8.08 10
0.745 0.313 7.963 11
0.941 0.666 8.08 9
1.137 0.98 8.316 10
0.941 1.294 8.394 10
0.666 1.333 8.551 10
0.588 1.569 8.708 11
0.392 1.804 8.865 9
0.274 1.922 8.904 10
0.313 2.039 9.061 10
0.117 2.118 8.943 10
0.078 2.039 8.943 10
-0.039 2.0 9.022 10
0.039 1.922 8.865 10
0.078 1.922 8.982 10
0.039 1.882 8.943 10
0.156 2.0 8.865 11
0.078 2.196 8.943 9
0.039 2.314 9.061 10
0.039 2.471 9.257 10
0.078 2.588 9.453 10
0.117 2.667 9.61 10
-0.039 2.745 9.845 10
-0.117 2.588 10.042 10
-0.235 2.588 10.277 10
-0.313 2.667 10.355 10
-0.313 2.785 10.473 10
-0.353 2.941 10.512 10
-0.47 3.216 10.473 10
-0.509 3.491 10.355 10
-0.509 3.608 10.198 11
-0.509 3.883 10.277 9
-0.549 4.04 10.316 10
-0.666 4.118 10.63 11
-0.666 4.118 10.708 10
-0.784 4.079 10.787 9
-0.745 4.079 10.904 10
-0.666 3.922 10.748 10
-0.627 3.883 10.826 10
-0.588 3.648 10.787 10
-0.666 3.491 10.591 10
-0.666 3.334 10.591 10
-0.627 3.255 10.473 10
-0.627 3.216 10.395 10
-0.588 2.981 10.355 10
-0.627 2.981 10.395 10
-0.666 2.941 10.63 20
-0.823 2.824 10.708 10
-1.176 2.588 10.865 10
-1.569 2.196 11.14 10
-1.882 1.686 11.297 10
-2.118 1.529 11.689 10
-2.157 1.451 11.846 10
-2.275 1.255 11.689 10
-2.235 1.216 11.414 10
-2.157 0.902 11.14 11
-2.0 0.941 10.708 9
-1.647 0.902 10.395 10
-1.216 0.98 10.277 10
-0.941 1.137 10.159 10
-0.823 1.294 9.963 10
-0.862 1.451 9.728 10
-0.902 1.608 9.728 10
-0.902 1.804 9.688 10
-0.941 1.922 9.61 10
-0.98 2.079 9.61 10
-0.902 2.039 9.492 10
-0.98 2.039 9.453 10
-0.823 2.118 9.335 10
-0.666 2.118 9.296 10
-0.588 2.235 9.218 10
-0.509 2.235 9.139 10
-0.431 2.196 9.022 10
-0.392 2.235 8.904 10
-0.47 2.275 8.786 10
-0.431 2.392 8.669 10
-0.509 2.392 8.786 10
-0.509 2.392 8.825 10
-0.47 2.432 8.825 10
-0.431 2.353 9.022 10
-0.431 2.314 9.179 10
-0.431 2.353 9.296 10
-0.353 2.353 9.375 10
-0.353 2.275 9.453 10
-0.392 2.314 9.532 10
-0.313 2.353 9.453 10
-0.156 2.432 9.414 10
-0.078 2.471 9.414 10
-0.117 2.549 9.296 10
0.0 2.588 9.296 10
0.078 2.745 9.139 10
0.235 2.863 9.061 10
0.509 3.02 8.943 10
0.47 3.059 8.59 10
0.627 3.177 8.629 10
0.549 3.216 8.786 10
0.549 3.491 8.747 10
0.549 3.608 8.747 10
0.353 4.001 9.453 10
0.431 4.118 9.845 10
0.313 4.354 9.963 10
0.196 4.275 10.198 10
0.196 4.314 10.434 10
0.235 4.079 10.473 10
0.274 3.883 10.708 10
0.313 3.687 10.708 11
0.274 3.295 10.748 9
0.235 3.255 10.748 10
0.509 3.255 10.748 10
0.627 3.334 10.669 10
0.862 3.53 10.63 16
1.059 3.608 10.669 14
1.059 3.804 10.63 10
1.137 3.844 10.669 10
0.862 3.726 10.787 10
0.902 3.648 10.708 10
0.902 3.373 10.904 10
0.627 2.941 10.983 10
0.313 2.432 11.297 10
0.039 1.765 11.846 14
0.039 1.608 11.924 16
0.039 1.451 11.807 10
0.078 1.294 11.375 10
0.509 1.255 11.101 10
0.627 1.255 10.865 10
0.784 1.216 10.63 10
0.862 1.216 10.551 10
0.706 1.412 10.473 10
0.627 1.49 10.316 11
0.588 1.569 10.12 13
0.549 1.529 10.002 6
0.47 1.529 9.806 10
0.353 1.372 9.688 10
0.313 1.372 9.453 10
0.313 1.333 9.532 10
0.156 1.372 9.375 10
0.235 1.608 9.414 10
0.353 1.725 9.453 10
0.392 1.922 9.61 12
0.274 2.079 9.532 8
0.235 2.039 9.492 10
0.117 2.196 9.414 10
0.117 2.196 9.179 10
0.156 2.275 9.1 10
0.353 2.314 9.022 10
0.235 2.471 8.904 20
0.235 2.392 8.825 10
