# Accelerometer Data File
# Started @Sun Mar 26 22:18:41 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: ICM20610 Acceleration Sensor
# sensor Resolution: 0.0011971008m/sec^2; Max Range: 39.2266; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.266 5.386 5.543 0
0.266 5.386 5.543 3
0.266 5.386 5.543 1
0.515 5.717 5.783 5
0.515 5.717 5.783 5
0.793 5.837 6.975 5
0.793 5.837 6.975 4
0.793 5.837 6.975 1
0.554 6.464 7.688 5
0.554 6.464 7.688 5
-3.238 7.292 9.197 5
-3.238 7.292 9.197 4
-3.238 7.292 9.197 1
-4.396 8.599 6.841 5
-4.396 8.599 6.841 5
-2.256 7.762 6.032 5
-2.256 7.762 6.032 4
-2.256 7.762 6.032 1
0.113 6.253 5.922 5
0.113 6.253 5.922 5
0.817 6.373 6.362 5
0.817 6.373 6.362 4
0.817 6.373 6.362 1
1.215 7.173 7.114 5
1.215 7.173 7.114 5
1.234 7.378 7.085 5
1.234 7.378 7.085 4
1.234 7.378 7.085 2
1.143 7.273 7.08 4
1.143 7.273 7.08 5
0.98 7.048 6.597 5
0.98 7.048 6.597 4
0.98 7.048 6.597 1
1.569 6.856 6.238 5
2.139 6.995 6.52 5
2.139 6.995 6.52 5
2.139 6.995 6.52 4
1.646 6.9 6.745 2
1.646 6.9 6.745 4
0.913 6.809 6.989 5
0.913 6.809 6.989 5
0.913 6.809 6.989 4
0.554 7.048 7.411 2
0.554 7.048 7.411 5
0.875 7.196 7.013 5
0.875 7.196 7.013 5
0.875 7.196 7.013 3
1.492 7.374 7.056 2
1.492 7.374 7.056 5
1.837 7.173 6.659 5
1.837 7.173 6.659 5
1.837 7.173 6.659 3
1.21 6.751 6.42 2
1.21 6.751 6.42 5
0.721 6.095 8.057 5
0.721 6.095 8.057 5
0.721 6.095 8.057 3
1.21 6.291 9.733 2
1.21 6.291 9.733 5
1.732 6.263 7.674 5
1.732 6.263 7.674 5
1.732 6.263 7.674 3
1.392 6.105 8.196 2
1.392 6.105 8.196 5
1.061 6.143 8.56 5
1.061 6.143 8.56 5
1.061 6.143 8.56 3
1.703 6.493 7.947 2
2.172 6.56 7.918 5
2.172 6.56 7.918 5
1.387 6.282 8.68 5
1.387 6.282 8.68 4
0.64 6.205 8.464 6
0.64 6.205 8.464 5
-1.6 6.148 8.344 5
-1.6 6.148 8.344 3
-1.6 6.148 8.344 2
-1.001 6.651 8.359 5
-1.001 6.651 8.359 5
-0.374 5.482 9.082 5
-0.374 5.482 9.082 3
-0.374 5.482 9.082 2
-0.666 5.166 7.88 5
-0.666 5.166 7.88 5
-0.987 5.348 8.076 5
-0.987 5.348 8.076 4
-0.987 5.348 8.076 1
-0.647 5.477 8.325 5
-0.647 5.477 8.325 5
-0.954 5.501 9.039 5
-0.954 5.501 9.039 3
-0.954 5.501 9.039 2
-1.131 6.071 10.183 5
-1.131 6.071 10.183 5
-0.187 6.311 8.713 5
-0.187 6.311 8.713 3
-0.187 6.311 8.713 2
2.009 6.363 5.495 5
2.009 6.363 5.495 5
2.397 7.661 6.333 5
2.397 7.661 6.333 4
1.569 8.408 7.372 1
1.569 8.408 7.372 5
1.1 8.054 7.468 5
1.1 8.054 7.468 5
1.1 8.054 7.468 3
0.956 7.053 8.79 2
0.956 7.053 8.79 5
3.154 6.047 5.27 5
3.154 6.047 5.27 5
3.154 6.047 5.27 3
0.63 5.908 7.813 2
0.63 5.908 7.813 5
-0.058 6.052 9.695 5
-0.058 6.052 9.695 5
-0.058 6.052 9.695 4
0.721 6.349 9.724 1
0.721 6.349 9.724 5
1.2 6.742 10.954 5
1.2 6.742 10.954 5
1.2 6.742 10.954 3
0.745 6.224 9.498 2
0.745 6.224 9.498 5
1.669 5.884 6.07 5
1.669 5.884 6.07 5
1.669 5.884 6.07 4
1.329 5.746 6.525 1
1.329 5.746 6.525 5
0.525 5.98 7.665 5
0.525 5.98 7.665 5
0.525 5.98 7.665 3
0.606 5.995 7.143 2
0.606 5.995 7.143 5
1.167 6.129 7.641 5
1.416 6.172 8.967 5
1.416 6.172 8.967 3
1.416 6.172 8.967 2
1.143 5.817 7.463 5
1.143 5.817 7.463 5
0.966 6.186 7.717 5
