# Accelerometer Data File
# Started @Tue Apr 11 08:34:44 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: ICM20610 Acceleration Sensor
# sensor Resolution: 0.0011971008m/sec^2; Max Range: 39.2266; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.298 1.244 9.791 0
-0.317 1.321 9.771 1
-0.317 1.321 9.771 5
-0.441 1.369 9.546 5
-0.441 1.369 9.546 5
-0.441 1.369 9.546 4
-0.47 1.374 9.518 1
-0.47 1.374 9.518 5
-0.547 1.326 9.556 5
-0.618 1.331 9.637 5
-0.618 1.331 9.637 4
-0.618 1.331 9.637 1
-0.58 1.316 9.671 5
-0.58 1.316 9.671 5
-0.547 1.302 9.858 5
-0.547 1.302 9.858 4
-0.547 1.302 9.858 1
-0.47 1.283 10.04 5
-0.47 1.283 10.04 5
-0.417 1.254 10.083 5
-0.417 1.254 10.083 4
-0.417 1.254 10.083 1
-0.465 1.268 10.087 5
-0.465 1.268 10.087 5
-0.513 1.312 10.001 5
-0.513 1.312 10.001 4
-0.513 1.312 10.001 1
-0.523 1.364 9.853 5
-0.523 1.364 9.853 5
-0.561 1.412 9.791 5
-0.561 1.412 9.791 4
-0.561 1.412 9.791 1
-0.594 1.455 9.781 5
-0.594 1.455 9.781 5
-0.585 1.46 9.858 5
-0.585 1.46 9.858 4
-0.585 1.46 9.858 1
-0.594 1.398 9.92 5
-0.594 1.398 9.92 5
-0.647 1.374 10.03 5
-0.647 1.374 10.03 4
-0.647 1.374 10.03 1
-0.609 1.359 10.15 5
-0.609 1.359 10.15 5
-0.58 1.331 10.145 5
-0.58 1.331 10.145 4
-0.58 1.331 10.145 1
-0.614 1.35 10.274 5
-0.609 1.369 10.155 5
-0.609 1.369 10.155 5
-0.609 1.369 10.155 4
-0.571 1.383 9.925 1
-0.571 1.383 9.925 5
-0.537 1.364 9.728 5
-0.537 1.364 9.728 5
-0.537 1.364 9.728 4
-0.475 1.34 9.767 1
-0.475 1.34 9.767 5
-0.422 1.35 9.858 5
-0.422 1.35 9.858 5
-0.422 1.35 9.858 4
-0.489 1.355 9.858 1
-0.489 1.355 9.858 5
-0.666 1.364 9.953 6
-0.666 1.364 9.953 5
-0.666 1.364 9.953 3
-0.714 1.393 9.824 1
-0.714 1.393 9.824 5
-0.772 1.388 9.704 5
-0.772 1.388 9.704 5
-0.772 1.388 9.704 4
-0.887 1.537 9.767 1
-0.887 1.537 9.767 5
-0.714 1.417 9.685 5
-0.714 1.417 9.685 5
-0.714 1.417 9.685 4
-0.858 1.79 9.733 1
-0.858 1.79 9.733 5
-0.633 1.613 9.546 6
-0.633 1.613 9.546 5
-0.633 1.613 9.546 3
-1.107 2.044 9.542 1
-1.112 1.929 9.561 5
-1.112 1.929 9.561 5
-0.738 1.733 9.412 5
-0.738 1.733 9.412 4
-0.738 1.733 9.412 1
-0.566 1.628 9.546 5
-0.566 1.628 9.546 5
-0.465 1.771 9.57 5
-0.465 1.771 9.57 4
-0.465 1.771 9.57 1
-0.369 1.618 9.714 5
-0.369 1.618 9.714 6
-0.197 1.69 9.594 5
-0.197 1.69 9.594 3
-0.197 1.69 9.594 1
-0.298 1.288 9.704 6
-0.298 1.288 9.704 5
0.142 1.398 9.68 5
0.142 1.398 9.68 3
0.142 1.398 9.68 1
-0.039 1.192 10.226 6
-0.039 1.192 10.226 5
-0.058 1.12 10.36 5
-0.058 1.12 10.36 3
-0.058 1.12 10.36 2
0.017 1.173 10.624 5
0.017 1.173 10.624 5
0.056 1.048 10.59 5
0.056 1.048 10.59 3
0.056 1.048 10.59 2
0.061 1.326 10.499 5
0.061 1.326 10.499 5
-0.077 1.561 10.38 5
-0.077 1.561 10.38 3
-0.077 1.561 10.38 2
-0.211 1.455 9.834 5
0.061 1.651 8.9 5
0.061 1.651 8.9 5
0.061 1.651 8.9 3
0.089 1.623 8.555 2
0.089 1.623 8.555 5
-0.288 1.393 8.804 5
-0.288 1.393 8.804 5
-0.288 1.393 8.804 3
-0.436 1.45 9.297 2
-0.436 1.45 9.297 5
-0.116 1.537 9.441 5
-0.116 1.537 9.441 5
-0.116 1.537 9.441 3
-0.111 1.642 9.604 2
-0.111 1.642 9.604 5
0.027 1.814 9.757 5
0.027 1.814 9.757 5
0.027 1.814 9.757 3
-0.489 1.355 10.236 2
-0.489 1.355 10.236 5
-0.609 1.374 10.202 5
-0.609 1.374 10.202 5
-0.609 1.374 10.202 3
-0.666 1.508 10.212 2
-0.666 1.508 10.212 5
-0.594 1.436 10.121 5
-0.594 1.436 10.121 5
-0.594 1.436 10.121 3
-0.192 1.23 9.944 2
-0.192 1.23 9.944 5
0.041 1.173 9.733 5
0.041 1.173 9.733 5
0.041 1.173 9.733 3
0.252 1.292 9.652 2
0.243 1.206 9.714 5
0.243 1.206 9.714 5
0.171 1.11 9.848 5
0.171 1.11 9.848 3
0.171 1.11 9.848 2
-0.116 1.043 10.202 5
-0.116 1.043 10.202 5
-0.695 1.139 10.217 5
-0.695 1.139 10.217 4
-0.695 1.139 10.217 1
-0.982 1.168 10.064 5
-0.982 1.168 10.064 5
-0.709 1.043 10.116 5
-0.709 1.043 10.116 3
-0.709 1.043 10.116 2
-0.393 1.0 10.557 5
-0.393 1.0 10.557 5
-0.106 0.986 10.878 5
-0.106 0.986 10.878 3
-0.106 0.986 10.878 2
-0.034 0.938 10.959 5
-0.034 0.938 10.959 5
0.195 0.938 10.882 5
0.195 0.938 10.882 3
0.195 0.938 10.882 2
-0.187 1.168 10.59 5
-0.187 1.168 10.59 5
-0.221 1.431 9.944 5
-0.221 1.431 9.944 3
-0.221 1.431 9.944 2
-0.254 1.513 9.891 5
-0.254 1.513 9.891 5
-0.211 1.57 9.944 5
-0.211 1.57 9.944 3
-0.211 1.57 9.944 2
-0.063 1.608 9.776 5
-0.403 1.896 9.791 5
-0.403 1.896 9.791 5
-0.403 1.896 9.791 4
-0.274 1.278 9.934 1
-0.274 1.278 9.934 5
-0.044 1.326 10.164 5
-0.044 1.326 10.164 5
-0.044 1.326 10.164 3
-0.25 1.589 10.528 2
-0.25 1.589 10.528 5
-0.135 1.719 10.322 5
-0.135 1.719 10.322 5
-0.135 1.719 10.322 3
-0.087 1.738 9.8 2
-0.087 1.738 9.8 5
0.022 1.704 9.484 5
0.022 1.704 9.484 5
0.022 1.704 9.484 4
0.118 1.924 9.044 1
0.118 1.924 9.044 5
0.113 2.111 9.029 5
0.113 2.111 9.029 5
0.113 2.111 9.029 3
0.075 2.183 9.034 2
0.075 2.183 9.034 5
0.056 1.982 9.096 5
0.056 1.982 9.096 5
0.056 1.982 9.096 3
0.132 1.838 9.288 2
0.132 1.838 9.288 5
0.362 1.929 9.537 5
0.362 1.929 9.537 5
0.362 1.929 9.537 3
0.377 1.786 9.513 2
0.377 1.786 9.513 5
0.142 1.517 9.781 5
-0.001 1.493 10.351 5
-0.001 1.493 10.351 3
-0.001 1.493 10.351 2
-0.197 1.455 11.203 5
-0.197 1.455 11.203 5
-0.216 1.513 11.428 5
-0.216 1.513 11.428 3
-0.216 1.513 11.428 2
-0.254 1.508 11.093 5
-0.254 1.508 11.093 5
-0.25 1.441 10.758 5
-0.25 1.441 10.758 4
-0.25 1.441 10.758 1
-0.216 1.379 10.083 5
-0.216 1.379 10.083 5
-0.283 1.297 9.566 5
-0.283 1.297 9.566 3
-0.283 1.297 9.566 2
-0.211 1.302 9.221 5
-0.211 1.302 9.221 5
-0.144 1.259 8.996 5
-0.144 1.259 8.996 4
-0.144 1.259 8.996 1
-0.154 1.225 8.895 5
-0.154 1.225 8.895 6
-0.317 1.187 9.235 5
-0.317 1.187 9.235 3
-0.317 1.187 9.235 1
-0.298 1.244 9.7 5
-0.298 1.244 9.7 5
-0.197 1.388 10.03 5
-0.197 1.388 10.03 3
-0.197 1.388 10.03 2
-0.446 1.259 9.973 5
-0.523 1.249 9.901 5
-0.523 1.249 9.901 5
-0.523 1.249 9.901 4
-0.379 1.235 9.738 1
-0.379 1.235 9.738 5
-0.288 1.134 9.671 5
-0.288 1.134 9.671 5
-0.288 1.134 9.671 4
-0.226 1.134 9.345 1
-0.226 1.134 9.345 5
-0.365 1.115 9.154 5
-0.365 1.115 9.154 5
-0.365 1.115 9.154 4
-0.465 1.23 9.139 1
-0.465 1.23 9.139 5
-0.561 1.335 9.283 5
-0.561 1.335 9.283 5
-0.561 1.335 9.283 4
-0.685 1.379 9.556 1
-0.685 1.379 9.556 5
-0.666 1.326 9.915 5
-0.666 1.326 9.915 5
-0.666 1.326 9.915 4
-0.422 1.321 10.073 1
-0.422 1.321 10.073 5
-0.192 1.297 10.064 5
-0.192 1.297 10.064 5
-0.192 1.297 10.064 4
-0.049 1.388 10.121 1
-0.049 1.388 10.121 5
0.051 1.426 10.016 5
0.051 1.426 10.016 5
0.051 1.426 10.016 4
0.027 1.379 9.786 1
0.027 1.379 9.786 5
0.051 1.383 9.709 5
0.013 1.455 9.575 5
0.013 1.455 9.575 4
0.013 1.455 9.575 1
-0.116 1.422 9.475 5
-0.116 1.422 9.475 5
-0.226 1.489 9.364 5
-0.226 1.489 9.364 4
-0.226 1.489 9.364 1
-0.24 1.57 9.479 5
-0.24 1.57 9.479 5
