# Accelerometer Data File
# Started @Tue Apr 11 19:30:41 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: ICM20610 Acceleration Sensor
# sensor Resolution: 0.0011971008m/sec^2; Max Range: 39.2266; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.156 -0.033 9.585 0
0.113 -0.114 9.795 6
0.142 -0.119 9.771 5
0.142 -0.119 9.771 5
0.142 -0.119 9.771 3
0.233 -0.177 9.819 2
0.233 -0.177 9.819 5
0.276 -0.11 9.81 5
0.276 -0.11 9.81 5
0.276 -0.11 9.81 3
0.333 -0.1 9.958 2
0.333 -0.1 9.958 5
0.29 -0.138 9.939 5
0.29 -0.138 9.939 5
0.29 -0.138 9.939 3
0.348 -0.181 10.006 2
0.348 -0.181 10.006 5
0.113 -0.301 9.503 5
0.113 -0.301 9.503 5
0.113 -0.301 9.503 3
0.381 -0.071 10.035 2
0.381 -0.071 10.035 5
0.281 -0.143 9.685 5
0.281 -0.143 9.685 5
0.281 -0.143 9.685 3
0.348 -0.258 10.188 2
0.348 -0.258 10.188 5
0.209 -0.277 10.255 5
0.209 -0.277 10.255 5
0.209 -0.277 10.255 3
0.448 -0.272 10.38 2
0.448 -0.272 10.38 5
0.238 -0.387 10.38 5
0.238 -0.387 10.38 5
0.238 -0.387 10.38 3
0.065 -0.263 10.15 2
0.065 -0.263 10.15 5
0.094 -0.277 9.872 5
0.108 -0.201 9.886 5
0.108 -0.201 9.886 3
0.108 -0.201 9.886 2
0.199 -0.258 9.886 5
0.199 -0.258 9.886 5
0.166 -0.272 10.121 5
0.166 -0.272 10.121 3
0.166 -0.272 10.121 2
0.147 -0.272 10.035 5
0.147 -0.272 10.035 5
0.156 -0.311 10.044 5
0.156 -0.311 10.044 3
0.156 -0.311 10.044 2
0.233 -0.33 9.963 5
0.233 -0.33 9.963 5
0.31 -0.22 9.987 5
0.31 -0.22 9.987 4
0.31 -0.22 9.987 1
0.343 -0.277 10.078 5
0.343 -0.277 10.078 5
0.252 -0.311 10.298 5
0.252 -0.311 10.298 3
0.252 -0.311 10.298 2
0.175 -0.383 10.404 5
0.175 -0.383 10.404 5
0.132 -0.349 10.121 5
0.132 -0.349 10.121 3
0.132 -0.349 10.121 2
0.214 -0.311 9.973 5
0.214 -0.311 9.973 5
0.266 -0.234 9.891 5
0.266 -0.234 9.891 4
0.266 -0.234 9.891 1
0.463 -0.105 9.513 5
0.463 -0.105 9.513 5
0.492 -0.038 9.451 5
0.492 -0.038 9.451 3
0.492 -0.038 9.451 2
0.415 -0.071 9.566 5
0.362 -0.114 9.8 5
0.362 -0.114 9.8 5
0.362 -0.114 9.8 3
0.089 -0.277 9.882 2
0.089 -0.277 9.882 5
0.051 -0.263 9.843 5
0.051 -0.263 9.843 5
0.051 -0.263 9.843 3
0.061 -0.248 9.786 2
0.061 -0.248 9.786 5
0.061 -0.186 9.733 5
0.061 -0.186 9.733 5
0.061 -0.186 9.733 3
0.152 -0.253 9.858 2
0.152 -0.253 9.858 5
0.348 -0.191 9.805 5
0.348 -0.191 9.805 5
0.348 -0.191 9.805 3
0.372 -0.177 9.838 2
0.372 -0.177 9.838 5
0.333 -0.239 9.795 5
0.333 -0.239 9.795 5
0.333 -0.239 9.795 4
0.204 -0.225 9.69 1
0.204 -0.225 9.69 5
0.204 -0.201 9.709 5
0.204 -0.201 9.709 5
0.204 -0.201 9.709 3
0.257 -0.196 9.685 2
0.257 -0.196 9.685 5
0.271 -0.177 9.786 5
0.271 -0.177 9.786 5
0.271 -0.177 9.786 3
0.295 -0.22 10.006 2
0.295 -0.22 10.006 5
0.276 -0.32 10.155 5
0.185 -0.335 10.131 5
0.185 -0.335 10.131 4
0.185 -0.335 10.131 1
0.238 -0.325 10.016 5
0.238 -0.325 10.016 5
0.3 -0.244 9.91 5
0.3 -0.244 9.91 3
0.3 -0.244 9.91 2
0.41 -0.148 9.929 5
0.41 -0.148 9.929 5
0.42 -0.114 9.8 5
0.42 -0.114 9.8 3
0.42 -0.114 9.8 2
0.424 -0.062 9.757 5
0.424 -0.062 9.757 5
0.415 -0.033 9.685 5
0.415 -0.033 9.685 4
0.415 -0.033 9.685 1
0.415 -0.071 9.805 5
0.415 -0.071 9.805 5
0.405 -0.071 9.891 5
0.405 -0.071 9.891 4
0.405 -0.071 9.891 1
0.286 -0.244 10.049 5
0.286 -0.244 10.049 5
0.171 -0.287 10.126 5
0.171 -0.287 10.126 3
0.171 -0.287 10.126 2
0.238 -0.301 10.078 5
0.238 -0.301 10.078 5
0.243 -0.239 9.963 5
0.243 -0.239 9.963 4
0.243 -0.239 9.963 1
0.353 -0.153 9.949 5
0.353 -0.153 9.949 5
0.386 -0.081 9.791 5
0.386 -0.081 9.791 4
0.386 -0.081 9.791 1
0.353 -0.076 9.671 5
0.353 -0.076 9.671 5
0.209 -0.124 9.685 5
0.209 -0.124 9.685 4
0.214 -0.119 9.637 1
0.214 -0.119 9.637 5
0.175 -0.177 9.709 5
0.175 -0.177 9.709 5
0.175 -0.177 9.709 4
0.243 -0.167 9.738 1
0.243 -0.167 9.738 5
0.286 -0.205 9.786 5
0.286 -0.205 9.786 5
0.286 -0.205 9.786 4
0.247 -0.248 9.944 1
0.247 -0.248 9.944 5
0.243 -0.287 9.963 5
0.243 -0.287 9.963 5
0.243 -0.287 9.963 4
0.219 -0.392 10.054 1
