# Accelerometer Data File
# Started @Tue Apr 11 08:35:17 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: ICM20610 Acceleration Sensor
# sensor Resolution: 0.0011971008m/sec^2; Max Range: 39.2266; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.252 9.481 1.392 0
0.252 9.481 1.392 3
0.171 9.629 1.248 5
0.171 9.629 1.248 5
0.171 9.629 1.248 4
0.056 9.572 1.253 1
0.056 9.572 1.253 5
-0.116 9.572 0.774 5
-0.116 9.572 0.774 5
-0.116 9.572 0.774 4
-0.073 9.873 0.209 1
-0.073 9.873 0.209 5
-0.077 10.141 -0.144 5
-0.077 10.141 -0.144 5
-0.077 10.141 -0.144 4
-0.211 10.137 -0.302 1
-0.211 10.137 -0.302 5
-0.322 9.974 -0.149 5
-0.322 9.974 -0.149 5
-0.322 9.974 -0.149 4
-0.288 10.137 -0.044 1
-0.288 10.137 -0.044 5
-0.207 9.84 0.286 5
-0.207 9.84 0.286 5
-0.207 9.84 0.286 4
-0.183 9.744 0.75 1
-0.164 9.71 1.042 5
-0.164 9.71 1.042 5
-0.374 9.447 1.238 5
-0.374 9.447 1.238 4
-0.374 9.447 1.238 1
-0.283 9.327 1.813 5
-0.283 9.327 1.813 5
-0.111 9.279 1.918 5
-0.111 9.279 1.918 4
-0.111 9.279 1.918 1
0.156 9.49 1.693 5
0.156 9.49 1.693 5
0.032 9.528 1.646 5
0.032 9.528 1.646 4
0.032 9.528 1.646 1
-0.154 9.567 1.344 5
-0.154 9.567 1.344 5
-0.24 9.744 0.659 5
-0.24 9.744 0.659 4
-0.24 9.744 0.659 1
-0.422 9.921 0.295 5
-0.422 9.921 0.295 5
-0.604 9.926 0.113 5
-0.604 9.926 0.113 4
-0.604 9.926 0.113 1
-0.709 9.777 0.147 5
-0.709 9.777 0.147 5
-0.638 9.691 0.482 5
-0.638 9.691 0.482 4
-0.638 9.691 0.482 1
-0.566 9.567 0.803 5
-0.566 9.567 0.803 5
-0.489 9.514 1.1 5
-0.489 9.514 1.1 4
-0.575 9.476 0.961 1
-0.575 9.476 0.961 5
-0.408 9.6 0.645 5
-0.408 9.6 0.645 5
-0.408 9.6 0.645 4
-0.336 9.725 0.477 1
-0.336 9.725 0.477 5
-0.226 9.84 0.31 5
-0.226 9.84 0.31 5
-0.226 9.84 0.31 4
-0.274 9.768 0.539 1
-0.274 9.768 0.539 5
-0.298 9.643 0.707 6
-0.298 9.643 0.707 5
-0.298 9.643 0.707 3
-0.173 9.619 1.133 1
-0.173 9.619 1.133 5
-0.135 9.524 1.444 5
-0.135 9.524 1.444 5
-0.135 9.524 1.444 4
-0.183 9.572 1.148 1
-0.183 9.572 1.148 5
-0.207 9.71 0.846 5
-0.207 9.71 0.846 5
-0.207 9.71 0.846 4
-0.302 9.777 0.678 1
-0.302 9.777 0.678 5
-0.46 9.768 0.592 6
-0.46 9.768 0.592 5
-0.46 9.768 0.592 3
-0.551 9.801 0.386 1
-0.551 9.801 0.386 5
-0.556 9.792 0.434 5
-0.58 9.777 0.669 5
-0.58 9.777 0.669 4
-0.58 9.777 0.669 1
-0.661 9.672 0.841 5
-0.661 9.672 0.841 5
-0.647 9.6 0.994 5
-0.647 9.6 0.994 4
-0.647 9.6 0.994 1
-0.594 9.524 0.985 5
-0.594 9.524 0.985 6
-0.47 9.548 1.023 5
-0.47 9.548 1.023 3
-0.47 9.548 1.023 1
-0.499 9.452 1.1 5
-0.499 9.452 1.1 6
-0.456 9.361 1.229 5
-0.456 9.361 1.229 3
-0.456 9.361 1.229 2
-0.432 9.404 1.148 5
-0.432 9.404 1.148 5
-0.441 9.447 1.176 5
-0.441 9.447 1.176 3
-0.441 9.447 1.176 2
-0.547 9.437 0.999 5
-0.547 9.437 0.999 5
-0.484 9.624 0.808 5
-0.484 9.624 0.808 3
-0.484 9.624 0.808 2
-0.527 9.749 0.582 5
-0.527 9.749 0.582 5
-0.59 9.706 0.506 5
-0.59 9.706 0.506 3
-0.59 9.706 0.506 2
-0.465 9.725 0.64 5
-0.465 9.725 0.64 5
-0.441 9.643 0.798 5
-0.441 9.643 0.798 3
-0.135 9.639 1.234 2
-0.135 9.639 1.234 5
-0.029 9.605 1.358 5
-0.029 9.605 1.358 5
-0.029 9.605 1.358 3
0.104 9.629 1.487 2
0.104 9.629 1.487 5
0.099 9.658 1.732 5
0.099 9.658 1.732 5
0.099 9.658 1.732 4
-0.001 9.619 1.636 1
-0.001 9.619 1.636 5
-0.005 9.691 1.43 5
-0.005 9.691 1.43 5
-0.005 9.691 1.43 3
-0.02 9.797 1.167 2
-0.02 9.797 1.167 5
0.08 9.902 1.09 5
0.08 9.902 1.09 5
0.08 9.902 1.09 3
0.013 9.907 1.018 2
0.013 9.907 1.018 5
0.089 9.888 1.061 5
0.089 9.888 1.061 5
0.089 9.888 1.061 3
0.128 9.935 1.191 2
0.128 9.935 1.191 5
0.137 9.911 1.148 5
0.137 9.911 1.148 5
0.137 9.911 1.148 3
0.19 9.974 1.052 2
0.19 9.974 1.052 5
0.185 9.94 0.884 5
0.185 9.94 0.884 5
0.185 9.94 0.884 3
0.161 9.854 0.932 2
0.171 9.883 0.946 5
0.171 9.883 0.946 5
0.156 9.682 0.937 5
0.156 9.682 0.937 3
0.156 9.682 0.937 2
-0.015 9.744 0.98 5
-0.015 9.744 0.98 5
-0.053 9.715 0.956 5
-0.053 9.715 0.956 3
-0.053 9.715 0.956 2
-0.144 9.619 0.903 5
-0.144 9.619 0.903 5
-0.283 9.581 0.985 5
-0.283 9.581 0.985 3
-0.283 9.581 0.985 2
-0.245 9.615 0.836 5
-0.245 9.615 0.836 5
-0.312 9.61 0.702 5
-0.312 9.61 0.702 4
-0.312 9.61 0.702 1
-0.408 9.61 0.52 5
-0.408 9.61 0.52 5
-0.379 9.686 0.463 5
-0.379 9.686 0.463 3
-0.379 9.686 0.463 2
-0.436 9.586 0.606 5
-0.436 9.586 0.606 5
-0.336 9.519 0.788 5
-0.336 9.519 0.788 4
-0.336 9.519 0.788 1
-0.245 9.567 0.875 5
-0.245 9.567 0.875 5
-0.135 9.581 0.836 5
-0.135 9.581 0.836 3
-0.135 9.581 0.836 2
-0.302 9.586 0.951 5
-0.432 9.61 0.879 5
-0.432 9.61 0.879 5
-0.432 9.61 0.879 3
-0.523 9.543 0.894 2
-0.523 9.543 0.894 5
-0.503 9.634 0.946 5
-0.503 9.634 0.946 5
-0.503 9.634 0.946 4
-0.389 9.667 0.97 1
-0.389 9.667 0.97 5
-0.336 9.6 1.133 5
-0.336 9.6 1.133 5
-0.336 9.6 1.133 4
-0.331 9.648 1.215 1
-0.331 9.648 1.215 5
-0.561 9.586 1.43 5
-0.561 9.586 1.43 5
-0.561 9.586 1.43 3
-0.465 9.567 0.966 2
-0.465 9.567 0.966 5
-0.245 9.586 1.569 5
-0.245 9.586 1.569 5
-0.245 9.586 1.569 4
-0.293 9.686 1.339 1
-0.293 9.686 1.339 5
-0.398 9.624 1.55 5
-0.398 9.624 1.55 5
-0.398 9.624 1.55 4
-0.709 9.514 1.195 1
-0.709 9.514 1.195 5
-0.729 9.6 1.076 5
-0.729 9.6 1.076 5
-0.729 9.6 1.076 3
-0.834 9.552 0.918 2
-0.82 9.595 0.817 5
-0.82 9.595 0.817 5
-0.647 9.629 0.851 5
-0.647 9.629 0.851 4
-0.647 9.629 0.851 1
-0.537 9.591 1.033 5
-0.537 9.591 1.033 5
-0.456 9.629 1.277 5
-0.456 9.629 1.277 3
-0.456 9.629 1.277 2
-0.393 9.619 1.334 5
-0.393 9.619 1.334 5
-0.451 9.734 1.205 5
-0.451 9.734 1.205 3
-0.451 9.734 1.205 2
-0.499 9.696 0.999 5
-0.499 9.696 0.999 5
-0.412 9.734 1.095 5
-0.412 9.734 1.095 4
-0.412 9.734 1.095 1
-0.326 9.787 1.052 5
-0.326 9.787 1.052 5
-0.202 9.892 0.97 5
-0.202 9.892 0.97 4
-0.202 9.892 0.97 1
-0.116 9.873 1.109 5
-0.116 9.873 1.109 5
-0.183 9.792 1.152 5
-0.183 9.792 1.152 4
-0.183 9.792 1.152 1
-0.111 9.859 1.061 5
-0.111 9.859 1.061 5
-0.073 9.873 0.97 5
-0.073 9.873 0.97 4
-0.073 9.873 0.97 1
-0.005 9.859 0.975 5
0.089 9.811 1.171 5
0.089 9.811 1.171 5
0.089 9.811 1.171 4
0.094 9.797 1.291 1
0.094 9.797 1.291 5
-0.034 9.792 1.128 5
-0.034 9.792 1.128 5
-0.034 9.792 1.128 4
-0.197 9.715 1.042 1
-0.197 9.715 1.042 5
-0.264 9.71 0.894 5
-0.264 9.71 0.894 5
-0.264 9.71 0.894 4
-0.226 9.768 0.922 1
-0.226 9.768 0.922 5
-0.369 9.567 1.057 5
-0.369 9.567 1.057 5
-0.369 9.567 1.057 4
-0.345 9.576 1.009 1
-0.345 9.576 1.009 5
-0.436 9.548 0.903 5
-0.436 9.548 0.903 5
-0.436 9.548 0.903 4
-0.537 9.514 0.918 1
-0.537 9.514 0.918 6
-0.494 9.538 0.899 4
-0.494 9.538 0.899 5
-0.494 9.538 0.899 4
-0.427 9.509 1.004 1
-0.427 9.509 1.004 5
-0.36 9.591 1.186 5
-0.446 9.581 1.133 5
-0.446 9.581 1.133 4
-0.446 9.581 1.133 2
-0.59 9.533 1.138 4
-0.59 9.533 1.138 5
-0.733 9.543 1.08 5
-0.733 9.543 1.08 4
-0.733 9.543 1.08 1
-0.571 9.686 0.946 5
-0.571 9.686 0.946 5
-0.446 9.782 0.827 5
-0.446 9.782 0.827 4
-0.446 9.782 0.827 1
-0.202 9.859 0.975 5
-0.202 9.859 0.975 5
-0.101 9.811 1.138 5
-0.101 9.811 1.138 4
-0.101 9.811 1.138 1
0.041 9.844 1.315 5
0.041 9.844 1.315 5
0.137 9.811 1.502 5
0.137 9.811 1.502 4
0.137 9.811 1.502 1
0.07 9.801 1.334 5
0.07 9.801 1.334 6
0.104 9.873 1.1 5
0.104 9.873 1.1 3
0.104 9.873 1.1 1
0.209 9.969 0.87 5
0.209 9.969 0.87 5
0.065 9.907 0.846 5
0.065 9.907 0.846 4
0.065 9.907 0.846 1
-0.005 9.84 0.97 5
-0.005 9.84 0.97 5
-0.116 9.782 0.899 5
-0.116 9.782 0.899 4
-0.116 9.782 0.899 1
-0.211 9.758 0.793 5
-0.384 9.634 1.071 6
-0.384 9.634 1.071 5
-0.384 9.634 1.071 3
-0.523 9.528 1.138 1
-0.523 9.528 1.138 5
-0.398 9.581 1.052 5
-0.398 9.581 1.052 5
-0.398 9.581 1.052 4
-0.288 9.72 1.128 1
-0.288 9.72 1.128 5
-0.207 9.734 0.98 5
-0.207 9.734 0.98 5
-0.207 9.734 0.98 4
-0.25 9.792 0.841 1
-0.25 9.792 0.841 5
-0.384 9.744 0.956 6
-0.384 9.744 0.956 5
-0.384 9.744 0.956 3
-0.518 9.73 1.162 1
-0.518 9.73 1.162 5
-0.484 9.586 1.234 5
-0.484 9.586 1.234 5
-0.484 9.586 1.234 4
-0.35 9.811 1.334 1
-0.35 9.811 1.334 6
-0.274 9.945 1.171 4
-0.274 9.945 1.171 5
-0.274 9.945 1.171 4
-0.432 9.921 0.956 2
-0.432 9.921 0.956 5
-0.508 9.926 1.057 5
-0.508 9.926 1.057 5
-0.508 9.926 1.057 3
-0.652 10.204 0.549 2
-0.719 10.098 1.186 5
-0.719 10.098 1.186 5
-0.8 10.218 0.468 5
-0.8 10.218 0.468 3
-0.8 10.218 0.468 2
-0.48 10.28 1.301 5
-0.48 10.28 1.301 5
-0.939 10.62 0.975 5
-0.939 10.62 0.975 3
-0.939 10.62 0.975 2
-1.078 10.548 1.119 5
-1.078 10.548 1.119 5
-1.337 10.96 1.037 5
-1.337 10.96 1.037 3
-1.337 10.96 1.037 2
-0.7 11.444 1.219 5
-0.7 11.444 1.219 5
-1.025 11.506 1.186 5
-1.025 11.506 1.186 3
-1.025 11.506 1.186 2
-0.604 11.53 2.158 5
-0.604 11.53 2.158 5
-0.446 11.774 2.646 5
-0.446 11.774 2.646 3
-0.446 11.774 2.646 2
-0.503 12.205 2.555 5
-0.503 12.205 2.555 5
0.056 12.31 2.234 5
0.056 12.31 2.234 3
0.056 12.31 2.234 2
0.477 12.679 2.316 5
0.477 12.679 2.316 5
1.033 13.053 2.014 5
1.033 13.053 2.014 3
1.033 13.053 2.014 2
1.377 13.273 1.804 5
1.66 13.22 1.497 5
1.66 13.22 1.497 5
1.66 13.22 1.497 3
2.282 13.599 1.339 2
2.282 13.599 1.339 5
3.432 13.694 1.574 5
3.432 13.694 1.574 5
3.432 13.694 1.574 3
3.499 13.728 0.812 2
3.499 13.728 0.812 5
4.375 13.747 1.521 5
4.375 13.747 1.521 5
4.375 13.747 1.521 3
5.328 13.551 1.54 2
5.328 13.551 1.54 5
5.993 13.527 1.99 5
5.993 13.527 1.99 5
5.993 13.527 1.99 3
7.866 13.56 1.148 2
7.866 13.56 1.148 5
8.005 13.68 0.673 5
8.005 13.68 0.673 5
8.005 13.68 0.673 3
7.813 13.421 0.075 2
7.813 13.421 0.075 5
7.162 12.559 -0.661 5
7.162 12.559 -0.661 5
7.162 12.559 -0.661 4
6.458 11.75 -0.676 1
6.458 11.75 -0.676 5
6.199 10.706 -0.111 5
6.199 10.706 -0.111 5
6.199 10.706 -0.111 3
5.85 9.581 0.841 2
5.85 9.581 0.841 5
5.495 8.518 1.66 5
4.921 7.345 1.851 5
4.921 7.345 1.851 3
4.921 7.345 1.851 2
3.954 6.143 1.904 5
3.954 6.143 1.904 5
3.207 5.123 1.325 5
3.207 5.123 1.325 4
3.207 5.123 1.325 1
2.857 4.323 0.774 5
2.857 4.323 0.774 5
2.618 3.366 0.238 5
2.618 3.366 0.238 3
2.618 3.366 0.238 2
2.349 2.178 0.113 5
2.349 2.178 0.113 5
1.746 1.312 -0.101 5
1.746 1.312 -0.101 3
1.746 1.312 -0.101 2
0.769 0.742 -1.15 5
0.769 0.742 -1.15 5
-0.087 -0.033 -1.662 5
-0.087 -0.033 -1.662 3
-0.087 -0.033 -1.662 2
-0.408 -0.809 -1.447 5
-0.408 -0.809 -1.447 5
-0.441 -1.575 -1.203 5
-0.441 -1.575 -1.203 3
-0.441 -1.575 -1.203 2
-0.465 -2.346 -0.705 5
-0.465 -2.346 -0.705 5
-0.422 -2.451 -0.633 5
-0.422 -2.451 -0.633 3
-0.422 -2.451 -0.633 2
-0.848 -1.953 -1.164 5
-1.48 -1.623 -1.346 5
-1.48 -1.623 -1.346 5
-1.48 -1.623 -1.346 4
-2.045 -1.316 -1.179 1
-2.045 -1.316 -1.179 5
-2.266 -0.66 -0.944 5
-2.266 -0.66 -0.944 5
-2.266 -0.66 -0.944 3
-2.697 -0.057 -0.384 2
-2.697 -0.057 -0.384 5
-2.644 0.938 0.381 5
-2.644 0.938 0.381 5
-2.644 0.938 0.381 3
-2.4 2.063 0.52 2
-2.4 2.063 0.52 5
-2.515 3.347 2.029 5
-2.515 3.347 2.029 5
-2.515 3.347 2.029 4
-2.941 4.472 3.748 1
-2.941 4.472 3.748 5
-3.539 5.712 4.863 5
-3.539 5.712 4.863 5
-3.539 5.712 4.863 3
-4.282 6.909 5.266 2
-4.282 6.909 5.266 5
-5.445 7.824 5.17 5
-5.445 7.824 5.17 5
-5.445 7.824 5.17 4
-7.562 8.839 5.673 1
-7.562 8.839 5.673 5
-9.985 10.232 6.204 5
-9.985 10.232 6.204 5
-9.985 10.232 6.204 4
-12.336 11.271 5.673 1
-12.336 11.271 5.673 5
-13.566 12.124 6.405 5
-13.964 12.895 8.005 5
-13.964 12.895 8.005 3
-13.964 12.895 8.005 2
-14.088 13.867 9.47 5
-14.088 13.867 9.47 5
-13.7 14.69 10.475 5
-13.7 14.69 10.475 4
-13.7 14.69 10.475 1
-13.221 15.351 10.954 6
-13.221 15.351 10.954 4
-12.431 16.347 11.155 5
-12.431 16.347 11.155 4
-12.431 16.347 11.155 1
-11.708 17.281 10.806 5
-11.708 17.281 10.806 5
-11.526 17.951 9.8 5
-11.526 17.951 9.8 4
-11.526 17.951 9.8 1
-11.598 18.033 8.632 5
-11.598 18.033 8.632 5
-12.063 17.377 7.842 5
-12.063 17.377 7.842 4
-12.063 17.377 7.842 1
-11.019 16.596 7.66 5
-11.019 16.596 7.66 5
-8.84 15.868 8.172 5
-8.84 15.868 8.172 4
-8.84 15.868 8.172 1
-6.216 15.174 8.321 5
-6.216 15.174 8.321 5
-3.922 14.8 7.521 5
-3.922 14.8 7.521 4
-3.922 14.8 7.521 1
-1.964 14.25 6.793 5
-1.964 14.25 6.793 5
-0.987 13.091 6.994 5
-0.987 13.091 6.994 4
0.156 12.033 7.128 1
0.156 12.033 7.128 5
1.827 11.698 6.53 5
1.827 11.698 6.53 5
1.827 11.698 6.53 4
2.349 11.324 5.16 1
2.349 11.324 5.16 5
1.756 10.85 3.187 5
1.756 10.85 3.187 5
1.756 10.85 3.187 4
0.884 10.141 1.406 1
0.884 10.141 1.406 5
1.507 9.782 1.406 5
1.507 9.782 1.406 5
1.507 9.782 1.406 4
2.967 9.734 1.593 1
2.967 9.734 1.593 5
4.078 9.83 2.22 5
4.078 9.83 2.22 5
4.078 9.83 2.22 4
4.303 9.682 2.134 1
4.303 9.682 2.134 5
4.097 9.404 0.966 5
4.097 9.404 0.966 5
4.097 9.404 0.966 4
4.461 9.452 0.53 1
4.461 9.452 0.53 5
5.524 9.634 0.769 5
5.524 9.634 0.769 5
5.524 9.634 0.769 4
6.563 9.83 1.09 2
6.563 9.83 1.09 4
6.707 9.576 1.344 5
6.453 9.303 1.133 5
6.453 9.303 1.133 4
6.453 9.303 1.133 2
5.96 8.954 0.922 4
5.96 8.954 0.922 5
5.443 8.614 0.918 5
5.443 8.614 0.918 4
5.443 8.614 0.918 1
4.902 8.389 1.171 5
4.902 8.389 1.171 6
4.375 8.279 1.124 5
4.375 8.279 1.124 3
4.375 8.279 1.124 1
4.107 8.528 0.913 5
4.107 8.528 0.913 5
3.824 8.561 0.468 5
3.824 8.561 0.468 4
3.824 8.561 0.468 1
3.417 8.513 0.386 5
3.417 8.513 0.386 5
3.197 8.724 0.554 5
3.197 8.724 0.554 4
3.197 8.724 0.554 1
2.847 8.801 0.731 5
2.847 8.801 0.731 6
2.091 8.571 1.071 5
2.091 8.571 1.071 3
2.091 8.571 1.071 1
1.397 8.461 1.229 5
1.397 8.461 1.229 5
1.066 8.504 1.258 5
1.066 8.504 1.258 4
1.066 8.504 1.258 1
0.755 8.451 1.55 5
0.755 8.451 1.55 5
