# Accelerometer Data File
# Started @Fri Mar 31 10:48:37 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: ICM20610 Acceleration Sensor
# sensor Resolution: 0.0011971008m/sec^2; Max Range: 39.2266; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.506 6.828 7.004 0
0.578 6.833 7.363 4
0.472 6.679 7.521 5
0.472 6.679 7.521 4
0.472 6.679 7.521 1
0.314 6.43 7.583 5
0.314 6.43 7.583 5
2.144 6.459 6.319 5
2.144 6.459 6.319 4
2.144 6.459 6.319 1
-0.93 7.091 6.827 5
-0.93 7.091 6.827 5
0.056 7.139 7.799 5
0.056 7.139 7.799 4
0.056 7.139 7.799 1
0.333 6.521 5.663 6
0.333 6.521 5.663 4
0.18 7.125 6.262 5
0.18 7.125 6.262 4
0.18 7.125 6.262 1
0.003 6.89 7.037 5
0.003 6.89 7.037 5
0.132 6.56 6.913 5
0.132 6.56 6.913 4
0.353 6.818 6.97 6
0.353 6.818 6.97 5
0.511 6.823 7.243 5
0.511 6.823 7.243 4
0.511 6.823 7.243 1
0.401 6.746 7.478 6
0.401 6.746 7.478 4
0.357 6.698 7.344 5
0.357 6.698 7.344 4
0.386 6.904 7.152 1
0.386 6.904 7.152 5
0.424 7.005 7.018 5
0.424 7.005 7.018 5
0.424 7.005 7.018 4
0.755 6.876 6.022 1
0.755 6.876 6.022 5
-0.48 7.326 7.296 5
-0.48 7.326 7.296 5
-0.48 7.326 7.296 4
0.104 7.072 6.783 1
0.104 7.072 6.783 6
0.396 6.971 6.894 4
0.396 6.971 6.894 5
0.396 6.971 6.894 4
0.108 6.971 6.726 1
0.108 6.971 6.726 5
0.008 6.756 7.195 5
0.008 6.756 7.195 5
0.008 6.756 7.195 4
0.343 6.746 6.582 1
0.343 6.746 6.582 5
-0.824 6.837 7.416 5
-0.824 6.837 7.416 5
-0.824 6.837 7.416 4
-0.058 6.363 7.119 1
-0.058 6.363 7.119 6
0.19 6.512 7.665 4
0.19 6.512 7.665 5
0.19 6.512 7.665 4
0.448 6.574 7.823 1
0.841 6.44 7.808 5
0.841 6.44 7.808 5
0.669 6.861 7.679 5
0.669 6.861 7.679 5
0.669 6.861 7.679 1
0.439 6.684 7.454 4
0.439 6.684 7.454 5
0.788 6.689 7.382 5
0.788 6.689 7.382 4
0.788 6.689 7.382 1
0.673 6.627 7.564 6
0.673 6.627 7.564 4
0.63 6.761 7.832 5
0.63 6.761 7.832 4
0.63 6.761 7.832 1
0.736 6.631 7.554 5
0.736 6.631 7.554 5
0.894 6.732 7.665 5
0.894 6.732 7.665 4
0.894 6.732 7.665 1
1.033 6.627 7.856 5
1.033 6.627 7.856 5
0.932 6.751 7.842 5
0.932 6.751 7.842 4
0.932 6.751 7.842 1
0.855 6.727 7.65 6
0.855 6.727 7.65 5
0.922 6.904 7.31 5
0.922 6.904 7.31 3
0.922 6.904 7.31 2
0.841 6.976 7.076 5
0.956 7.11 6.712 5
0.956 7.11 6.712 5
0.956 7.11 6.712 3
0.985 7.077 6.611 2
0.985 7.077 6.611 5
0.908 6.962 6.851 5
0.908 6.962 6.851 5
0.908 6.962 6.851 3
0.831 6.957 7.104 2
0.831 6.957 7.104 5
0.65 6.823 7.047 5
0.65 6.823 7.047 5
0.65 6.823 7.047 3
0.678 6.852 6.822 2
0.678 6.852 6.822 5
0.626 6.914 6.793 5
0.626 6.914 6.793 5
0.626 6.914 6.793 4
0.492 6.823 6.702 1
0.492 6.823 6.702 5
0.439 6.732 6.649 5
0.439 6.732 6.649 5
0.439 6.732 6.649 3
0.559 6.799 6.673 2
0.559 6.799 6.673 5
0.515 6.809 6.712 5
0.515 6.809 6.712 5
0.515 6.809 6.712 3
0.793 6.885 6.865 2
0.793 6.885 6.865 5
1.013 6.847 7.176 5
0.927 6.698 7.406 5
0.927 6.698 7.406 3
0.927 6.698 7.406 2
0.76 6.775 7.267 5
0.76 6.775 7.267 5
0.563 6.718 7.071 5
0.563 6.718 7.071 3
0.563 6.718 7.071 2
0.42 6.622 6.98 5
0.42 6.622 6.98 5
0.372 6.631 6.994 5
0.372 6.631 6.994 3
0.372 6.631 6.994 2
0.314 6.67 7.109 5
0.314 6.67 7.109 5
0.209 6.44 7.325 5
0.209 6.44 7.325 3
0.209 6.44 7.325 2
0.357 6.373 7.583 5
0.357 6.373 7.583 5
