# Accelerometer Data File
# Started @Fri Mar 31 10:48:02 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: ICM20610 Acceleration Sensor
# sensor Resolution: 0.0011971008m/sec^2; Max Range: 39.2266; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.061 7.0 6.846 0
-0.01 7.0 6.865 4
-0.01 7.0 6.865 5
0.013 7.058 6.827 5
0.013 7.058 6.827 3
0.013 7.058 6.827 2
0.108 7.029 6.76 5
0.108 7.029 6.76 5
0.223 7.268 7.018 5
0.223 7.268 7.018 3
0.223 7.268 7.018 2
0.204 7.254 6.879 5
0.204 7.254 6.879 5
0.065 7.216 6.783 5
0.065 7.216 6.783 3
0.065 7.216 6.783 2
0.104 7.402 6.511 5
0.003 7.522 6.578 5
0.003 7.522 6.578 5
0.003 7.522 6.578 3
-0.073 7.273 6.688 2
-0.073 7.273 6.688 5
-0.13 7.249 6.831 5
-0.13 7.249 6.831 5
-0.13 7.249 6.831 4
-0.058 7.182 6.922 1
-0.058 7.182 6.922 5
-0.096 7.206 6.812 5
-0.096 7.206 6.812 5
-0.096 7.206 6.812 3
-0.202 7.211 6.803 2
-0.202 7.211 6.803 5
-0.168 7.101 6.803 5
-0.168 7.101 6.803 5
-0.168 7.101 6.803 3
-0.144 7.096 6.932 2
-0.144 7.096 6.932 5
-0.001 7.058 6.989 5
-0.001 7.058 6.989 5
-0.001 7.058 6.989 3
0.027 7.019 7.037 2
0.027 7.019 7.037 5
0.017 7.029 6.927 5
0.017 7.029 6.927 5
0.017 7.029 6.927 3
