# Accelerometer Data File
# Started @Sat Apr 01 15:37:59 CEST 2017
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM330 3-axis Accelerometer
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.622 7.929 2.882 0
0.43 7.671 2.767 9
0.545 7.45 2.748 10
1.254 7.211 2.892 10
1.953 6.924 3.083 10
2.355 6.828 3.198 9
2.499 6.914 3.122 10
2.183 7.125 3.083 10
1.484 7.249 2.949 10
1.426 7.326 3.658 10
2.145 7.297 5.056 9
2.097 7.029 4.079 10
2.03 6.933 5.085 10
1.264 6.962 4.96 9
0.995 7.412 5.363 10
1.168 7.661 5.152 10
1.379 7.987 4.989 10
1.379 7.958 4.721 9
0.967 7.939 4.625 10
0.861 7.9 4.797 10
0.814 7.718 4.912 10
0.679 7.402 5.066 10
0.833 7.192 5.42 9
1.015 6.943 6.071 10
1.034 6.655 6.943 10
0.612 6.445 7.747 10
0.794 6.636 8.006 9
0.507 6.713 7.699 10
-0.067 6.885 7.307 10
-0.517 7.182 6.962 10
-0.746 7.479 6.77 9
-0.89 7.699 6.742 10
-0.574 7.795 6.789 10
-0.229 7.785 6.617 10
0.047 7.785 6.493 10
0.134 7.747 6.742 9
0.641 7.297 7.048 10
1.369 7.182 6.952 10
2.413 7.316 6.943 10
3.639 7.335 6.224 9
3.821 6.924 5.295 10
2.997 7.527 5.2 10
2.126 8.255 5.094 10
1.589 8.35 4.96 9
1.379 8.073 4.635 10
1.312 7.824 4.778 10
1.206 7.642 5.123 10
1.043 7.469 5.612 10
0.861 7.326 6.186 9
0.603 7.211 6.416 10
0.43 7.058 6.368 10
0.363 6.962 6.263 10
0.325 6.962 6.119 9
0.258 7.0 5.975 10
0.134 6.933 5.985 10
0.105 6.943 6.224 10
0.22 6.991 6.56 9
0.239 7.048 6.703 10
0.153 6.943 6.665 10
-0.028 6.876 6.655 10
-0.181 6.837 6.751 9
-0.335 6.828 6.952 10
-0.373 6.856 6.933 10
-0.153 6.933 6.828 10
0.172 6.943 6.761 10
0.335 6.885 6.732 9
0.344 6.837 6.828 10
0.229 6.828 6.943 10
0.105 6.818 6.943 10
-0.057 6.77 6.751 9
-0.162 6.818 6.732 10
-0.143 6.856 7.038 10
-0.086 6.895 7.45 10
-0.019 6.809 7.69 9
0.038 6.761 7.661 10
0.124 6.761 7.335 10
0.143 6.742 7.077 10
0.134 6.742 6.971 9
0.134 6.78 7.029 10
0.047 6.761 7.23 10
0.019 6.694 7.412 10
0.028 6.646 7.469 10
0.201 6.703 7.297 9
0.526 6.751 7.077 10
0.766 6.77 6.732 10
0.9 6.837 6.358 10
0.9 6.856 6.11 9
0.804 6.837 5.975 10
0.756 6.837 5.995 10
0.842 6.885 6.253 10
1.034 6.924 6.531 9
1.225 6.837 6.598 11
1.331 6.847 6.598 9
1.379 6.981 6.521 10
1.407 7.048 6.291 10
1.379 7.086 6.033 9
1.369 7.144 5.918 10
1.312 7.144 5.975 10
1.063 7.105 6.224 10
0.746 7.038 6.54 10
0.545 6.971 6.761 9
0.316 6.904 6.895 10
0.191 6.78 7.182 10
0.172 6.703 7.584 10
0.21 6.636 7.891 9
0.325 6.502 7.977 10
0.421 6.493 7.852 10
0.421 6.512 7.632 10
0.277 6.56 7.374 9
0.114 6.598 7.335 11
0.038 6.617 7.402 9
-0.067 6.617 7.364 10
-0.009 6.607 7.144 9
0.114 6.627 6.981 10
0.22 6.627 6.866 10
0.296 6.646 6.799 10
0.344 6.684 6.713 9
0.565 6.157 6.876 10
0.057 6.933 6.703 10
-0.047 7.173 6.694 10
0.287 6.789 6.358 10
0.507 6.732 6.205 9
0.507 6.818 6.167 10
0.612 6.703 6.311 10
0.689 6.627 6.732 10
0.766 6.665 7.307 10
0.852 6.732 7.728 9
0.804 6.703 7.929 10
0.565 6.761 7.709 10
0.22 6.837 7.393 9
-0.019 6.856 7.01 10
-0.143 6.837 6.655 10
-0.172 6.799 6.445 10
-0.067 6.789 6.33 10
0.047 6.799 6.378 9
0.143 6.761 6.54 10
0.268 6.713 6.856 10
0.383 6.78 7.268 9
0.411 6.799 7.508 10
0.229 6.732 7.584 10
0.009 6.694 7.508 10
-0.277 6.694 7.422 10
-0.325 6.646 7.316 9
-0.162 6.675 7.144 10
0.086 6.713 6.962 10
0.268 6.742 6.933 10
0.363 6.703 7.22 9
0.306 6.713 7.536 10
0.181 6.761 7.738 10
0.0 6.77 7.709 10
-0.105 6.789 7.412 10
-0.162 6.799 7.0 10
-0.172 6.818 6.493 9
-0.095 6.828 5.928 10
0.181 6.789 5.669 10
0.536 6.77 5.813 10
0.584 6.722 6.042 9
0.555 6.751 6.358 10
0.536 6.78 6.703 10
0.335 6.761 6.991 9
0.047 6.732 7.201 10
-0.162 6.694 7.335 10
-0.287 6.655 7.345 10
-0.287 6.627 7.24 9
-0.181 6.617 7.019 10
0.009 6.569 6.847 10
0.239 6.579 6.761 10
0.699 6.636 6.742 9
0.967 6.694 6.77 10
0.919 6.694 7.019 11
0.699 6.713 7.287 9
0.43 6.751 7.383 9
0.325 6.751 7.307 10
0.402 6.761 7.23 10
0.536 6.799 7.24 10
0.727 6.828 7.23 10
0.948 6.789 7.24 10
1.082 6.828 7.335 9
1.254 6.828 7.24 10
1.197 6.799 6.981 10
0.967 6.828 6.818 9
0.651 6.837 6.732 10
0.344 6.809 6.847 10
0.287 6.761 7.01 10
0.392 6.742 6.971 10
0.622 6.761 6.713 9
0.794 6.78 6.464 10
0.814 6.78 6.32 10
0.814 6.789 6.196 10
0.766 6.828 6.205 10
0.66 6.828 6.349 9
0.507 6.856 6.531 10
0.268 6.866 6.579 10
0.191 6.856 6.56 9
0.21 6.856 6.502 10
0.344 6.895 6.368 10
0.316 6.943 6.311 10
0.143 6.952 6.435 9
-0.134 7.019 6.493 10
-0.43 7.096 6.445 10
-0.737 7.192 6.368 10
-1.283 7.297 6.368 10
-1.886 7.441 6.617 9
-2.547 7.594 7.086 10
-3.275 7.833 7.69 10
-3.744 8.006 7.977 10
-3.476 8.264 8.188 9
-2.557 8.887 9.212 10
-1.35 9.452 10.965 10
-0.153 9.787 12.65 10
1.082 10.017 14.03 9
2.509 10.093 15.303 10
5.928 10.285 17.563 10
10.16 10.228 18.588 10
12.804 9.95 17.219 9
14.451 10.247 14.422 10
14.987 10.352 11.654 10
14.93 9.557 9.777 10
16.251 8.532 8.743 10
17.975 7.623 8.169 9
18.655 6.378 7.91 10
17.937 4.797 7.69 10
16.031 3.169 6.579 10
13.608 1.714 5.248 9
11.492 0.517 3.964 10
10.381 -0.852 2.93 10
9.251 -2.011 2.116 10
7.584 -3.064 0.632 10
5.564 -4.443 -1.637 10
3.102 -5.908 -4.223 9
0.363 -7.086 -6.282 10
-2.93 -7.843 -7.92 10
-6.655 -7.814 -8.791 9
-9.634 -7.623 -8.753 10
-11.118 -7.671 -7.019 10
-11.453 -7.326 -4.338 9
-11.243 -7.105 -0.861 10
-11.185 -6.464 3.955 10
-11.616 -5.602 8.283 10
-12.105 -4.788 10.524 10
-12.469 -3.236 11.204 9
-13.445 -1.934 10.668 10
-14.211 -1.225 9.825 10
-14.135 -0.632 9.95 10
-13.895 0.928 11.76 9
-13.024 2.576 14.528 11
-10.975 3.265 17.123 9
-6.636 4.146 19.517 10
-0.727 5.65 21.155 10
4.616 6.722 22.562 9
9.107 8.082 24.449 10
12.018 9.816 26.795 10
14.633 10.975 28.079 9
17.458 12.009 27.418 10
19.393 12.976 25.713 10
20.475 13.675 23.204 10
21.787 14.068 20.321 10
22.093 14.25 17.152 9
21.193 13.512 14.623 10
19.613 11.827 12.785 10
17.334 10.026 10.955 10
14.69 8.188 9.414 10
12.325 6.215 8.121 9
10.342 4.616 6.1 10
8.81 3.533 2.987 10
6.588 2.537 -0.881 10
4.261 1.848 -3.227 9
2.413 1.34 -4.261 10
1.024 1.015 -4.28 10
0.545 1.082 -4.108 9
0.622 1.177 -3.562 10
0.785 1.398 -2.336 10
0.785 1.991 -1.273 10
0.833 2.681 -0.22 10
1.11 3.371 0.823 9
1.446 4.118 1.915 10
1.81 4.836 2.873 10
1.991 5.573 3.495 10
1.982 6.177 3.725 10
2.03 6.607 3.543 9
2.145 6.991 3.265 10
2.193 7.316 3.466 10
2.193 7.489 4.242 10
2.183 7.718 5.391 9
2.269 7.795 6.406 10
2.451 7.862 7.058 10
2.815 7.948 7.517 10
2.633 8.101 7.785 10
1.867 8.264 7.91 9
1.465 8.188 7.9 10
1.168 8.082 7.747 10
1.005 7.92 7.354 10
1.244 7.833 7.163 9
1.139 7.69 6.924 10
0.488 7.125 6.703 10
0.43 6.876 6.866 9
1.254 7.575 7.824 10
1.455 7.527 7.757 10
2.317 4.979 6.234 10
1.426 6.924 5.64 10
0.718 8.59 5.822 10
0.373 7.45 6.502 9
-0.067 6.253 7.575 10
-0.287 5.947 8.781 10
-0.21 6.11 9.433 9
0.105 6.646 9.595 10
0.536 6.952 8.389 10
0.459 6.991 6.847 10
-0.105 6.809 5.995 9
