# Accelerometer Data File
# Started @Sat Apr 01 16:23:20 CEST 2017
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM330 3-axis Accelerometer
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.172 8.762 4.127 0
-0.038 8.734 4.759 9
0.038 8.695 5.008 10
0.181 8.695 5.114 10
-0.019 8.839 5.248 10
-0.229 8.781 3.715 9
0.124 8.255 3.122 10
0.995 7.977 3.323 10
2.011 7.517 3.811 10
2.815 7.287 4.213 9
3.284 7.326 4.194 10
3.361 7.422 3.897 10
2.997 7.508 3.457 10
2.451 7.69 3.035 9
1.953 7.699 2.911 10
1.57 7.661 2.451 10
1.599 7.603 2.652 10
1.896 7.556 3.811 10
1.714 7.805 4.951 9
1.762 8.054 5.372 10
1.924 8.456 5.075 10
1.398 8.561 4.817 10
0.44 8.599 4.807 9
0.287 8.58 4.462 10
0.679 8.379 4.223 10
1.637 8.245 4.28 10
1.58 8.513 4.261 9
1.225 8.485 4.367 10
0.794 8.312 4.616 10
0.775 8.322 4.778 10
0.536 8.532 4.568 9
0.66 8.207 4.386 10
0.296 7.939 4.654 10
1.11 8.389 4.213 10
1.714 7.651 4.587 10
1.302 8.341 5.181 9
0.507 8.868 5.64 10
0.105 8.628 4.759 10
0.632 8.513 3.926 10
1.091 8.465 4.012 9
1.177 8.245 3.84 10
1.072 7.824 3.562 10
0.957 7.9 3.505 10
1.072 8.006 3.572 9
0.9 7.852 3.543 10
0.45 7.709 3.323 10
0.277 7.594 3.265 10
0.411 7.412 3.754 9
0.507 7.278 4.491 10
0.316 7.23 4.817 10
0.287 7.278 5.037 10
0.402 7.326 5.056 10
0.354 7.345 4.606 9
0.114 7.326 3.897 10
-0.325 7.412 3.418 10
-0.651 7.489 3.256 10
-0.67 7.469 3.332 9
-0.641 7.556 4.003 10
-0.651 7.671 4.596 10
-0.536 7.718 4.692 10
-0.162 7.766 4.73 9
0.421 7.872 5.018 10
0.823 7.929 5.037 10
0.928 7.91 5.152 10
0.689 7.805 6.004 10
0.181 7.709 6.799 9
0.038 7.584 7.268 10
