# Accelerometer Data File
# Started @Sat Apr 01 15:38:24 CEST 2017
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM330 3-axis Accelerometer
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.976 7.575 4.558 0
1.695 7.824 3.773 9
1.838 7.22 3.466 10
1.11 7.45 3.265 10
0.756 8.312 2.978 9
0.737 8.379 3.093 10
0.89 7.632 3.533 10
1.254 7.249 4.194 10
1.637 7.556 4.673 9
2.365 7.929 4.845 10
2.585 7.929 4.28 10
2.288 8.226 2.834 10
1.57 8.695 1.723 9
0.948 8.868 2.221 10
0.67 8.714 2.873 10
0.727 8.58 3.878 10
0.833 8.485 4.807 10
1.101 8.341 5.487 9
1.359 8.236 5.985 10
1.513 8.159 6.244 10
1.379 8.025 6.081 10
0.881 7.967 6.014 9
0.43 8.169 6.196 10
0.402 8.216 6.358 10
0.43 8.034 6.282 10
0.191 7.843 5.975 10
0.057 7.967 5.688 9
0.124 8.13 5.516 10
0.248 8.082 5.592 10
0.43 7.91 5.861 10
0.411 7.833 6.244 9
0.201 7.747 6.358 10
0.057 7.843 6.426 10
0.057 7.843 6.272 10
0.114 7.728 5.803 10
0.45 7.843 4.501 9
0.775 7.718 4.376 10
1.015 7.661 4.788 10
2.375 7.881 4.52 9
3.055 7.785 4.28 10
2.394 7.833 4.568 10
1.589 7.996 4.74 10
0.948 7.785 5.027 10
0.325 7.527 6.1 9
-0.076 7.412 6.244 10
-0.162 7.287 6.311 10
-0.009 7.153 6.627 10
0.095 7.105 6.502 10
0.114 7.115 6.11 9
-0.076 7.115 5.784 10
-0.383 7.125 5.535 10
-0.459 7.144 5.525 9
-0.344 7.125 5.525 10
-0.067 7.105 5.458 10
0.047 7.096 5.315 10
0.086 7.115 5.248 10
0.086 7.23 5.401 9
0.086 7.268 5.688 10
0.019 7.259 6.081 10
-0.114 7.278 6.378 10
-0.229 7.182 6.55 10
-0.421 7.058 6.445 9
-0.545 7.01 6.253 10
-1.426 6.301 6.78 10
-1.484 6.617 6.569 9
0.354 7.259 6.033 10
0.411 6.454 4.29 10
0.114 7.536 4.367 10
-2.643 7.086 8.101 9
-1.532 5.363 5.037 10
-0.708 7.115 3.342 10
-1.187 6.971 4.127 10
-1.015 6.406 3.552 9
-0.967 7.182 3.61 10
0.746 7.038 3.438 10
-0.488 7.383 5.343 10
-2.183 7.412 6.56 10
-2.614 7.469 7.431 9
-3.361 7.603 8.37 10
-3.667 7.785 8.628 10
