# Accelerometer Data File
# Started @Sun Mar 26 22:21:49 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: ICM20610 Acceleration Sensor
# sensor Resolution: 0.0011971008m/sec^2; Max Range: 39.2266; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.817 7.321 6.736 0
0.86 7.331 6.659 4
0.86 7.331 6.659 5
0.903 7.378 6.721 5
0.903 7.378 6.721 4
0.903 7.378 6.721 1
0.966 7.311 6.76 5
0.966 7.311 6.76 5
0.851 7.249 6.726 5
0.851 7.249 6.726 3
0.851 7.249 6.726 2
0.784 7.283 6.654 5
0.65 7.192 6.635 5
0.65 7.192 6.635 5
0.65 7.192 6.635 3
0.63 7.134 6.807 2
0.63 7.134 6.807 5
0.578 7.158 6.894 5
0.578 7.158 6.894 5
0.578 7.158 6.894 4
0.578 7.22 6.87 1
0.578 7.22 6.87 5
0.525 7.139 6.956 5
0.525 7.139 6.956 5
0.525 7.139 6.956 3
0.606 7.383 6.597 2
0.606 7.383 6.597 5
0.439 7.359 6.539 5
0.439 7.359 6.539 5
0.439 7.359 6.539 3
0.29 7.331 6.568 2
0.29 7.331 6.568 5
0.223 7.302 6.568 5
0.223 7.302 6.568 5
0.223 7.302 6.568 4
0.19 7.354 6.52 6
0.271 7.426 6.52 5
0.271 7.426 6.52 5
0.271 7.426 6.52 3
0.276 7.331 6.769 2
0.276 7.331 6.769 5
0.439 7.474 6.578 5
0.573 7.441 6.74 5
0.573 7.441 6.74 4
0.573 7.441 6.74 1
0.793 7.489 6.745 5
0.793 7.489 6.745 5
0.927 7.613 6.745 5
0.927 7.613 6.745 4
0.927 7.613 6.745 1
1.1 7.766 6.472 5
1.1 7.766 6.472 5
1.018 7.781 6.443 5
1.018 7.781 6.443 3
1.018 7.781 6.443 2
1.066 7.814 6.362 5
1.066 7.814 6.362 5
0.889 7.575 6.625 5
0.889 7.575 6.625 4
0.889 7.575 6.625 1
0.831 7.69 6.276 5
0.831 7.69 6.276 5
0.678 7.412 6.247 5
0.678 7.412 6.247 4
0.678 7.412 6.247 1
0.429 7.445 6.506 5
0.429 7.445 6.506 5
0.372 7.465 6.525 5
0.372 7.465 6.525 3
0.372 7.465 6.525 2
0.362 7.465 6.372 5
0.362 7.465 6.372 5
0.606 7.556 6.285 5
0.606 7.556 6.285 3
0.606 7.556 6.285 2
0.793 7.924 6.894 5
1.167 8.044 6.822 5
1.167 8.044 6.822 5
1.167 8.044 6.822 4
1.545 8.173 7.267 2
1.545 8.173 7.267 4
1.856 8.322 7.372 5
1.856 8.322 7.372 5
1.856 8.322 7.372 4
1.909 8.446 7.186 1
1.909 8.446 7.186 5
1.741 8.556 7.133 5
1.741 8.556 7.133 5
1.741 8.556 7.133 4
1.77 8.7 6.238 1
1.77 8.7 6.238 5
1.502 8.801 5.974 5
1.502 8.801 5.974 5
1.502 8.801 5.974 4
1.468 8.676 6.003 1
1.468 8.676 6.003 5
1.732 8.513 6.41 5
1.732 8.513 6.41 5
1.732 8.513 6.41 4
1.66 8.178 6.807 1
1.66 8.178 6.807 5
1.732 8.212 7.09 5
1.732 8.212 7.09 5
1.732 8.212 7.09 4
1.746 8.073 6.889 1
1.746 8.073 6.889 5
1.641 8.116 6.621 5
1.641 8.116 6.621 5
1.641 8.116 6.621 4
1.487 8.068 6.429 1
1.306 8.02 5.922 5
1.306 8.02 5.922 5
1.109 7.991 5.831 5
1.109 7.991 5.831 4
1.109 7.991 5.831 1
1.033 7.785 5.898 5
1.033 7.785 5.898 5
0.942 7.704 6.046 5
0.942 7.704 6.046 4
0.942 7.704 6.046 1
0.812 7.608 5.922 5
0.812 7.608 5.922 5
0.688 7.656 5.84 5
0.688 7.656 5.84 4
0.549 7.694 5.601 6
0.549 7.694 5.601 5
0.448 7.656 5.457 5
0.448 7.656 5.457 4
0.448 7.656 5.457 1
0.405 7.694 5.242 5
0.405 7.694 5.242 5
0.468 7.829 5.074 5
0.468 7.829 5.074 4
0.468 7.829 5.074 1
0.549 7.785 5.131 5
0.549 7.785 5.131 5
0.673 7.699 5.361 5
0.673 7.699 5.361 4
0.673 7.699 5.361 1
0.712 7.661 5.438 5
0.683 7.642 5.476 5
0.683 7.642 5.476 5
0.683 7.642 5.476 4
0.831 7.527 5.347 1
0.831 7.527 5.347 5
0.453 7.608 5.452 5
0.453 7.608 5.452 5
0.453 7.608 5.452 4
0.286 7.738 5.16 1
0.286 7.738 5.16 5
0.324 7.795 4.892 5
0.324 7.795 4.892 5
0.324 7.795 4.892 4
0.238 7.829 4.681 1
0.238 7.829 4.681 5
0.228 7.852 4.677 5
0.228 7.852 4.677 5
0.228 7.852 4.677 4
0.233 7.91 4.71 1
0.233 7.91 4.71 5
0.238 7.819 4.715 5
0.238 7.819 4.715 5
0.238 7.819 4.715 4
0.243 7.824 4.768 1
0.243 7.824 4.768 5
0.429 7.843 4.95 5
