# Accelerometer Data File
# Started @Thu Mar 30 19:11:00 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: ICM20610 Acceleration Sensor
# sensor Resolution: 0.0011971008m/sec^2; Max Range: 39.2266; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.448 5.41 8.1 0
0.448 5.41 8.1 3
0.487 5.372 8.335 6
0.501 5.2 8.613 5
0.501 5.2 8.613 3
0.501 5.2 8.613 5
0.477 5.166 8.795 1
0.477 5.166 8.795 6
0.482 5.133 8.862 5
0.482 5.133 8.862 3
0.482 5.133 8.862 1
0.515 5.185 8.526 6
0.515 5.185 8.526 4
0.554 5.363 8.249 5
0.554 5.363 8.249 4
0.554 5.363 8.249 1
0.654 5.43 7.851 5
0.654 5.43 7.851 6
0.611 5.458 7.751 5
0.611 5.458 7.751 3
0.611 5.458 7.751 1
0.573 5.444 7.674 5
0.573 5.444 7.674 6
0.63 5.42 7.875 5
0.63 5.42 7.875 3
0.63 5.42 7.875 1
0.75 5.453 8.21 5
0.75 5.453 8.21 5
0.846 5.425 8.474 5
0.846 5.425 8.474 4
0.846 5.425 8.474 1
0.76 5.363 8.574 5
0.76 5.363 8.574 6
0.741 5.339 8.565 5
0.741 5.339 8.565 3
0.669 5.319 8.503 1
0.669 5.319 8.503 5
0.76 5.377 8.45 6
0.76 5.377 8.45 5
0.76 5.377 8.45 3
0.836 5.41 8.512 2
0.836 5.41 8.512 5
0.884 5.41 8.507 5
0.884 5.41 8.507 5
0.884 5.41 8.507 3
0.836 5.463 8.33 2
0.836 5.463 8.33 5
0.764 5.477 8.21 5
0.764 5.477 8.21 5
0.764 5.477 8.21 3
0.64 5.439 8.172 2
0.64 5.439 8.172 5
0.463 5.473 8.129 5
0.463 5.473 8.129 5
0.463 5.473 8.129 3
0.262 5.477 8.182 2
0.262 5.477 8.182 5
0.113 5.53 8.1 5
0.113 5.53 8.1 5
0.113 5.53 8.1 3
0.18 5.65 7.928 2
0.18 5.65 7.928 5
0.199 5.712 8.115 5
0.199 5.712 8.115 5
0.199 5.712 8.115 3
0.147 5.688 8.368 2
0.142 5.64 8.459 5
0.142 5.64 8.459 5
0.104 5.583 8.613 5
0.104 5.583 8.613 3
0.104 5.583 8.613 2
0.017 5.568 8.665 5
0.017 5.568 8.665 5
0.046 5.449 8.498 5
0.046 5.449 8.498 3
0.046 5.449 8.498 2
-0.001 5.425 8.44 5
-0.001 5.425 8.44 5
0.128 5.506 8.321 5
0.128 5.506 8.321 3
0.128 5.506 8.321 2
0.142 5.592 8.244 5
0.142 5.592 8.244 5
0.051 5.592 8.052 5
0.051 5.592 8.052 3
0.051 5.592 8.052 2
0.027 5.597 8.052 5
0.027 5.597 8.052 5
-0.029 5.602 8.0 5
-0.029 5.602 8.0 3
-0.029 5.602 8.0 2
-0.025 5.506 8.038 5
-0.025 5.506 8.038 5
0.08 5.415 8.076 5
0.08 5.415 8.076 3
0.08 5.415 8.076 2
0.195 5.324 8.306 5
0.123 5.319 8.402 5
0.123 5.319 8.402 5
0.123 5.319 8.402 3
0.065 5.262 8.488 2
0.065 5.262 8.488 5
0.032 5.214 8.469 5
0.032 5.214 8.469 5
0.032 5.214 8.469 3
0.056 5.286 8.522 2
0.056 5.286 8.522 5
0.075 5.43 8.541 5
0.075 5.43 8.541 5
0.075 5.43 8.541 3
0.223 5.482 8.474 2
0.223 5.482 8.474 5
0.214 5.525 8.412 5
0.214 5.525 8.412 5
0.214 5.525 8.412 3
0.056 5.564 8.503 2
0.056 5.564 8.503 5
-0.101 5.664 8.493 5
-0.101 5.664 8.493 5
-0.101 5.664 8.493 3
-0.216 5.664 8.541 2
-0.216 5.664 8.541 5
-0.345 5.731 8.531 5
-0.345 5.731 8.531 5
-0.345 5.731 8.531 3
-0.441 5.784 8.421 2
-0.441 5.784 8.421 5
-0.322 5.803 8.469 5
-0.168 5.798 8.455 5
-0.168 5.798 8.455 3
-0.168 5.798 8.455 2
-0.034 5.822 8.589 5
-0.034 5.822 8.589 5
0.003 5.865 8.627 5
0.003 5.865 8.627 3
0.003 5.865 8.627 2
-0.029 5.87 8.617 5
-0.029 5.87 8.617 5
-0.049 5.851 8.407 5
-0.049 5.851 8.407 3
-0.049 5.851 8.407 2
-0.077 5.928 8.182 5
-0.077 5.928 8.182 5
-0.149 5.889 8.009 5
-0.149 5.889 8.009 3
-0.149 5.889 8.009 2
-0.111 5.875 7.875 5
-0.111 5.875 7.875 5
-0.154 5.827 8.0 5
-0.154 5.827 8.0 4
-0.154 5.827 8.0 1
-0.235 5.659 8.321 5
-0.235 5.659 8.321 6
-0.317 5.616 8.397 5
-0.317 5.616 8.397 2
-0.317 5.616 8.397 2
-0.379 5.578 8.402 5
-0.379 5.578 8.402 5
-0.432 5.501 8.364 5
-0.432 5.501 8.364 3
-0.489 5.377 8.273 2
-0.489 5.377 8.273 5
-0.585 5.276 8.206 5
-0.585 5.276 8.206 5
-0.585 5.276 8.206 3
-0.776 5.348 7.947 2
-0.776 5.348 7.947 5
-0.858 5.363 7.66 5
-0.858 5.363 7.66 5
-0.858 5.363 7.66 3
-0.872 5.391 7.478 2
-0.872 5.391 7.478 5
-0.772 5.377 7.325 5
-0.772 5.377 7.325 5
-0.772 5.377 7.325 3
-0.59 5.31 7.535 2
-0.59 5.31 7.535 5
-0.384 5.204 7.933 5
-0.384 5.204 7.933 5
-0.384 5.204 7.933 3
-0.245 5.085 8.321 2
-0.245 5.085 8.321 5
-0.106 4.979 8.431 5
-0.106 4.979 8.431 5
-0.106 4.979 8.431 3
-0.278 4.955 8.148 2
-0.278 4.955 8.148 5
-0.322 4.97 7.588 5
-0.322 4.97 7.588 5
-0.322 4.97 7.588 4
-0.398 5.142 7.123 1
-0.207 5.43 6.702 5
-0.207 5.43 6.702 5
-0.159 5.679 6.635 5
-0.159 5.679 6.635 4
-0.159 5.679 6.635 1
-0.159 5.851 6.75 5
-0.159 5.851 6.75 6
-0.13 5.827 6.822 5
-0.13 5.827 6.822 2
-0.13 5.827 6.822 2
-0.24 5.736 6.961 5
-0.24 5.736 6.961 5
-0.307 5.664 7.358 5
-0.307 5.664 7.358 3
-0.307 5.664 7.358 2
-0.302 5.626 7.703 5
-0.302 5.626 7.703 5
-0.259 5.564 7.928 5
-0.259 5.564 7.928 4
-0.259 5.564 7.928 1
-0.159 5.602 7.985 5
-0.159 5.602 7.985 5
0.056 5.578 7.947 5
0.056 5.578 7.947 4
0.056 5.578 7.947 1
0.18 5.588 8.095 5
0.18 5.588 8.095 5
