# Accelerometer Data File
# Started @Thu Mar 30 19:10:15 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: ICM20610 Acceleration Sensor
# sensor Resolution: 0.0011971008m/sec^2; Max Range: 39.2266; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.496 7.656 5.979 0
0.496 7.656 5.979 4
0.597 7.699 5.907 5
0.597 7.699 5.907 5
0.597 7.699 5.907 3
0.707 7.781 5.869 2
0.707 7.781 5.869 5
0.764 7.795 5.998 5
0.764 7.795 5.998 5
0.764 7.795 5.998 3
0.908 7.886 6.285 2
0.908 7.886 6.285 5
0.803 7.795 6.448 5
0.745 7.757 6.41 5
0.745 7.757 6.41 3
0.745 7.757 6.41 2
0.774 7.762 6.482 5
0.774 7.762 6.482 5
0.712 7.915 6.429 5
0.712 7.915 6.429 3
0.712 7.915 6.429 2
0.678 7.891 6.295 5
0.678 7.891 6.295 5
0.573 7.848 6.319 5
0.573 7.848 6.319 3
0.573 7.848 6.319 2
0.712 7.929 6.472 5
0.712 7.929 6.472 5
0.836 7.943 6.376 5
0.836 7.943 6.376 3
0.836 7.943 6.376 2
0.903 7.891 6.396 5
0.903 7.891 6.396 5
0.899 7.872 6.218 5
0.899 7.872 6.218 3
0.899 7.872 6.218 2
0.808 7.848 6.252 5
0.808 7.848 6.252 5
0.659 7.8 6.41 5
0.659 7.8 6.41 3
0.659 7.8 6.41 2
0.626 7.556 6.391 5
0.626 7.556 6.391 5
0.673 7.575 6.29 5
0.673 7.575 6.29 3
0.626 7.594 6.147 2
0.626 7.594 6.147 5
0.659 7.536 6.056 5
0.659 7.536 6.056 5
0.659 7.536 6.056 3
0.731 7.503 5.941 2
0.731 7.503 5.941 5
0.889 7.551 5.898 5
0.889 7.551 5.898 5
0.889 7.551 5.898 3
0.86 7.58 6.017 2
0.86 7.58 6.017 5
0.793 7.56 6.123 5
0.793 7.56 6.123 5
0.793 7.56 6.123 3
0.626 7.517 6.242 5
0.626 7.517 6.242 2
0.539 7.508 6.204 5
0.539 7.508 6.204 5
0.539 7.508 6.204 3
0.482 7.46 6.233 2
0.482 7.46 6.233 5
0.535 7.503 6.084 5
0.535 7.503 6.084 5
0.535 7.503 6.084 3
0.597 7.551 6.065 2
0.597 7.551 6.065 5
0.65 7.56 6.099 5
0.65 7.56 6.099 5
0.65 7.56 6.099 3
0.645 7.57 6.132 2
0.563 7.565 6.132 5
0.563 7.565 6.132 5
0.448 7.584 6.099 5
0.448 7.584 6.099 3
0.448 7.584 6.099 2
0.3 7.632 6.108 5
0.3 7.632 6.108 5
0.367 7.642 6.209 5
0.367 7.642 6.209 3
0.367 7.642 6.209 2
0.41 7.671 6.362 5
0.41 7.671 6.362 5
0.42 7.627 6.53 5
0.42 7.627 6.53 3
0.42 7.627 6.53 2
0.367 7.589 6.635 5
0.367 7.589 6.635 5
0.501 7.623 6.64 5
0.501 7.623 6.64 3
0.501 7.623 6.64 2
0.664 7.785 6.64 5
0.664 7.785 6.64 5
0.664 7.958 6.501 5
0.664 7.958 6.501 3
0.664 7.958 6.501 2
0.63 8.054 6.343 5
0.63 8.054 6.343 6
