# Accelerometer Data File
# Started @Thu Mar 30 19:09:25 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: ICM20610 Acceleration Sensor
# sensor Resolution: 0.0011971008m/sec^2; Max Range: 39.2266; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.784 5.688 8.44 0
0.616 5.65 8.321 5
0.616 5.65 8.321 5
0.616 5.65 8.321 3
0.611 5.612 8.287 2
0.803 5.612 8.249 5
0.803 5.612 8.249 5
0.764 5.573 8.186 5
0.764 5.573 8.186 3
0.764 5.573 8.186 2
0.76 5.463 8.072 5
0.76 5.463 8.072 5
0.86 5.53 8.143 5
0.86 5.53 8.143 3
0.86 5.53 8.143 2
0.86 5.549 8.215 5
0.86 5.549 8.215 5
0.755 5.458 7.99 5
0.755 5.458 7.99 3
0.755 5.458 7.99 2
0.52 5.142 7.842 5
0.52 5.142 7.842 5
0.693 5.635 7.621 5
0.693 5.635 7.621 3
0.693 5.635 7.621 2
0.86 5.717 7.784 5
0.86 5.717 7.784 5
1.219 5.195 7.784 5
1.219 5.195 7.784 3
1.219 5.195 7.784 2
1.191 5.793 7.909 5
1.191 5.793 7.909 5
1.238 5.99 7.89 5
1.238 5.99 7.89 3
1.238 5.99 7.89 2
1.267 5.865 7.87 5
1.023 5.75 7.99 5
1.023 5.75 7.99 5
1.023 5.75 7.99 3
0.741 5.631 8.009 2
0.741 5.631 8.009 5
0.63 5.602 7.985 5
0.63 5.602 7.985 5
0.63 5.602 7.985 3
0.573 5.588 7.957 2
0.573 5.588 7.957 5
0.697 5.659 7.89 5
0.697 5.659 7.89 5
0.697 5.659 7.89 3
0.721 5.698 7.813 2
0.721 5.698 7.813 5
0.774 5.717 7.832 5
0.774 5.717 7.832 5
0.774 5.717 7.832 3
0.779 5.635 7.947 2
0.779 5.635 7.947 5
0.808 5.559 8.014 5
0.808 5.559 8.014 5
0.808 5.559 8.014 3
0.683 5.492 8.139 2
0.683 5.492 8.139 5
0.549 5.415 8.177 5
0.549 5.415 8.177 5
0.549 5.415 8.177 3
0.468 5.453 8.052 2
0.468 5.453 8.052 5
0.262 5.54 8.067 5
0.305 5.626 7.712 5
0.305 5.626 7.712 3
0.305 5.626 7.712 2
0.63 5.76 7.684 5
0.63 5.76 7.684 5
0.99 5.913 7.741 5
0.99 5.913 7.741 3
0.99 5.913 7.741 2
1.234 5.932 7.899 5
1.234 5.932 7.899 5
1.167 5.779 8.019 5
1.167 5.779 8.019 3
1.167 5.779 8.019 2
0.98 5.674 8.091 5
0.98 5.674 8.091 5
0.731 5.559 8.057 5
0.731 5.559 8.057 3
0.731 5.559 8.057 2
0.803 5.597 7.846 5
0.803 5.597 7.846 5
0.937 5.645 7.76 5
0.937 5.645 7.76 3
0.937 5.645 7.76 2
0.956 5.717 7.799 5
0.956 5.717 7.799 5
0.999 5.683 7.784 5
0.999 5.683 7.784 3
0.999 5.683 7.784 2
0.961 5.655 7.88 5
0.961 5.655 7.88 5
0.932 5.616 7.914 5
0.932 5.616 7.914 3
0.994 5.731 7.751 2
0.994 5.731 7.751 5
1.152 5.837 7.765 5
1.152 5.837 7.765 5
1.152 5.837 7.765 3
1.066 5.846 7.779 2
1.066 5.846 7.779 5
0.851 5.817 7.641 5
0.851 5.817 7.641 5
0.851 5.817 7.641 3
0.621 5.755 7.483 2
0.621 5.755 7.483 5
0.554 5.659 7.406 5
0.554 5.659 7.406 5
0.554 5.659 7.406 3
0.616 5.76 7.521 2
0.616 5.76 7.521 5
0.697 5.827 7.463 5
0.697 5.827 7.463 5
0.697 5.827 7.463 3
0.803 5.798 7.492 2
0.803 5.798 7.492 5
0.755 5.846 7.583 6
