# Accelerometer Data File
# Started @Sun Mar 26 22:20:13 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: ICM20610 Acceleration Sensor
# sensor Resolution: 0.0011971008m/sec^2; Max Range: 39.2266; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
1.167 6.239 7.392 0
1.167 6.239 7.392 4
1.124 6.229 7.334 5
1.124 6.229 7.334 5
1.124 6.229 7.334 4
1.138 6.253 7.325 1
1.138 6.253 7.325 5
1.157 6.215 7.363 5
1.157 6.215 7.363 5
1.157 6.215 7.363 3
1.104 6.22 7.377 2
1.104 6.22 7.377 5
1.205 6.253 7.444 5
1.21 6.244 7.535 5
1.21 6.244 7.535 3
1.21 6.244 7.535 2
1.181 6.234 7.497 5
1.181 6.234 7.497 5
1.119 6.234 7.416 5
1.119 6.234 7.416 4
1.119 6.234 7.416 1
1.076 6.258 7.291 5
1.076 6.258 7.291 5
1.1 6.248 7.248 5
1.1 6.248 7.248 3
1.1 6.248 7.248 2
1.128 6.234 7.483 5
1.128 6.234 7.483 5
1.09 6.196 7.406 5
1.09 6.196 7.406 3
1.09 6.196 7.406 2
1.018 6.162 7.435 5
1.018 6.162 7.435 5
0.942 6.191 7.296 5
0.942 6.191 7.296 4
0.899 6.162 7.301 6
0.899 6.162 7.301 5
0.908 6.148 7.291 5
0.908 6.148 7.291 3
0.908 6.148 7.291 2
0.942 6.1 7.43 5
0.942 6.1 7.43 5
1.042 6.114 7.521 5
1.042 6.114 7.521 4
1.071 6.129 7.607 1
1.071 6.129 7.607 5
1.028 6.11 7.665 5
1.028 6.11 7.665 5
1.028 6.11 7.665 4
0.98 6.133 7.66 1
0.98 6.133 7.66 5
0.927 6.157 7.54 5
0.927 6.157 7.54 5
0.927 6.157 7.54 3
0.827 6.181 7.468 2
0.827 6.181 7.468 5
0.855 6.239 7.516 5
0.855 6.239 7.516 5
0.855 6.239 7.516 3
0.884 6.148 7.66 2
0.884 6.148 7.66 5
0.899 6.148 7.846 5
0.899 6.148 7.846 5
0.899 6.148 7.846 4
0.726 6.038 8.009 1
0.726 6.038 8.009 5
0.808 6.1 8.153 5
0.808 6.1 8.153 5
0.808 6.1 8.153 3
0.817 6.119 8.244 2
0.817 6.119 8.244 5
0.918 6.253 8.143 5
0.918 6.253 8.143 5
0.918 6.253 8.143 4
0.956 6.315 8.158 1
0.956 6.315 8.158 5
1.085 6.502 8.095 5
1.2 6.464 8.277 5
1.2 6.464 8.277 4
1.248 6.392 8.483 6
1.248 6.392 8.483 5
1.205 6.478 8.459 5
1.205 6.478 8.459 4
1.205 6.478 8.459 1
1.186 6.502 8.488 5
1.186 6.502 8.488 5
1.334 6.593 8.287 5
1.334 6.593 8.287 4
1.334 6.593 8.287 1
1.234 6.545 8.239 5
1.234 6.545 8.239 5
1.2 6.464 8.273 5
1.2 6.464 8.273 4
1.2 6.464 8.273 1
1.205 6.402 8.258 5
1.205 6.402 8.258 5
1.143 6.306 8.206 5
1.143 6.306 8.206 4
1.143 6.306 8.206 1
1.143 6.277 8.129 5
1.143 6.277 8.129 5
1.167 6.33 7.976 5
1.167 6.33 7.976 4
1.167 6.33 7.976 1
1.138 6.296 7.832 5
1.138 6.296 7.832 5
1.167 6.229 7.803 5
1.167 6.229 7.803 4
1.071 6.167 7.693 1
1.071 6.167 7.693 5
0.875 6.071 7.564 5
0.875 6.071 7.564 5
0.875 6.071 7.564 4
0.75 5.971 7.468 1
0.75 5.971 7.468 5
0.707 5.947 7.387 5
0.707 5.947 7.387 5
0.707 5.947 7.387 4
0.63 5.88 7.392 1
0.63 5.88 7.392 5
0.669 5.884 7.377 5
0.669 5.884 7.377 5
0.669 5.884 7.377 4
0.64 5.846 7.353 2
0.64 5.846 7.353 4
0.65 5.851 7.377 5
0.65 5.851 7.377 5
0.65 5.851 7.377 4
0.611 5.837 7.42 1
0.611 5.837 7.42 5
0.53 5.755 7.473 5
0.53 5.755 7.473 5
0.53 5.755 7.473 4
0.482 5.707 7.478 1
0.482 5.707 7.478 5
0.578 5.659 7.607 5
0.578 5.659 7.607 5
0.578 5.659 7.607 4
0.578 5.707 7.631 2
0.578 5.707 7.631 4
0.525 5.688 7.545 5
0.367 5.664 7.416 5
0.367 5.664 7.416 4
0.367 5.664 7.416 1
0.243 5.578 7.516 5
0.243 5.578 7.516 5
0.147 5.616 7.554 5
0.147 5.616 7.554 4
0.147 5.616 7.554 1
0.262 5.597 7.597 5
0.262 5.597 7.597 5
0.271 5.626 7.736 5
0.271 5.626 7.736 4
0.271 5.626 7.736 1
0.243 5.631 7.631 5
0.243 5.631 7.631 5
0.377 5.698 7.602 5
