# Accelerometer Data File
# Started @Fri Mar 31 10:01:41 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: ICM20610 Acceleration Sensor
# sensor Resolution: 0.0011971008m/sec^2; Max Range: 39.2266; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.149 7.168 6.669 0
-0.149 7.168 6.669 1
-0.173 7.062 6.922 5
-0.173 7.062 6.922 5
-0.187 7.048 6.98 5
-0.187 7.048 6.98 3
-0.187 7.048 6.98 2
-0.14 7.11 7.013 5
-0.14 7.11 7.013 5
-0.154 7.182 6.812 5
-0.154 7.182 6.812 3
-0.154 7.182 6.812 2
-0.264 7.192 6.74 5
-0.264 7.192 6.74 5
-0.254 7.24 6.549 5
-0.254 7.24 6.549 3
-0.254 7.24 6.549 2
-0.264 7.264 6.506 5
-0.264 7.264 6.506 5
-0.302 7.244 6.578 5
-0.302 7.244 6.578 3
-0.326 7.287 6.64 2
-0.326 7.287 6.64 5
-0.245 7.297 6.573 5
-0.245 7.297 6.573 5
-0.245 7.297 6.573 3
-0.087 7.302 6.855 2
-0.087 7.302 6.855 5
0.022 7.335 6.807 5
0.022 7.335 6.807 5
0.022 7.335 6.807 4
-0.01 7.307 6.965 1
-0.01 7.307 6.965 5
-0.015 7.249 6.908 5
-0.015 7.249 6.908 5
-0.015 7.249 6.908 3
-0.044 7.292 6.874 2
-0.044 7.292 6.874 5
0.017 7.211 6.745 5
0.017 7.211 6.745 5
0.017 7.211 6.745 3
0.18 7.287 6.582 2
0.18 7.287 6.582 5
0.247 7.493 6.472 5
0.247 7.493 6.472 5
0.247 7.493 6.472 4
0.161 7.374 6.257 1
0.161 7.374 6.257 5
-0.12 7.35 6.29 5
-0.12 7.35 6.29 5
-0.12 7.35 6.29 3
-0.187 7.201 6.314 2
-0.226 7.005 6.482 5
-0.226 7.005 6.482 5
-0.164 7.01 6.889 5
-0.164 7.01 6.889 3
-0.164 7.01 6.889 2
0.061 6.794 7.08 5
0.061 6.794 7.08 5
0.252 6.789 7.43 5
0.252 6.789 7.43 3
0.252 6.789 7.43 2
0.329 6.775 7.435 5
0.329 6.775 7.435 5
0.271 6.909 7.416 5
0.271 6.909 7.416 3
0.271 6.909 7.416 2
0.147 6.842 7.483 5
0.147 6.842 7.483 5
0.31 6.933 7.267 5
0.31 6.933 7.267 3
0.31 6.933 7.267 2
0.329 6.986 7.459 5
0.329 6.986 7.459 5
0.314 6.852 7.703 5
0.314 6.852 7.703 4
0.314 6.852 7.703 1
0.233 6.928 7.588 5
0.233 6.928 7.588 5
0.228 6.957 7.454 5
0.228 6.957 7.454 3
0.195 7.034 7.205 2
0.195 7.034 7.205 5
0.108 7.024 7.109 5
0.108 7.024 7.109 5
0.108 7.024 7.109 3
0.089 7.038 6.975 2
0.089 7.038 6.975 5
0.056 7.034 6.932 5
0.056 7.034 6.932 5
0.056 7.034 6.932 4
0.065 7.01 6.908 1
0.065 7.01 6.908 5
0.017 7.005 6.965 5
0.017 7.005 6.965 5
0.017 7.005 6.965 3
-0.058 6.909 7.08 2
-0.058 6.909 7.08 5
-0.149 6.852 7.042 5
-0.149 6.852 7.042 5
-0.149 6.852 7.042 4
-0.207 6.861 6.989 1
-0.207 6.861 6.989 5
-0.192 6.928 6.807 5
-0.192 6.928 6.807 5
-0.192 6.928 6.807 4
-0.207 6.928 6.721 1
-0.207 6.928 6.721 5
-0.187 6.914 6.683 5
-0.187 6.914 6.683 5
-0.187 6.914 6.683 4
0.084 6.967 6.769 1
0.152 6.991 6.941 5
0.152 6.991 6.941 5
0.07 6.876 7.042 5
0.07 6.876 7.042 4
0.07 6.876 7.042 1
0.022 6.833 7.013 6
0.022 6.833 7.013 4
-0.053 6.837 6.965 5
-0.053 6.837 6.965 4
-0.053 6.837 6.965 1
-0.183 6.751 6.961 5
-0.183 6.751 6.961 5
-0.216 6.737 6.989 5
-0.216 6.737 6.989 4
-0.216 6.737 6.989 1
-0.154 6.766 7.042 5
-0.154 6.766 7.042 5
-0.082 6.847 6.98 5
-0.082 6.847 6.98 4
-0.082 6.847 6.98 1
-0.01 6.9 6.894 6
-0.01 6.9 6.894 4
0.017 6.943 6.807 5
0.017 6.943 6.807 4
0.017 6.943 6.807 1
-0.077 6.943 6.841 5
-0.077 6.943 6.841 5
-0.063 6.976 6.851 5
-0.063 6.976 6.851 4
-0.063 6.976 6.851 1
0.003 7.01 6.918 5
-0.077 6.991 6.951 5
