# Accelerometer Data File
# Started @Thu Mar 30 19:06:51 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: ICM20610 Acceleration Sensor
# sensor Resolution: 0.0011971008m/sec^2; Max Range: 39.2266; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
1.842 3.251 9.91 0
1.842 3.251 9.91 5
1.842 3.251 9.91 3
1.909 3.15 10.193 1
1.909 3.15 10.193 5
1.77 3.069 10.389 5
1.77 3.069 10.389 5
1.77 3.069 10.389 4
1.55 3.016 10.423 1
1.55 3.016 10.423 5
1.31 2.997 10.207 5
1.31 2.997 10.207 5
1.31 2.997 10.207 4
1.186 3.141 9.848 1
1.186 3.141 9.848 5
1.066 3.265 9.585 5
1.066 3.265 9.585 5
1.066 3.265 9.585 4
1.176 3.366 9.417 1
1.162 3.418 9.441 5
1.162 3.418 9.441 5
1.004 3.38 9.278 5
1.004 3.38 9.278 4
1.004 3.38 9.278 1
0.822 3.294 9.269 5
0.822 3.294 9.269 5
0.812 3.189 9.436 5
0.812 3.189 9.436 4
0.812 3.189 9.436 1
0.98 3.107 9.455 5
0.98 3.107 9.455 5
1.143 3.078 9.508 5
1.143 3.078 9.508 4
1.143 3.078 9.508 1
1.205 3.055 9.513 5
1.205 3.055 9.513 5
1.152 3.021 9.57 5
1.152 3.021 9.57 4
1.152 3.021 9.57 1
1.167 2.964 9.781 5
1.167 2.964 9.781 5
1.267 2.935 9.958 5
1.267 2.935 9.958 4
1.267 2.935 9.958 1
1.306 2.935 9.757 5
1.306 2.935 9.757 5
1.406 3.05 9.412 5
1.406 3.05 9.412 4
1.406 3.05 9.412 1
1.329 3.126 9.192 5
1.124 3.179 8.895 6
1.124 3.179 8.895 5
1.124 3.179 8.895 3
1.052 3.155 8.517 1
1.052 3.155 8.517 5
1.301 3.155 8.129 5
1.301 3.155 8.129 5
1.301 3.155 8.129 4
3.47 2.858 6.764 1
3.47 2.858 6.764 5
0.582 3.409 9.211 5
0.582 3.409 9.211 5
0.582 3.409 9.211 4
0.793 3.356 9.226 1
0.793 3.356 9.226 5
0.377 2.868 9.297 6
0.377 2.868 9.297 5
0.377 2.868 9.297 3
0.702 2.609 9.589 1
0.702 2.609 9.589 5
1.061 2.82 9.408 5
1.061 2.82 9.408 5
1.061 2.82 9.408 4
1.329 3.083 9.312 1
1.329 3.083 9.312 5
1.43 3.208 9.029 6
1.43 3.208 9.029 5
1.43 3.208 9.029 3
1.387 3.126 8.708 1
1.387 3.126 8.708 5
1.334 3.045 8.684 6
1.296 3.007 8.905 5
1.296 3.007 8.905 3
1.296 3.007 8.905 1
1.296 3.031 9.173 5
1.296 3.031 9.173 5
1.262 2.949 9.743 5
1.262 2.949 9.743 4
1.262 2.949 9.743 1
1.243 2.992 10.222 5
1.243 2.992 10.222 6
1.411 3.035 10.054 5
1.411 3.035 10.054 3
1.411 3.035 10.054 2
1.473 3.131 9.771 4
1.473 3.131 9.771 6
1.449 3.184 9.398 5
1.449 3.184 9.398 3
1.449 3.184 9.398 2
1.329 3.198 9.307 5
1.329 3.198 9.307 5
1.286 3.303 9.235 5
1.286 3.303 9.235 3
1.286 3.303 9.235 2
1.329 3.371 9.063 5
1.329 3.371 9.063 5
1.363 3.524 8.881 5
1.363 3.524 8.881 3
1.363 3.524 8.881 2
1.444 3.653 8.708 5
1.444 3.653 8.708 5
1.459 3.715 8.656 5
1.459 3.715 8.656 3
1.444 3.72 8.742 2
1.444 3.72 8.742 5
1.262 3.61 8.886 5
1.262 3.61 8.886 5
1.262 3.61 8.886 3
1.186 3.533 8.871 2
1.186 3.533 8.871 5
1.219 3.485 9.206 5
1.219 3.485 9.206 5
1.219 3.485 9.206 3
1.234 3.399 9.245 2
1.234 3.399 9.245 5
1.21 3.351 9.34 5
1.21 3.351 9.34 5
1.21 3.351 9.34 3
1.215 3.347 9.221 2
1.215 3.347 9.221 5
1.238 3.332 9.302 5
1.238 3.332 9.302 5
1.238 3.332 9.302 3
1.21 3.356 9.235 2
1.21 3.356 9.235 5
1.167 3.371 9.111 5
1.167 3.371 9.111 5
1.167 3.371 9.111 3
1.095 3.433 8.981 2
1.095 3.433 8.981 5
0.97 3.466 9.139 5
0.97 3.466 9.139 5
0.97 3.466 9.139 3
0.855 3.332 9.23 2
0.87 3.299 9.436 5
0.87 3.299 9.436 5
0.961 3.347 9.513 5
0.961 3.347 9.513 3
0.961 3.347 9.513 2
0.98 3.303 9.503 5
0.98 3.303 9.503 5
1.018 3.222 9.465 5
1.018 3.222 9.465 3
1.018 3.222 9.465 2
0.994 3.112 9.388 5
0.994 3.112 9.388 5
0.97 3.088 9.35 5
0.97 3.088 9.35 4
0.97 3.088 9.35 1
1.052 3.083 9.412 5
1.052 3.083 9.412 5
1.148 2.992 9.642 5
1.148 2.992 9.642 3
1.148 2.992 9.642 2
1.124 2.93 9.68 5
1.124 2.93 9.68 5
1.181 2.858 9.747 5
1.181 2.858 9.747 3
1.181 2.858 9.747 2
1.143 2.786 9.623 5
1.143 2.786 9.623 5
1.2 2.877 9.484 5
1.2 2.877 9.484 3
1.2 2.877 9.484 2
1.171 2.92 9.135 5
1.238 3.016 8.991 5
1.238 3.016 8.991 5
1.238 3.016 8.991 3
1.219 3.126 9.005 2
1.219 3.126 9.005 5
1.124 3.102 9.206 5
1.124 3.102 9.206 5
1.124 3.102 9.206 3
1.033 3.007 9.226 2
1.033 3.007 9.226 5
1.013 2.997 9.197 5
1.013 2.997 9.197 5
1.013 2.997 9.197 3
1.095 3.05 9.197 2
1.095 3.05 9.197 5
1.234 3.107 9.111 5
1.234 3.107 9.111 5
1.234 3.107 9.111 4
1.248 3.141 9.192 1
1.248 3.141 9.192 5
1.085 3.078 9.206 5
1.085 3.078 9.206 5
1.085 3.078 9.206 3
0.855 3.04 9.044 2
0.855 3.04 9.044 5
0.87 3.088 9.044 5
0.87 3.088 9.044 5
0.87 3.088 9.044 4
0.903 3.16 9.312 1
0.903 3.16 9.312 5
1.181 3.198 9.498 5
1.181 3.198 9.498 5
1.181 3.198 9.498 3
1.306 3.213 9.671 2
1.435 3.299 9.599 5
1.435 3.299 9.599 5
1.368 3.275 9.609 5
1.368 3.275 9.609 3
1.368 3.275 9.609 2
1.162 3.208 9.613 5
1.162 3.208 9.613 5
1.1 3.05 9.494 5
1.1 3.05 9.494 3
1.1 3.05 9.494 2
1.004 3.016 9.446 5
1.004 3.016 9.446 5
1.1 2.92 9.566 5
1.1 2.92 9.566 3
1.1 2.92 9.566 2
1.181 2.911 9.709 5
1.181 2.911 9.709 5
1.243 2.834 9.666 5
1.243 2.834 9.666 3
1.243 2.834 9.666 2
1.071 2.81 9.719 5
1.071 2.81 9.719 5
0.985 2.829 9.628 5
0.985 2.829 9.628 3
0.985 2.829 9.628 2
0.956 2.815 9.566 5
0.956 2.815 9.566 5
1.09 2.786 9.57 5
1.09 2.786 9.57 4
1.2 2.882 9.503 1
1.2 2.882 9.503 5
1.219 2.94 9.35 5
1.219 2.94 9.35 5
