# Accelerometer Data File
# Started @Thu Mar 30 19:08:14 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: ICM20610 Acceleration Sensor
# sensor Resolution: 0.0011971008m/sec^2; Max Range: 39.2266; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
1.507 1.991 9.546 0
1.507 1.991 9.546 5
1.511 1.91 9.585 5
1.511 1.91 9.585 3
1.511 1.91 9.585 2
1.487 1.9 9.609 5
1.487 1.9 9.609 5
1.487 1.896 9.532 5
1.487 1.896 9.532 3
1.487 1.896 9.532 2
1.54 1.939 9.489 5
1.54 1.939 9.489 5
1.473 1.948 9.542 5
1.473 1.948 9.542 3
1.473 1.948 9.542 2
1.44 1.977 9.642 5
1.44 1.977 9.642 5
1.43 1.996 9.599 5
1.43 1.996 9.599 3
1.43 1.996 9.599 2
1.329 1.929 9.633 5
1.329 1.929 9.633 5
1.267 1.91 9.599 5
1.267 1.91 9.599 3
1.267 1.91 9.599 2
1.243 1.982 9.489 5
1.243 1.982 9.489 5
1.143 1.972 9.431 5
1.143 1.972 9.431 3
1.215 1.929 9.58 2
1.215 1.929 9.58 5
1.215 1.91 9.642 5
1.215 1.91 9.642 5
1.215 1.91 9.642 3
1.262 1.838 9.661 2
1.262 1.838 9.661 5
1.31 1.829 9.901 5
1.31 1.829 9.901 5
1.31 1.829 9.901 3
1.215 1.819 9.886 2
1.215 1.819 9.886 5
1.306 1.881 9.882 5
1.306 1.881 9.882 5
1.306 1.881 9.882 3
1.238 1.656 9.661 2
1.238 1.656 9.661 5
1.478 1.589 9.513 5
1.478 1.589 9.513 5
1.478 1.589 9.513 3
1.397 1.675 9.561 2
1.397 1.675 9.561 5
1.459 1.68 9.637 5
1.459 1.68 9.637 5
1.459 1.68 9.637 3
1.574 1.628 9.661 2
1.574 1.628 9.661 5
1.703 1.699 9.685 5
1.703 1.699 9.685 5
1.703 1.699 9.685 3
1.756 1.699 9.838 2
1.732 1.738 9.906 5
1.732 1.738 9.906 5
1.636 1.805 9.69 5
1.636 1.805 9.69 3
1.636 1.805 9.69 2
1.42 1.805 9.498 5
1.42 1.805 9.498 5
1.2 1.8 9.264 5
1.2 1.8 9.264 3
1.2 1.8 9.264 2
1.152 1.867 9.197 5
1.152 1.867 9.197 5
1.018 1.857 9.087 5
1.018 1.857 9.087 3
1.018 1.857 9.087 2
0.942 1.929 9.245 5
0.942 1.929 9.245 5
0.99 1.944 9.269 5
0.99 1.944 9.269 3
0.99 1.944 9.269 2
0.899 1.872 9.412 5
0.899 1.872 9.412 5
0.922 1.79 9.613 5
0.922 1.79 9.613 3
0.922 1.79 9.613 2
0.784 1.675 9.623 5
0.784 1.675 9.623 5
0.784 1.556 9.695 5
0.784 1.556 9.695 3
0.784 1.556 9.695 2
0.855 1.455 9.848 5
1.018 1.407 9.891 5
1.018 1.407 9.891 5
1.018 1.407 9.891 3
1.128 1.436 9.996 2
1.128 1.436 9.996 5
1.229 1.455 10.102 5
1.229 1.455 10.102 5
1.229 1.455 10.102 3
1.291 1.388 10.078 2
1.291 1.388 10.078 5
1.205 1.489 10.044 5
1.205 1.489 10.044 5
1.205 1.489 10.044 3
1.071 1.522 9.968 2
1.071 1.522 9.968 5
1.124 1.546 9.647 5
1.124 1.546 9.647 5
1.124 1.546 9.647 3
1.076 1.623 9.594 2
1.076 1.623 9.594 5
1.167 1.709 9.522 5
1.167 1.709 9.522 5
1.167 1.709 9.522 3
1.286 1.757 9.599 2
1.286 1.757 9.599 5
1.282 1.781 9.704 5
1.282 1.781 9.704 5
1.282 1.781 9.704 3
1.315 1.747 9.795 2
1.315 1.747 9.795 5
1.373 1.738 9.815 5
1.339 1.747 9.795 5
1.339 1.747 9.795 3
1.339 1.747 9.795 3
1.291 1.69 9.647 4
1.291 1.69 9.647 5
1.267 1.675 9.508 5
1.267 1.675 9.508 3
1.267 1.675 9.508 2
1.272 1.675 9.537 5
1.272 1.675 9.537 5
1.301 1.623 9.633 5
1.301 1.623 9.633 3
1.301 1.623 9.633 2
1.387 1.58 9.546 5
1.387 1.58 9.546 5
1.344 1.541 9.676 5
1.344 1.541 9.676 3
1.344 1.541 9.676 2
1.282 1.474 9.657 5
1.282 1.474 9.657 5
1.205 1.441 9.637 5
1.205 1.441 9.637 3
1.205 1.441 9.637 2
1.167 1.479 9.513 5
1.167 1.479 9.513 5
1.114 1.513 9.527 5
1.114 1.513 9.527 3
1.114 1.513 9.527 2
1.133 1.584 9.58 5
1.114 1.666 9.58 6
1.114 1.666 9.58 5
1.114 1.666 9.58 2
1.028 1.704 9.642 2
1.028 1.704 9.642 5
0.985 1.709 9.551 5
0.985 1.709 9.551 5
0.985 1.709 9.551 3
0.942 1.747 9.475 2
0.942 1.747 9.475 5
0.97 1.757 9.412 5
0.97 1.757 9.412 5
0.97 1.757 9.412 4
1.052 1.671 9.398 1
1.052 1.671 9.398 5
1.128 1.58 9.604 5
1.128 1.58 9.604 5
1.128 1.58 9.604 4
1.176 1.537 9.661 1
1.176 1.537 9.661 5
1.272 1.403 9.834 6
1.272 1.403 9.834 5
1.272 1.403 9.834 3
1.334 1.369 10.121 1
1.334 1.369 10.121 5
1.382 1.302 10.169 5
1.382 1.302 10.169 5
1.382 1.302 10.169 4
1.473 1.374 10.193 1
1.473 1.374 10.193 5
1.487 1.383 10.384 5
1.487 1.383 10.384 5
