# Accelerometer Data File
# Started @Thu Mar 30 19:07:34 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: ICM20610 Acceleration Sensor
# sensor Resolution: 0.0011971008m/sec^2; Max Range: 39.2266; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
1.109 2.489 8.718 0
1.109 2.489 8.718 5
1.42 2.317 9.202 5
1.42 2.317 9.202 3
1.42 2.317 9.202 2
1.555 2.245 9.762 5
1.555 2.245 9.762 5
1.344 2.073 10.169 5
1.344 2.073 10.169 3
1.344 2.073 10.169 2
1.085 2.068 10.145 5
1.085 2.068 10.145 5
0.894 2.106 9.575 5
0.894 2.106 9.575 3
0.894 2.106 9.575 2
0.717 2.389 8.742 5
0.717 2.389 8.742 5
0.836 2.528 8.684 5
0.836 2.528 8.684 3
0.836 2.528 8.684 2
0.879 2.676 8.325 5
0.879 2.676 8.325 5
1.219 2.796 8.91 5
1.219 2.796 8.91 3
1.219 2.796 8.91 2
1.617 2.633 10.155 5
1.617 2.633 10.155 5
1.746 1.862 11.447 5
1.746 1.862 11.447 3
1.578 0.282 10.533 2
1.578 0.282 10.533 5
2.321 2.604 10.945 5
2.321 2.604 10.945 5
2.321 2.604 10.945 3
1.804 3.213 10.222 2
1.804 3.213 10.222 5
1.698 2.571 9.604 5
1.698 2.571 9.604 5
1.698 2.571 9.604 3
2.081 2.47 8.881 2
2.081 2.47 8.881 5
1.962 2.351 8.661 5
1.962 2.351 8.661 5
1.962 2.351 8.661 3
1.713 2.451 8.823 2
1.713 2.451 8.823 5
1.478 2.499 8.57 5
1.478 2.499 8.57 5
1.478 2.499 8.57 3
1.454 2.523 8.297 2
1.454 2.523 8.297 5
1.641 2.585 8.608 5
1.641 2.585 8.608 5
1.641 2.585 8.608 3
1.827 2.628 9.135 2
1.827 2.628 9.135 5
1.947 2.595 9.508 5
1.947 2.595 9.508 5
1.947 2.595 9.508 3
1.918 2.475 9.791 2
1.799 2.236 9.925 5
1.799 2.236 9.925 5
1.617 1.953 9.752 5
1.617 1.953 9.752 3
1.617 1.953 9.752 2
1.282 1.709 9.369 5
1.282 1.709 9.369 5
1.018 1.675 9.096 5
1.018 1.675 9.096 3
1.018 1.675 9.096 2
1.042 1.742 9.115 5
1.042 1.742 9.115 5
1.31 1.757 9.259 5
1.31 1.757 9.259 3
1.31 1.757 9.259 2
1.31 1.623 9.57 5
1.31 1.623 9.57 5
1.176 1.527 9.771 5
1.176 1.527 9.771 3
