Point	x	y	z
0	0.602	0.033	10.054
1	0.544	0.081	9.819
2	0.544	0.081	9.819
3	0.544	0.081	9.819
4	0.616	0.095	9.695
5	0.616	0.095	9.695
6	0.654	0.22	9.58
7	0.654	0.22	9.58
8	0.654	0.22	9.58
9	0.563	0.148	9.752
10	0.563	0.148	9.752
11	0.592	0.148	9.824
12	0.592	0.148	9.824
13	0.592	0.148	9.824
14	0.525	0.134	9.882
15	0.525	0.134	9.882
16	0.439	0.153	9.786
17	0.439	0.153	9.786
18	0.439	0.153	9.786
19	0.487	0.167	9.575
20	0.487	0.167	9.575
21	0.535	0.148	9.518
22	0.535	0.148	9.518
23	0.659	0.311	9.355
24	0.659	0.311	9.355
25	0.841	0.445	9.546
26	0.841	0.445	9.546
27	0.841	0.445	9.546
28	0.793	0.383	9.532
29	0.793	0.383	9.532
30	0.779	0.411	9.465
31	0.779	0.411	9.465
32	0.779	0.411	9.465
33	0.803	0.44	9.479
34	0.803	0.44	9.479
35	0.808	0.33	9.575
36	0.808	0.33	9.575
37	0.808	0.33	9.575
38	0.87	0.363	9.843
39	0.87	0.363	9.843
40	0.851	0.368	9.915
41	0.851	0.368	9.915
42	0.851	0.368	9.915
43	1.028	0.402	9.781
44	1.028	0.402	9.781
45	1.028	0.445	9.8
46	1.028	0.445	9.8
47	1.028	0.445	9.8
48	0.99	0.411	9.771
49	0.99	0.411	9.771
50	0.98	0.411	9.676
51	0.98	0.411	9.676
52	0.98	0.411	9.676
53	0.903	0.416	9.781
54	0.903	0.416	9.781
55	0.812	0.421	9.949
56	0.812	0.421	9.949
57	0.812	0.421	9.949
58	0.817	0.368	9.695
59	0.817	0.368	9.695
60	0.76	0.11	10.102
61	0.702	0.148	9.963
62	0.702	0.148	9.963
63	0.702	0.148	9.963
64	0.573	-0.033	10.394
65	0.573	-0.033	10.394
66	0.592	-0.129	10.447
67	0.592	-0.129	10.447
68	0.592	-0.129	10.447
69	0.659	-0.067	10.48
70	0.659	-0.067	10.48
71	0.582	-0.043	10.743
72	0.582	-0.043	10.743
73	0.582	-0.043	10.743
74	0.64	0.253	10.111
75	0.64	0.253	10.111
76	0.492	0.052	10.552
77	0.492	0.052	10.552
78	0.492	0.052	10.552
79	0.525	0.158	10.753
80	0.525	0.158	10.753
81	0.41	0.143	10.973
82	0.41	0.143	10.973
83	0.41	0.143	10.973
84	0.386	0.158	11.581
85	0.386	0.158	11.581
86	0.492	0.22	11.672
87	0.492	0.22	11.672
88	0.492	0.22	11.672
89	0.611	0.407	12.328
90	0.611	0.407	12.328
