Point	x	y	z
0	0.367	0.469	10.274
1	0.367	0.469	10.274
2	0.774	0.43	10.035
3	0.774	0.43	10.035
4	0.774	0.43	10.035
5	0.185	0.411	10.054
6	0.185	0.411	10.054
7	0.386	0.502	9.996
8	0.386	0.502	9.996
9	0.396	0.435	9.877
10	0.396	0.435	9.877
11	0.448	0.474	10.044
12	0.448	0.474	10.044
13	0.448	0.474	10.044
14	0.324	0.474	10.04
15	0.324	0.474	10.04
16	0.606	0.421	9.8
17	0.606	0.421	9.8
18	0.606	0.421	9.8
19	0.199	0.411	10.049
20	0.199	0.411	10.049
21	0.405	0.43	9.824
22	0.405	0.43	9.824
23	0.405	0.43	9.824
24	0.468	0.44	9.762
25	0.468	0.44	9.762
26	0.223	0.454	9.872
27	0.223	0.454	9.872
28	0.223	0.454	9.872
29	0.266	0.502	9.652
30	0.266	0.502	9.652
31	0.343	0.588	9.585
32	0.343	0.588	9.585
33	0.343	0.588	9.585
34	0.219	0.598	9.412
35	-0.13	0.588	9.503
36	-0.13	0.588	9.503
37	-0.13	0.588	9.503
38	-0.049	0.488	9.795
39	-0.049	0.488	9.795
40	-0.029	0.45	9.747
41	-0.029	0.45	9.747
42	-0.029	0.45	9.747
43	-0.025	0.478	9.963
44	-0.025	0.478	9.963
45	-0.025	0.44	9.896
46	-0.025	0.44	9.896
47	-0.025	0.44	9.896
48	-0.053	0.402	9.939
49	-0.053	0.402	9.939
50	0.037	0.383	9.8
51	0.037	0.383	9.8
52	0.037	0.383	9.8
53	0.147	0.45	9.575
54	0.147	0.45	9.575
55	0.348	0.531	9.293
56	0.348	0.531	9.293
57	0.348	0.531	9.293
58	0.482	0.497	9.422
59	0.482	0.497	9.422
60	0.731	0.684	9.537
61	0.731	0.684	9.537
62	0.731	0.684	9.537
63	0.712	0.598	9.647
64	0.712	0.598	9.647
65	0.63	0.474	9.69
66	0.63	0.474	9.69
67	0.63	0.474	9.69
68	0.626	0.579	9.68
69	0.626	0.579	9.68
70	0.597	0.675	9.542
71	0.597	0.675	9.542
72	0.597	0.675	9.542
73	0.448	0.651	9.532
74	0.535	0.723	10.064
75	0.535	0.723	10.064
76	0.597	0.646	10.231
77	0.597	0.646	10.231
78	0.597	0.646	10.231
79	0.693	0.474	9.934
80	0.693	0.474	9.934
81	0.76	0.632	10.121
82	0.76	0.632	10.121
83	0.76	0.632	10.121
84	0.693	0.641	9.838
85	0.693	0.641	9.838
86	0.563	0.545	9.8
87	0.563	0.545	9.8
88	0.563	0.545	9.8
89	0.755	0.354	9.561
90	0.755	0.354	9.561
91	0.664	0.478	10.025
92	0.664	0.478	10.025
93	0.664	0.478	10.025
94	0.721	0.402	10.739
95	0.721	0.402	10.739
96	0.702	0.253	10.236
97	0.702	0.253	10.236
98	0.702	0.253	10.236
99	0.621	0.244	10.068
100	0.621	0.244	10.068
101	0.492	0.153	9.977
102	0.492	0.153	9.977
103	0.492	0.153	9.977
104	0.549	0.339	10.193
105	0.549	0.339	10.193
106	0.669	0.33	9.91
107	0.669	0.33	9.91
108	0.669	0.33	9.91
109	0.64	0.215	10.025
110	0.64	0.215	10.025
111	0.535	0.253	9.982
112	0.535	0.253	9.982
113	0.563	0.148	9.925
114	0.563	0.148	9.925
115	0.515	0.244	10.087
116	0.515	0.244	10.087
117	0.515	0.244	10.087
118	0.563	0.301	9.843
119	0.563	0.301	9.843
120	0.559	0.421	9.652
121	0.559	0.421	9.652
122	0.559	0.421	9.652
123	0.654	0.541	9.594
124	0.654	0.541	9.594
125	0.86	0.684	9.475
126	0.86	0.684	9.475
127	0.86	0.684	9.475
128	1.004	0.483	9.489
129	1.004	0.483	9.489
130	0.903	0.469	9.623
131	0.903	0.469	9.623
132	0.903	0.469	9.623
133	0.87	0.632	9.657
134	0.87	0.632	9.657
