Point	x	y	z
0	-0.427	9.509	1.004
1	-0.427	9.509	1.004
2	-0.36	9.591	1.186
3	-0.446	9.581	1.133
4	-0.446	9.581	1.133
5	-0.446	9.581	1.133
6	-0.59	9.533	1.138
7	-0.59	9.533	1.138
8	-0.733	9.543	1.08
9	-0.733	9.543	1.08
10	-0.733	9.543	1.08
11	-0.571	9.686	0.946
12	-0.571	9.686	0.946
13	-0.446	9.782	0.827
14	-0.446	9.782	0.827
15	-0.446	9.782	0.827
16	-0.202	9.859	0.975
17	-0.202	9.859	0.975
18	-0.101	9.811	1.138
19	-0.101	9.811	1.138
20	-0.101	9.811	1.138
21	0.041	9.844	1.315
22	0.041	9.844	1.315
23	0.137	9.811	1.502
24	0.137	9.811	1.502
25	0.137	9.811	1.502
26	0.07	9.801	1.334
27	0.07	9.801	1.334
28	0.104	9.873	1.1
29	0.104	9.873	1.1
30	0.104	9.873	1.1
31	0.209	9.969	0.87
32	0.209	9.969	0.87
33	0.065	9.907	0.846
34	0.065	9.907	0.846
35	0.065	9.907	0.846
36	-0.005	9.84	0.97
37	-0.005	9.84	0.97
38	-0.116	9.782	0.899
39	-0.116	9.782	0.899
40	-0.116	9.782	0.899
41	-0.211	9.758	0.793
42	-0.384	9.634	1.071
43	-0.384	9.634	1.071
44	-0.384	9.634	1.071
45	-0.523	9.528	1.138
46	-0.523	9.528	1.138
47	-0.398	9.581	1.052
48	-0.398	9.581	1.052
49	-0.398	9.581	1.052
50	-0.288	9.72	1.128
51	-0.288	9.72	1.128
52	-0.207	9.734	0.98
53	-0.207	9.734	0.98
54	-0.207	9.734	0.98
55	-0.25	9.792	0.841
56	-0.25	9.792	0.841
57	-0.384	9.744	0.956
58	-0.384	9.744	0.956
59	-0.384	9.744	0.956
60	-0.518	9.73	1.162
61	-0.518	9.73	1.162
62	-0.484	9.586	1.234
63	-0.484	9.586	1.234
64	-0.484	9.586	1.234
65	-0.35	9.811	1.334
66	-0.35	9.811	1.334
67	-0.274	9.945	1.171
68	-0.274	9.945	1.171
69	-0.274	9.945	1.171
70	-0.432	9.921	0.956
71	-0.432	9.921	0.956
72	-0.508	9.926	1.057
73	-0.508	9.926	1.057
74	-0.508	9.926	1.057
75	-0.652	10.204	0.549
76	-0.719	10.098	1.186
77	-0.719	10.098	1.186
78	-0.8	10.218	0.468
79	-0.8	10.218	0.468
80	-0.8	10.218	0.468
81	-0.48	10.28	1.301
82	-0.48	10.28	1.301
83	-0.939	10.62	0.975
84	-0.939	10.62	0.975
85	-0.939	10.62	0.975
86	-1.078	10.548	1.119
87	-1.078	10.548	1.119
88	-1.337	10.96	1.037
89	-1.337	10.96	1.037
90	-1.337	10.96	1.037
91	-0.7	11.444	1.219
92	-0.7	11.444	1.219
93	-1.025	11.506	1.186
94	-1.025	11.506	1.186
95	-1.025	11.506	1.186
96	-0.604	11.53	2.158
97	-0.604	11.53	2.158
98	-0.446	11.774	2.646
99	-0.446	11.774	2.646
100	-0.446	11.774	2.646
101	-0.503	12.205	2.555
102	-0.503	12.205	2.555
103	0.056	12.31	2.234
104	0.056	12.31	2.234
105	0.056	12.31	2.234
106	0.477	12.679	2.316
107	0.477	12.679	2.316
108	1.033	13.053	2.014
109	1.033	13.053	2.014
110	1.033	13.053	2.014
111	1.377	13.273	1.804
112	1.66	13.22	1.497
113	1.66	13.22	1.497
114	1.66	13.22	1.497
115	2.282	13.599	1.339
116	2.282	13.599	1.339
117	3.432	13.694	1.574
118	3.432	13.694	1.574
119	3.432	13.694	1.574
120	3.499	13.728	0.812
121	3.499	13.728	0.812
122	4.375	13.747	1.521
123	4.375	13.747	1.521
124	4.375	13.747	1.521
125	5.328	13.551	1.54
126	5.328	13.551	1.54
127	5.993	13.527	1.99
128	5.993	13.527	1.99
129	5.993	13.527	1.99
130	7.866	13.56	1.148
131	7.866	13.56	1.148
132	8.005	13.68	0.673
133	8.005	13.68	0.673
134	8.005	13.68	0.673
135	7.813	13.421	0.075
136	7.813	13.421	0.075
137	7.162	12.559	-0.661
138	7.162	12.559	-0.661
139	7.162	12.559	-0.661
140	6.458	11.75	-0.676
141	6.458	11.75	-0.676
142	6.199	10.706	-0.111
143	6.199	10.706	-0.111
144	6.199	10.706	-0.111
145	5.85	9.581	0.841
146	5.85	9.581	0.841
147	5.495	8.518	1.66
148	4.921	7.345	1.851
149	4.921	7.345	1.851
150	4.921	7.345	1.851
151	3.954	6.143	1.904
152	3.954	6.143	1.904
153	3.207	5.123	1.325
154	3.207	5.123	1.325
155	3.207	5.123	1.325
156	2.857	4.323	0.774
157	2.857	4.323	0.774
158	2.618	3.366	0.238
159	2.618	3.366	0.238
160	2.618	3.366	0.238
161	2.349	2.178	0.113
162	2.349	2.178	0.113
163	1.746	1.312	-0.101
164	1.746	1.312	-0.101
165	1.746	1.312	-0.101
166	0.769	0.742	-1.15
167	0.769	0.742	-1.15
168	-0.087	-0.033	-1.662
169	-0.087	-0.033	-1.662
170	-0.087	-0.033	-1.662
171	-0.408	-0.809	-1.447
172	-0.408	-0.809	-1.447
173	-0.441	-1.575	-1.203
174	-0.441	-1.575	-1.203
175	-0.441	-1.575	-1.203
176	-0.465	-2.346	-0.705
177	-0.465	-2.346	-0.705
178	-0.422	-2.451	-0.633
179	-0.422	-2.451	-0.633
180	-0.422	-2.451	-0.633
181	-0.848	-1.953	-1.164
182	-1.48	-1.623	-1.346
183	-1.48	-1.623	-1.346
184	-1.48	-1.623	-1.346
185	-2.045	-1.316	-1.179
186	-2.045	-1.316	-1.179
187	-2.266	-0.66	-0.944
188	-2.266	-0.66	-0.944
189	-2.266	-0.66	-0.944
190	-2.697	-0.057	-0.384
191	-2.697	-0.057	-0.384
192	-2.644	0.938	0.381
193	-2.644	0.938	0.381
194	-2.644	0.938	0.381
195	-2.4	2.063	0.52
196	-2.4	2.063	0.52
197	-2.515	3.347	2.029
198	-2.515	3.347	2.029
199	-2.515	3.347	2.029
200	-2.941	4.472	3.748
201	-2.941	4.472	3.748
202	-3.539	5.712	4.863
203	-3.539	5.712	4.863
204	-3.539	5.712	4.863
205	-4.282	6.909	5.266
206	-4.282	6.909	5.266
207	-5.445	7.824	5.17
208	-5.445	7.824	5.17
209	-5.445	7.824	5.17
210	-7.562	8.839	5.673
211	-7.562	8.839	5.673
212	-9.985	10.232	6.204
213	-9.985	10.232	6.204
214	-9.985	10.232	6.204
215	-12.336	11.271	5.673
216	-12.336	11.271	5.673
217	-13.566	12.124	6.405
218	-13.964	12.895	8.005
219	-13.964	12.895	8.005
220	-13.964	12.895	8.005
221	-14.088	13.867	9.47
222	-14.088	13.867	9.47
223	-13.7	14.69	10.475
224	-13.7	14.69	10.475
225	-13.7	14.69	10.475
226	-13.221	15.351	10.954
