Point	a_{x}	a_{z}
1	-0.03276712	-0.019496214
2	0.023106746	-0.101021074
3	0.100559145	-0.016199034
4	-0.009456538	-0.22911155
5	-0.009456538	-0.22911155
6	-0.009456538	-0.22911155
7	-0.10869206	-0.16750464
8	-0.058262963	-0.08288821
9	-0.09239489	-0.16191018
10	-0.09649625	-0.28010124
11	-0.118329905	-0.1815873
12	-0.18904136	0.20897384
13	-0.047575008	0.21628776
14	0.07705811	0.08525071
15	0.08878535	-0.1854388
16	-0.09090092	-0.3502176
17	-0.59824294	-0.39736506
18	-0.65467566	-0.32988554
19	-0.71065974	0.085113116
20	-0.91638553	0.545786
21	-1.1430289	1.0101846
22	-1.6432725	0.8741166
23	-2.023347	1.3183167
24	-2.0440223	1.7801546
25	-1.7037808	2.4522257
26	-1.6081179	2.8427198
27	-0.5353249	3.5869408
28	0.20769615	3.9764862
29	1.3952678	3.8599741
30	1.4709622	3.9683058
31	1.817107	4.4023037
32	2.0543334	4.5820866
33	2.1624649	4.723661
34	3.1572766	3.6744342
35	4.0289106	2.374347
36	4.092128	0.010974432
37	2.6428003	-1.610765
38	2.5425448	-0.16020529
39	4.111104	0.8273308
40	4.1566105	-0.22962993
41	4.1421127	-1.4308765
42	2.9553668	-2.579977
43	1.9658729	-2.0529242
44	2.3974862	-0.6034186
45	1.7412356	-1.4007578
46	-1.3591083	-2.6969395
47	-1.8022588	-4.0851717
48	-0.33795756	-3.4313667
49	-2.5352528	-0.6969154
50	-4.570018	-0.13554686
51	-4.570018	-0.13554686
52	-4.570018	-0.13554686
53	-5.7265124	-0.3507775
54	-9.699009	1.8032433
55	-9.3018675	1.518057
56	-10.410746	1.5579197
57	-13.391927	0.98395336
58	-13.595505	0.7315112
59	-12.186736	1.0599896
60	-12.478899	3.464551
61	-11.919002	3.4461253
62	-9.635638	3.9199712
63	-6.52806	5.696602
64	-7.045592	7.1378665
65	-5.2836843	5.4787927
66	-4.197545	5.631359
67	-7.5705853	5.0380416
68	-5.215574	5.655095
69	0.07600567	8.46646
70	1.3128517	10.254524
71	7.355405	10.059554
72	18.122108	9.542555
73	9.607923	7.3986096
74	7.809141	3.4967906
75	5.7515216	-0.070283346
76	5.3487034	-2.869469
77	4.5449257	-1.9072868
78	3.7253444	-0.20462574
79	2.104901	-0.81073457
80	1.3202198	-2.1939037
81	-0.26825008	-2.4673216
